actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-06T03:14:16.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-06T03:14:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-06T03:14:19.2Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612746,0,0,2023-03-06T03:14:19Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Jackson Jr.: Tip to R. Westbrook,"[201566, 1627826, 1628991]",1610612746.0,LAC,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Zubac,1627826.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-06T03:14:34.0Z,1,REGULAR,turnover,lost ball,[],202694,,,1610612746,0,0,2023-03-06T03:14:38Z,70000,False,,,0,,M. Morris Sr. lost ball TURNOVER (1 TO),"[202694, 1631223]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,1.0,Roddy,1631223.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-03-06T03:14:34.0Z,1,REGULAR,steal,,[],1631223,,,1610612763,0,0,2023-03-06T03:14:36Z,80000,False,,,0,,D. Roddy STEAL (1 STL),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-03-06T03:14:37.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631223,91.11366622864652,50.245098039215684,1610612763,0,2,2023-03-06T03:14:42Z,90000,False,1.0,31.0,1,right,D. Roddy running DUNK (2 PTS),[1631223],1610612763.0,MEM,running,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,3.1,Made,2.0,,,,,,,,,,,,,,
10,PT11M11.00S,2023-03-06T03:15:05.0Z,1,REGULAR,3pt,Jump Shot,[],202695,33.295006570302235,56.61764705882353,1610612746,3,2,2023-03-06T03:15:48Z,100000,False,-33.0,260.0,1,left,K. Leonard 26' 3PT pullup (3 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,,,,26.26,Made,3.0,,,,,,,,,,,,,,
11,PT10M48.00S,2023-03-06T03:15:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612763,3,2,2023-03-06T03:15:36Z,110000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1627826, 1628991]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,,,,,1193.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,,
13,PT10M48.00S,2023-03-06T03:16:01.2Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,3,3,2023-03-06T03:16:01Z,130000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
14,PT10M48.00S,2023-03-06T03:16:13.1Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,3,4,2023-03-06T03:16:13Z,140000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (2 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
15,PT10M36.00S,2023-03-06T03:16:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,19.628777923784497,40.68627450980392,1610612746,5,4,2023-03-06T03:16:51Z,150000,False,47.0,132.0,1,left,K. Leonard 14' pullup Jump Shot (5 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,,,,14.0,Made,5.0,,,,,,P. George,202331.0,1.0,,,,,,
17,PT10M29.00S,2023-03-06T03:16:37.0Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612763,5,4,2023-03-06T03:16:43Z,170000,False,,,0,,P. George shooting personal FOUL (1 PF) (Tillman 2 FT),"[202331, 1630214]",1610612746.0,LAC,shooting,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,1.0,0.0,Tillman,1630214.0,,,,,,,,,
19,PT10M29.00S,2023-03-06T03:17:02.2Z,1,REGULAR,freethrow,1 of 2,[],1630214,,,1610612763,5,4,2023-03-06T03:17:21Z,190000,False,,,0,,MISS X. Tillman Free Throw 1 of 2,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
20,PT10M29.00S,2023-03-06T03:17:02.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,5,4,2023-03-06T03:17:21Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,
21,PT10M29.00S,2023-03-06T03:17:02.2Z,1,REGULAR,freethrow,2 of 2,[],1630214,,,1610612763,5,4,2023-03-06T03:17:22Z,210000,False,,,0,,MISS X. Tillman Free Throw 2 of 2,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
22,PT10M27.00S,2023-03-06T03:17:04.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,4,2023-03-06T03:17:22Z,220000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,
23,PT10M17.00S,2023-03-06T03:17:30.4Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612746,5,4,2023-03-06T03:17:35Z,230000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1626145]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Right,1.0,Jones,1626145.0,,,,,,,,,,,,,,,,,
24,PT10M17.00S,2023-03-06T03:17:30.4Z,1,REGULAR,steal,,[],1626145,,,1610612763,5,4,2023-03-06T03:17:32Z,240000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2023-03-06T03:17:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631223,92.55913272010513,50.0,1610612763,5,6,2023-03-06T03:17:41Z,250000,False,0.0,17.0,1,right,D. Roddy running Layup (4 PTS) (T. Jones 1 AST),"[1631223, 1626145]",1610612763.0,MEM,running,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,1.74,Made,4.0,,,,,,T. Jones,1626145.0,1.0,,,,,,
27,PT09M54.00S,2023-03-06T03:17:52.8Z,1,REGULAR,3pt,Jump Shot,[],202331,30.66688567674113,70.58823529411765,1610612746,8,6,2023-03-06T03:17:57Z,270000,False,-103.0,236.0,1,left,P. George 25' 3PT  (3 PTS) (K. Leonard 1 AST),"[202331, 202695]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,25.73,Made,3.0,,,,,,K. Leonard,202695.0,1.0,,,,,,
29,PT09M31.00S,2023-03-06T03:18:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630214,91.50788436268068,54.411764705882355,1610612763,8,8,2023-03-06T03:18:21Z,290000,False,22.0,27.0,1,right,X. Tillman reverse Layup (2 PTS) (J. Jackson Jr. 1 AST),"[1630214, 1628991]",1610612763.0,MEM,reverse,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,3.51,Made,2.0,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,,
31,PT09M17.00S,2023-03-06T03:18:29.2Z,1,REGULAR,3pt,Jump Shot,[],202694,28.95860709592641,81.12745098039215,1610612746,8,8,2023-03-06T03:18:33Z,310000,False,-156.0,220.0,1,left,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,,,,26.92,Missed,,,,,,,,,,,,,,,
32,PT09M14.00S,2023-03-06T03:18:32.2Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,8,8,2023-03-06T03:18:33Z,320000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,
33,PT09M04.00S,2023-03-06T03:18:43.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,65.75229960578187,58.088235294117645,1610612763,8,8,2023-03-06T03:19:15Z,330000,False,40.0,269.0,1,right,MISS J. Jackson Jr. 27' pullup 3PT,[1628991],1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,27.24,Missed,,,,,,,,,,,,,,,
34,PT08M59.00S,2023-03-06T03:18:46.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,8,8,2023-03-06T03:18:46Z,340000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,
