actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-24T02:15:21.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T02:15:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-10-24T02:15:23.9Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2022-10-24T02:15:23Z,40000,,,0,,Jump Ball D. Ayton vs. I. Zubac: Tip to D. Booker,"[1626164, 1629028, 1627826]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-24T02:15:39.1Z,1,REGULAR,3pt,Jump Shot,[],101108,66.67214191852825,51.96078431372549,1610612756,0,0,2022-10-24T04:11:31Z,70000,10.0,261.0,1,right,MISS C. Paul 26' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-10-24T02:15:43.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-10-24T04:11:31Z,80000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-10-24T02:15:52.6Z,1,REGULAR,foul,offensive,[],202331,,,1610612746,0,0,2022-10-24T02:16:06Z,90000,,,0,,P. George offensive FOUL (1 PF),"[202331, 1628969]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2004.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,
11,PT11M29.00S,2022-10-24T02:15:52.6Z,1,REGULAR,turnover,offensive foul,[],202331,,,1610612746,0,0,2022-10-24T02:15:52Z,110000,,,0,,P. George offensive foul TURNOVER (1 TO),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2004.0,,,,,1.0,,,,,,,,
12,PT11M24.00S,2022-10-24T02:16:05.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,72.19119579500656,21.32352941176471,1610612756,0,3,2022-10-24T02:17:02Z,120000,-143.0,209.0,1,right,D. Booker 25' 3PT pullup (3 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,,,,,,,3.0,C. Paul,101108.0,1.0,,,,
14,PT10M57.00S,2022-10-24T02:16:33.0Z,1,REGULAR,2pt,Jump Shot,[],202694,22.38830486202366,37.99019607843137,1610612746,0,3,2022-10-24T02:16:36Z,140000,60.0,158.0,1,left,MISS M. Morris Sr. 16' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Right Center,16.9,Missed,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-10-24T02:16:35.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,3,2022-10-24T02:16:36Z,150000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M49.00S,2022-10-24T02:16:41.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,93.34756898817345,52.450980392156865,1610612756,0,5,2022-10-24T02:16:47Z,160000,12.0,10.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,,,,,2.0,C. Paul,101108.0,2.0,,,,
