actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-18T03:03:09.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-18T03:03:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-18T03:03:14.5Z,1,REGULAR,jumpball,recovered,[],1629001,,,1610612755,0,0,2023-01-18T03:03:14Z,40000,False,,,0,,Jump Ball J. Embiid vs. I. Zubac: Tip to D. Melton,"[1629001, 203954, 1627826]",1610612755.0,PHI,startperiod,D. Melton,1629001.0,Melton,D. Melton,Embiid,203954.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-01-18T03:03:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,19.365965834428394,61.76470588235294,1610612755,0,0,2023-01-18T03:03:32Z,70000,False,-59.0,130.0,1,left,MISS T. Harris 14' turnaround Shot,[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,14.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-01-18T03:03:28.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,0,2023-01-18T03:03:33Z,80000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-01-18T03:03:34.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202695,88.09132720105124,57.84313725490196,1610612746,0,0,2023-01-18T03:03:38Z,90000,False,39.0,59.0,1,right,MISS K. Leonard 7' Hook,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,7.12,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2023-01-18T03:03:38.4Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,0,0,2023-01-18T03:03:38Z,100000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2023-01-18T03:03:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,14.766754270696453,35.294117647058826,1610612755,0,2,2023-01-18T03:03:57Z,110000,False,74.0,86.0,1,left,J. Embiid 11' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Right,11.34,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M48.00S,2023-01-18T03:04:20.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,90.19382391590013,96.07843137254902,1610612746,0,2,2023-01-18T03:07:31Z,120000,False,230.0,40.0,1,right,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.38,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2023-01-18T03:04:23.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2023-01-18T03:04:25Z,130000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M30.00S,2023-01-18T03:04:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,13.534822601839679,53.22074142156863,1610612755,0,2,2023-01-18T03:05:25Z,140000,False,-16.0,75.0,1,left,MISS J. Embiid 7' driving floating Shot - blocked,"[203954, 1629611]",1610612755.0,PHI,driving floating,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,7.64,Missed,,,,,,Mann,1629611.0,,,,,,,,,,,
