actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-01T02:41:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-01T02:41:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-01T02:41:31.2Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2022-11-01T02:41:31Z,40000,,,0,,Jump Ball A. Sengun vs. I. Zubac: Tip to J. Green,"[1630224, 1630578, 1627826]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-11-01T02:41:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,17.65768725361366,48.529411764705884,1610612745,0,2,2022-11-01T02:41:58Z,70000,7.0,113.0,1,left,E. Gordon 11' driving floating Jump Shot (2 PTS),[201569],1610612745.0,HOU,driving floating,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,11.37,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2022-11-01T02:42:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,84.54336399474376,41.91176470588235,1610612746,2,2,2022-11-01T02:43:01Z,80000,-40.0,93.0,1,right,M. Morris Sr. 10' fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,10.12,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M55.00S,2022-11-01T02:42:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.276609724047319,45.58823529411765,1610612745,2,2,2022-11-01T02:42:40Z,90000,22.0,16.0,1,left,MISS K. Porter Jr. driving reverse Layup - blocked,"[1629645, 1627826]",1610612745.0,HOU,driving reverse,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,2.72,Missed,,Zubac,1627826.0,,,,,,,,,,,,,,,
10,PT10M55.00S,2022-11-01T02:42:32.2Z,1,REGULAR,block,,[],1627826,,,1610612745,2,2,2022-11-01T02:42:34Z,100000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT10M53.00S,2022-11-01T02:42:34.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,2,2022-11-01T02:42:40Z,110000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M46.00S,2022-11-01T02:42:41.3Z,1,REGULAR,3pt,Jump Shot,[],202694,69.30026281208936,76.47058823529412,1610612746,2,2,2022-11-01T02:42:51Z,120000,132.0,236.0,1,right,MISS M. Morris Sr. 27' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
13,PT10M38.00S,2022-11-01T02:42:49.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,2,2,2022-11-01T03:10:55Z,130000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,
174,PT10M36.00S,2022-11-01T02:42:46.1Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,2,2,2022-11-01T03:12:46Z,135000,,,0,,I. Zubac bad pass TURNOVER (1 TO),"[1627826, 201569]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Gordon,201569.0,,,,,,,,
175,PT10M36.00S,2022-11-01T02:42:46.1Z,1,REGULAR,steal,,[],201569,,,1610612745,2,2,2022-11-01T03:12:46Z,137500,,,0,,E. Gordon STEAL (1 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2022-11-01T02:42:50.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201569,6.750985545335084,49.26470588235294,1610612745,2,4,2022-11-01T03:12:56Z,140000,4.0,11.0,1,left,E. Gordon running Layup (4 PTS),[201569],1610612745.0,HOU,running,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,1.16,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2022-11-01T02:43:01.7Z,1,REGULAR,foul,personal,[],1629645,,,1610612746,2,4,2022-11-01T03:12:30Z,150000,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 202704]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1201.0,1.0,0.0,Jackson,202704.0,,,
17,PT10M17.00S,2022-11-01T02:43:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,85.3318002628121,60.78431372549019,1610612746,2,4,2022-11-01T03:12:30Z,170000,54.0,85.0,1,right,MISS P. George 10' turnaround fadeaway Shot,[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,10.1,Missed,,,,,,,,,,,,,,,,,,
18,PT10M15.00S,2022-11-01T02:43:30.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,4,2022-11-01T02:43:34Z,180000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M09.00S,2022-11-01T02:43:37.6Z,1,REGULAR,turnover,lost ball,[],1631095,,,1610612745,2,4,2022-11-01T02:44:09Z,190000,,,0,,J. Smith Jr. lost ball TURNOVER (1 TO),"[1631095, 1627826]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Zubac,1627826.0,,,,,,,,
20,PT10M09.00S,2022-11-01T02:43:37.6Z,1,REGULAR,steal,,[],1627826,,,1610612746,2,4,2022-11-01T02:43:40Z,200000,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M03.00S,2022-11-01T02:43:46.2Z,1,REGULAR,foul,personal,[],1631095,,,1610612746,2,4,2022-11-01T02:43:55Z,210000,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 202331]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,1.0,0.0,George,202331.0,,,
23,PT09M54.00S,2022-11-01T02:44:13.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202704,93.61038107752957,48.28431372549019,1610612746,4,4,2022-11-01T02:44:18Z,230000,-9.0,8.0,1,right,R. Jackson driving Layup (2 PTS),[202704],1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,1.15,Made,2.0,,,,,,,,,,,,,,,,,
