actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-09T03:10:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-09T03:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-09T03:10:33.5Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2023-03-09T03:10:33Z,40000,False,,,0,,Jump Ball J. Poeltl vs. I. Zubac: Tip to F. VanVleet,"[1627832, 1627751, 1627826]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Poeltl,1627751.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-03-09T03:10:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,10.298948751642584,55.3921568627451,1610612761,0,2,2023-03-09T03:11:09Z,70000,False,-27.0,44.0,1,left,S. Barnes driving floating Jump Shot (2 PTS),[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,5.19,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2023-03-09T03:11:14.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202695,93.87319316688567,49.754901960784316,1610612746,2,2,2023-03-09T03:11:18Z,80000,False,-1.0,5.0,1,right,K. Leonard driving DUNK (2 PTS) (I. Zubac 1 AST),"[202695, 1627826]",1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,
11,PT10M49.00S,2023-03-09T03:11:50.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,20.154402102496718,72.79411764705883,1610612761,2,2,2023-03-09T03:12:00Z,110000,False,-114.0,137.0,1,left,MISS S. Barnes 17' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,17.82,Missed,,,,,,,,,,,,,,,,,,
12,PT10M46.00S,2023-03-09T03:11:53.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,2,2023-03-09T03:11:55Z,120000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M37.00S,2023-03-09T03:12:02.6Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612746,2,2,2023-03-09T03:12:06Z,130000,False,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 1627832]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,,,
14,PT10M37.00S,2023-03-09T03:12:02.6Z,1,REGULAR,steal,,[],1627832,,,1610612761,2,2,2023-03-09T03:12:04Z,140000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2023-03-09T03:12:06.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,5.831143232588701,50.0,1610612761,2,4,2023-03-09T03:12:14Z,150000,False,0.0,2.0,1,left,P. Siakam running DUNK (2 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.23,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,
17,PT10M19.00S,2023-03-09T03:12:19.8Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612746,2,4,2023-03-09T03:12:23Z,170000,False,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 1627832]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,,,
