actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-20T03:40:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-20T03:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-20T03:40:51.3Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-11-20T03:40:51Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Poeltl: Tip to M. Morris Sr.,"[202694, 1627826, 1627751]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-11-20T03:41:12.9Z,1,REGULAR,3pt,Jump Shot,[],202694,89.93101182654402,95.83333333333333,1610612746,0,0,2022-11-20T03:41:18Z,70000,False,229.0,42.0,1,right,MISS M. Morris Sr. 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-11-20T03:41:17.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-11-20T03:41:17Z,80000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M14.00S,2022-11-20T03:41:32.6Z,1,REGULAR,2pt,Jump Shot,[],1629640,7.408015768725363,30.637254901960787,1610612759,0,0,2022-11-20T03:41:37Z,90000,False,97.0,17.0,1,left,MISS K. Johnson 9' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,9.83,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-11-20T03:41:35.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-11-20T03:41:37Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-11-20T03:41:46.2Z,1,REGULAR,2pt,Jump Shot,[],202331,78.49868593955321,26.960784313725497,1610612746,2,0,2022-11-20T03:41:51Z,110000,False,-115.0,150.0,1,right,P. George 18' pullup Jump Shot (2 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Left Center,18.88,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M43.00S,2022-11-20T03:42:03.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,6.093955321944804,45.09803921568627,1610612759,2,0,2022-11-20T03:42:07Z,120000,False,25.0,5.0,1,left,MISS J. Sochan driving Hook - blocked,"[1631110, 1627826]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,Zubac,1627826.0,,,,,,,,,,,
13,PT10M43.00S,2022-11-20T03:42:03.6Z,1,REGULAR,block,,[],1627826,,,1610612759,2,0,2022-11-20T03:42:06Z,130000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2022-11-20T03:42:05.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,2,0,2022-11-20T03:42:07Z,140000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
