actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-07T03:11:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-07T03:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-07T03:11:07.0Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612762,0,0,2022-11-07T03:11:07Z,40000,,,0,,Jump Ball K. Olynyk vs. I. Zubac: Tip to M. Conley,"[201144, 203482, 1627826]",1610612762.0,UTA,startperiod,M. Conley,201144.0,Conley,M. Conley,Olynyk,203482.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-07T03:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],203903,66.80354796320631,52.205882352941174,1610612762,0,3,2022-11-07T03:11:36Z,70000,11.0,260.0,1,right,J. Clarkson 25' 3PT pullup (3 PTS) (K. Olynyk 1 AST),"[203903, 203482]",1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,25.97,Made,3.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-07T03:11:40.4Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,0,3,2022-11-07T03:11:45Z,90000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 203482]",1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Olynyk,203482.0,,,,,,,,,,,
10,PT11M22.00S,2022-11-07T03:11:40.4Z,1,REGULAR,steal,,[],203482,,,1610612762,0,3,2022-11-07T03:11:42Z,100000,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-11-07T03:11:50.3Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612762,0,3,2022-11-07T03:11:56Z,110000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Olynyk 2 FT),"[1627826, 203482]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,204059.0,1.0,0.0,Olynyk,203482.0,,,,,,
13,PT11M13.00S,2022-11-07T03:12:15.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203482,,,1610612762,0,4,2022-11-07T03:12:15Z,130000,,,0,,K. Olynyk Free Throw 1 of 2 (1 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-11-07T03:12:29.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203482,,,1610612762,0,5,2022-11-07T03:12:29Z,140000,,,0,,K. Olynyk Free Throw 2 of 2 (2 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-11-07T03:12:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,16.869250985545335,43.627450980392155,1610612746,2,5,2022-11-07T03:12:52Z,150000,32.0,106.0,1,left,M. Morris Sr. 11' turnaround fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,11.08,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-11-07T03:13:08.6Z,1,REGULAR,2pt,Jump Shot,[],201144,79.23784494086728,58.486519607843135,1610612762,2,7,2022-11-07T03:13:15Z,160000,42.0,143.0,1,right,M. Conley 14' pullup Jump Shot (2 PTS) (J. Clarkson 1 AST),"[201144, 203903]",1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,Mid-Range,8-16 Center,14.89,Made,2.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
