actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-11-18T03:40:55.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-18T03:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-18T03:41:03.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2022-11-18T03:41:03Z,40000,False,,,0,,Jump Ball I. Zubac vs. M. Bagley III: Tip to Team (LAC),"[1627826, 1628963]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-11-18T03:41:33.3Z,1,REGULAR,foul,personal,[],1630180,,,1610612746,0,0,2022-11-18T03:42:12Z,80000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 202695]",1610612765.0,DET,,,,,,,Mid-Range,16-24 Center,2004.0,1.0,0.0,Bey,S. Bey,Leonard,202695.0,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-18T03:42:03.0Z,1,REGULAR,2pt,Jump Shot,[],202331,75.73915900131406,66.91176470588235,1610612746,0,0,2022-11-18T03:42:19Z,100000,False,85.0,176.0,1,right,MISS P. George 19' Jump Shot,[202331],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,,George,P. George,,,19.49,Missed,,,,,,,,,,,,,,
11,PT11M33.00S,2022-11-18T03:42:07.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,0,2022-11-18T03:42:07Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M33.00S,2022-11-18T03:42:07.7Z,1,REGULAR,foul,personal,[],1630165,,,1610612746,0,0,2022-11-18T03:42:23Z,120000,False,,,0,,K. Hayes loose ball personal FOUL (1 PF),"[1630165, 1627826]",1610612765.0,DET,loose ball,,,,,,Restricted Area,0-8 Center,1627962.0,1.0,0.0,Hayes,K. Hayes,Zubac,1627826.0,,,,,,,,,,,,,,,,
14,PT11M26.00S,2022-11-18T03:42:30.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202695,94.3988173455979,23.774509803921575,1610612746,0,0,2022-11-18T03:42:35Z,140000,False,-131.0,0.0,1,right,MISS K. Leonard 13' turnaround fadeaway Shot,[202695],1610612746.0,LAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,,,Leonard,K. Leonard,,,13.11,Missed,,,,,,,,,,,,,,
15,PT11M23.00S,2022-11-18T03:42:33.8Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2022-11-18T03:42:35Z,150000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,,Bey,S. Bey,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT11M05.00S,2022-11-18T03:42:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,6.093955321944804,46.81372549019608,1610612765,0,0,2022-11-18T03:42:59Z,160000,False,16.0,5.0,1,left,MISS J. Ivey Layup,[1631093],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,Ivey,J. Ivey,,,1.66,Missed,,,,,,,,,,,,,,
17,PT11M03.00S,2022-11-18T03:42:53.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-11-18T03:42:53Z,170000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,Zubac,I. Zubac,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
