actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-28T02:40:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-28T02:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-28T02:40:57.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2023-03-28T02:40:57Z,40000,False,,,0,,Jump Ball N. Vucevic vs. I. Zubac: Tip to Team (CHI),"[202696, 1627826]",1610612741.0,CHI,startperiod,Team (CHI),Vucevic,202696.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-28T02:41:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,84.93758212877792,54.16666666666667,1610612741,0,2,2023-03-28T02:41:22Z,70000,False,21.0,89.0,1,right,N. Vucevic 9' floating Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,floating,,,,,,In The Paint (Non-RA),8-16 Center,9.15,Made,2.0,Vucevic,N. Vucevic,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-03-28T02:41:35.7Z,1,REGULAR,2pt,Jump Shot,[],201566,18.446123521681997,29.411764705882348,1610612746,2,2,2023-03-28T02:41:44Z,90000,False,103.0,121.0,1,left,R. Westbrook 15' turnaround fadeaway Jump Shot (2 PTS),[201566],1610612746.0,LAC,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,15.88,Made,2.0,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-03-28T02:41:41.2Z,1,REGULAR,foul,personal,['1freethrow'],201976,,,1610612746,2,2,2023-03-28T02:41:51Z,100000,False,,,0,,P. Beverley shooting personal FOUL (1 PF) (Westbrook 1 FT),"[201976, 201566]",1610612741.0,CHI,shooting,,,,,,Mid-Range,16-24 Right Center,,,,Beverley,P. Beverley,,,,1626300.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,
12,PT11M28.00S,2023-03-28T02:42:07.8Z,1,REGULAR,freethrow,1 of 1,[],201566,,,1610612746,2,2,2023-03-28T02:42:11Z,120000,False,,,0,,MISS R. Westbrook Free Throw 1 of 1,[201566],1610612746.0,LAC,,,,,,,,,,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2023-03-28T02:42:11.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,2,2023-03-28T02:42:11Z,130000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M12.00S,2023-03-28T02:42:22.4Z,1,REGULAR,3pt,Jump Shot,[],1630172,71.13994743758212,17.40196078431373,1610612741,2,5,2023-03-28T02:42:26Z,140000,False,-163.0,219.0,1,right,P. Williams 27' 3PT  (3 PTS) (Z. LaVine 1 AST),"[1630172, 203897]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,27.28,Made,3.0,Williams,P. Williams,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
17,PT10M46.00S,2023-03-28T02:43:04.6Z,1,REGULAR,3pt,Jump Shot,[],201569,32.769382391590014,73.52941176470588,1610612746,5,5,2023-03-28T02:43:11Z,170000,False,-118.0,256.0,1,left,E. Gordon 28' 3PT  (3 PTS) (N. Batum 1 AST),"[201569, 201587]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,28.13,Made,3.0,Gordon,E. Gordon,N. Batum,201587.0,1.0,,,,,,,,,,,,,,
20,PT10M26.00S,2023-03-28T02:43:24.2Z,1,REGULAR,3pt,Jump Shot,[],201942,69.82588699080158,75.24509803921569,1610612741,5,8,2023-03-28T02:43:29Z,190000,False,126.0,231.0,1,right,D. DeRozan 26' 3PT  (3 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,26.33,Made,3.0,DeRozan,D. DeRozan,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
