actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-02T03:18:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-02T03:18:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-12-02T03:18:36.2Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612743,0,0,2023-12-02T03:18:36Z,40000,False,,,0,,Jump Ball N. Jokic vs. J. Nurkic: Tip to M. Porter Jr.,"[1629008, 203999, 203994]",1610612743.0,DEN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Jokic,203999.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-12-02T03:18:42.5Z,1,REGULAR,3pt,Jump Shot,[],203200,8.229303547963205,3.431372549019608,1610612743,0,3,2023-12-02T03:18:48Z,70000,False,233.0,25.0,1,left,J. Holiday 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[203200, 203484]",1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,23.41,Made,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-12-02T03:19:02.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,90.62089356110381,50.0,1610612756,2,3,2023-12-02T03:19:07Z,90000,False,0.0,36.0,1,right,J. Nurkic Hook (2 PTS),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.57,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2023-12-02T03:19:18.6Z,1,REGULAR,3pt,Jump Shot,[],203484,13.091327201051248,2.696078431372549,1610612743,2,3,2023-12-02T03:19:25Z,100000,False,237.0,71.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,24.68,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2023-12-02T03:19:19.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,2,3,2023-12-02T03:19:25Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,10.0,,,,,,,,,,,,,
13,PT11M02.00S,2023-12-02T03:19:43.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203200,17.0335085413929,27.941176470588236,1610612743,2,5,2023-12-02T03:19:49Z,130000,False,110.0,108.0,1,left,J. Holiday 15' pullup Jump Shot (5 PTS) (N. Jokic 1 AST),"[203200, 203999]",1610612743.0,DEN,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,15.41,Made,5.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
15,PT10M46.00S,2023-12-02T03:19:59.0Z,1,REGULAR,3pt,Jump Shot,[],201142,70.12155059132719,24.019607843137255,1610612756,5,5,2023-12-02T03:20:04Z,150000,False,-130.0,228.0,1,right,K. Durant 26' 3PT pullup (3 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,26.28,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2023-12-02T03:20:16.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,5.863994743758213,51.71568627450981,1610612743,5,7,2023-12-02T03:20:21Z,170000,False,-9.0,3.0,1,left,M. Porter Jr. driving DUNK (2 PTS) (J. Holiday 1 AST),"[1629008, 203200]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.9,Made,2.0,J. Holiday,203200.0,1.0,,,,,,,,,,,,,,
19,PT10M15.00S,2023-12-02T03:20:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,85.23324572930355,65.68627450980392,1610612756,7,7,2023-12-02T03:20:41Z,190000,False,78.0,86.0,1,right,K. Durant 11' turnaround fadeaway Jump Shot (5 PTS),[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,11.66,Made,5.0,,,,,,,,,,,,,,,,,
