actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-03T02:10:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-03T02:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-03T02:10:23.7Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2024-03-03T02:10:23Z,40000,False,,,0,,Jump Ball A. Sengun vs. J. Nurkic: Tip to J. Green,"[1630224, 1630578, 203994]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2024-03-03T02:10:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.82588699080158,49.50980392156863,1610612745,0,2,2024-03-03T02:10:29Z,70000,False,-2.0,-4.0,1,right,J. Green driving reverse Layup (2 PTS),[1630224],1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-03-03T02:10:46.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,26.62614980289093,13.480392156862745,1610612756,0,2,2024-03-03T02:10:53Z,90000,False,183.0,198.0,1,left,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,26.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2024-03-03T02:10:47.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,2,2024-03-03T02:10:53Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,9.0,,,,,,,,,,,,,,,,
12,PT11M10.00S,2024-03-03T02:11:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,96.7969776609724,97.79411764705883,1610612745,0,2,2024-03-03T02:11:18Z,120000,False,239.0,-22.0,1,right,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-03-03T02:11:16.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,2,2024-03-03T02:11:18Z,130000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Right Corner 3,24+ Right,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M59.00S,2024-03-03T02:11:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,6.389618922470433,51.9607843137255,1610612756,2,2,2024-03-03T02:11:34Z,140000,False,-10.0,8.0,1,left,B. Beal reverse Layup (2 PTS) (J. Nurkic 1 AST),"[203078, 203994]",1610612756.0,PHX,reverse,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,1.24,Made,2.0,,,,,J. Nurkic,203994.0,1.0,,,,,,,,,,
16,PT10M47.00S,2024-03-03T02:11:35.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,77.7431011826544,49.01960784313725,1610612745,2,2,2024-03-03T02:11:43Z,160000,False,-5.0,157.0,1,right,MISS A. Sengun 15' pullup Shot,[1630578],1610612745.0,HOU,pullup,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Center,15.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2024-03-03T02:11:38.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,2,2,2024-03-03T02:11:43Z,170000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M39.00S,2024-03-03T02:11:47.7Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,2,2,2024-03-03T02:12:03Z,180000,False,,,0,,D. Booker lost ball out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,lost ball,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1628954.0,1.0,,,,,,,,
