actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-22T02:40:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-22T02:40:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-22T02:40:27.1Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-03-22T02:40:27Z,40000,False,,,0,,Jump Ball J. Nurkic vs. C. Capela: Tip to B. Beal,"[203078, 203994, 203991]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-22T02:40:44.1Z,1,REGULAR,3pt,Jump Shot,[],203078,11.875821287779246,3.67647058823529,1610612756,3,0,2024-03-22T02:40:49Z,70000,False,232.0,59.0,1,left,B. Beal 3PT  (3 PTS) (G. Allen 1 AST),"[203078, 1628960]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Right Corner 3,24+ Right,23.9,Made,3.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-03-22T02:41:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,90.71944809461235,4.166666666666657,1610612737,3,3,2024-03-22T02:41:10Z,90000,False,-229.0,35.0,1,right,D. Hunter 3PT  (3 PTS) (V. Krejci 1 AST),"[1629631, 1630249]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.18,Made,3.0,V. Krejci,1630249.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2024-03-22T02:41:21.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,25.804862023653087,86.76470588235294,1610612756,3,3,2024-03-22T02:42:20Z,110000,False,-184.0,190.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-03-22T02:41:28.9Z,1,REGULAR,rebound,offensive,[],203078,,,1610612756,3,3,2024-03-22T02:42:20Z,120000,False,,,0,,B. Beal REBOUND (Off:1 Def:0),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M54.00S,2024-03-22T02:41:30.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203078,5.590000152587891,50.0,1610612756,5,3,2024-03-22T02:42:00Z,130000,False,0.0,0.0,1,left,B. Beal tip Layup (5 PTS),[203078],1610612756.0,PHX,tip,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2024-03-22T02:41:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,91.77069645203679,61.27450980392157,1610612737,5,3,2024-03-22T02:42:23Z,140000,False,56.0,25.0,1,right,MISS C. Capela 6' Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2024-03-22T02:41:44.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,5,3,2024-03-22T02:42:23Z,150000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
16,PT10M34.00S,2024-03-22T02:41:49.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630249,68.51182654402103,48.0392156862745,1610612737,5,6,2024-03-22T02:42:33Z,160000,False,-10.0,243.0,1,right,V. Krejci 24' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1630249, 203992]",1610612737.0,ATL,,,,Krejci,V. Krejci,,,,,Above the Break 3,24+ Center,24.37,Made,3.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,
18,PT10M18.00S,2024-03-22T02:42:05.4Z,1,REGULAR,3pt,Jump Shot,[],203078,26.461892247043366,84.55882352941177,1610612756,5,6,2024-03-22T02:42:17Z,180000,False,-173.0,196.0,1,left,MISS B. Beal 26' 3PT,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2024-03-22T02:42:09.5Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,5,6,2024-03-22T02:42:09Z,190000,False,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
56,PT10M02.00S,2024-03-22T02:42:15.7Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,5,6,2024-03-22T02:47:47Z,205000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1627749]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,
57,PT10M02.00S,2024-03-22T02:42:15.7Z,1,REGULAR,steal,,[],1627749,,,1610612737,5,6,2024-03-22T02:47:10Z,212500,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
