actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-07T03:05:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-07T03:05:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2024-02-07T03:05:54.6Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612749,0,0,2024-02-07T03:05:54Z,40000,False,,,0,,Jump Ball R. Lopez vs. J. Nurkic: Tip to M. Beasley,"[1627736, 201577, 203994]",1610612749.0,MIL,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Lopez,201577.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-07T03:06:05.4Z,1,REGULAR,3pt,Jump Shot,[],1627736,7.408015768725363,3.9215686274509807,1610612749,0,0,2024-02-07T03:06:32Z,70000,False,230.0,17.0,1,left,MISS M. Beasley 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,23.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-02-07T03:06:07.4Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,0,2024-02-07T03:06:10Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-02-07T03:06:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,6.8823915900131425,47.549019607843135,1610612749,0,0,2024-02-07T03:06:14Z,90000,False,12.0,12.0,1,left,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2024-02-07T03:06:12.3Z,1,REGULAR,rebound,offensive,[],1627736,,,1610612749,0,0,2024-02-07T03:06:14Z,100000,False,,,0,,M. Beasley REBOUND (Off:1 Def:0),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M31.00S,2024-02-07T03:06:14.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,34.477660972404735,56.127450980392155,1610612749,0,3,2024-02-07T03:06:59Z,110000,False,-31.0,272.0,1,left,M. Beasley 27' 3PT pullup (3 PTS),[1627736],1610612749.0,MIL,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,27.33,Made,,,,,3.0,,,,,,,,,,,,,
12,PT11M12.00S,2024-02-07T03:06:33.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,79.41852825229961,72.54901960784314,1610612756,0,3,2024-02-07T03:06:39Z,120000,False,113.0,141.0,1,right,MISS D. Booker 18' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,18.05,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2024-02-07T03:06:33.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,3,2024-02-07T03:06:39Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,16-24 Right Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2024-02-07T03:06:54.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,67.19776609724047,52.205882352941174,1610612756,0,3,2024-02-07T03:06:57Z,150000,False,11.0,256.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,25.6,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2024-02-07T03:06:57.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,3,2024-02-07T03:06:57Z,160000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M58.00S,2024-02-07T03:07:05.2Z,1,REGULAR,violation,kicked ball,[],203078,,,1610612749,0,3,2024-02-07T03:07:09Z,170000,False,,,0,,B. Beal kicked ball VIOLATION,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,203591.0,,,,,,,,,,,,
18,PT10M53.00S,2024-02-07T03:07:18.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,30.798291721419176,77.20588235294117,1610612749,0,3,2024-02-07T03:07:22Z,180000,False,-136.0,237.0,1,left,MISS M. Beasley 27' 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,27.32,Missed,,,,,,,,,,,,,,,,,,
19,PT10M51.00S,2024-02-07T03:07:20.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,0,3,2024-02-07T03:07:22Z,190000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M43.00S,2024-02-07T03:07:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.77069645203679,61.51960784313725,1610612756,0,3,2024-02-07T03:08:54Z,200000,False,58.0,25.0,1,right,MISS J. Nurkic 6' driving Layup,[203994],1610612756.0,PHX,driving,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2024-02-07T03:07:28.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,3,2024-02-07T03:08:04Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,,,,,,,,,,,,,,,,,
