actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-10T02:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-10T02:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-10T02:10:45.3Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-04-10T02:10:45Z,40000,False,,,0,,Jump Ball D. Eubanks vs. I. Zubac: Tip to B. Beal,"[203078, 1629234, 1627826]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Eubanks,1629234.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-10T02:11:00.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,11.908672798948752,3.6764705882352944,1610612756,0,0,2024-04-10T02:11:05Z,70000,False,232.0,59.0,1,left,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,23.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-04-10T02:11:03.7Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,0,0,2024-04-10T02:11:05Z,80000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-04-10T02:11:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,91.67214191852825,55.14705882352941,1610612746,0,0,2024-04-10T02:11:24Z,90000,False,26.0,26.0,1,right,MISS I. Zubac floating Shot - blocked,"[1627826, 203078]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,3.64,Missed,,,,,Beal,203078.0,,,,,,,,,,,,
10,PT11M24.00S,2024-04-10T02:11:16.3Z,1,REGULAR,block,,[],203078,,,1610612746,0,0,2024-04-10T02:11:20Z,100000,False,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2024-04-10T02:11:23.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,0,2024-04-10T02:11:24Z,110000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M17.00S,2024-04-10T02:11:23.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,94.40999984741211,50.0,1610612746,0,2,2024-04-10T02:11:29Z,120000,False,0.0,0.0,1,right,I. Zubac putback Layup (2 PTS),[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M04.00S,2024-04-10T02:11:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612756,0,2,2024-04-10T02:11:58Z,140000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Durant 2 FT),"[1626181, 201142]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,201246.0,1.0,0.0,Durant,201142.0,,,,,,
16,PT11M04.00S,2024-04-10T02:12:16.9Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,0,2,2024-04-10T02:12:52Z,160000,False,,,0,,MISS K. Durant Free Throw 1 of 2,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
