actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
549,PT07M01.00S,2024-04-08T00:01:59.5Z,4,REGULAR,steal,,[],1630529,,,1610612740,96,97,2024-04-08T00:02:01Z,5310000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
550,PT06M58.00S,2024-04-08T00:02:04.5Z,4,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612740,96,97,2024-04-08T00:02:18Z,5320000,False,,,0,,G. Allen shooting personal FOUL (2 PF) (Jones 2 FT),"[1628960, 1630529]",1610612756.0,PHX,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Jones,1630529.0
553,PT06M58.00S,2024-04-08T00:02:35.7Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1630529,,,1610612740,96,98,2024-04-08T00:02:35Z,5340000,False,,,0,,H. Jones Free Throw 1 of 2 (1 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
554,PT06M58.00S,2024-04-08T00:02:53.0Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1630529,,,1610612740,96,99,2024-04-08T00:02:53Z,5350000,False,,,0,,H. Jones Free Throw 2 of 2 (2 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
555,PT06M47.00S,2024-04-08T00:03:06.2Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,91.5407358738502,52.20588235294118,1610612756,96,99,2024-04-08T00:03:11Z,5360000,False,11.0,27.0,1,right,MISS K. Durant driving DUNK,[201142],1610612756.0,PHX,driving,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,2.92,Missed,,,,,,,,,,,,,,,,,,
556,PT06M43.00S,2024-04-08T00:03:09.0Z,4,REGULAR,rebound,offensive,[],203078,,,1610612756,96,99,2024-04-08T00:03:09Z,5370000,False,,,0,,B. Beal REBOUND (Off:2 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,555.0,3.0,1.0,2.0,,,,,,,,,,,,
557,PT06M40.00S,2024-04-08T00:03:17.7Z,4,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,96,99,2024-04-08T00:03:31Z,5380000,False,,,0,,D. Booker lost ball out-of-bounds TURNOVER (4 TO),[1626164],1610612756.0,PHX,lost ball,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,4.0,,,201639.0,,,,
558,PT06M29.00S,2024-04-08T00:03:38.0Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629627,12.959921156373195,45.09803921568628,1610612740,96,99,2024-04-08T00:11:07Z,5390000,False,25.0,69.0,1,left,MISS Z. Williamson 7' turnaround Shot - blocked,"[1629627, 203078]",1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,7.35,Missed,Beal,203078.0,,,,,,,,,,,,,,,,
559,PT06M29.00S,2024-04-08T00:03:38.0Z,4,REGULAR,block,,[],203078,,,1610612740,96,99,2024-04-08T00:03:39Z,5400000,False,,,0,,B. Beal BLOCK (2 BLK),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
560,PT06M27.00S,2024-04-08T00:03:40.0Z,4,REGULAR,rebound,defensive,[],1628960,,,1610612756,96,99,2024-04-08T00:11:07Z,5410000,False,,,0,,G. Allen REBOUND (Off:0 Def:4),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,558.0,4.0,4.0,0.0,,,,,,,,,,,,
