actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-08T01:10:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-08T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-08T01:10:46.4Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-01-08T01:10:46Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Jackson Jr.: Tip to B. Beal,"[203078, 203994, 1628991]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-08T01:10:59.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.802233902759525,45.83333333333333,1610612756,0,0,2024-01-08T01:11:07Z,70000,False,21.0,256.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-01-08T01:11:03.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612763,0,0,2024-01-08T01:11:03Z,80000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-08T01:11:14.0Z,1,REGULAR,3pt,Jump Shot,[],203935,71.82982917214193,77.94117647058823,1610612763,0,0,2024-01-08T01:11:21Z,90000,False,140.0,212.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-01-08T01:11:17.0Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,0,0,2024-01-08T01:11:21Z,100000,False,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2024-01-08T01:11:20.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,72.35545335085413,78.92156862745098,1610612763,0,0,2024-01-08T01:11:27Z,110000,False,145.0,207.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.28,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-01-08T01:11:24.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2024-01-08T01:11:47Z,120000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2024-01-08T01:11:33.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,6.1268068331143235,48.28431372549019,1610612756,2,0,2024-01-08T01:11:37Z,130000,False,9.0,5.0,1,left,J. Nurkic Hook (2 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,
15,PT10M59.00S,2024-01-08T01:11:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,86.02168199737189,39.21568627450981,1610612763,2,0,2024-01-08T01:13:11Z,150000,False,-54.0,79.0,1,right,MISS L. Kennard 9' pullup Shot,[1628379],1610612763.0,MEM,pullup,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Left,9.56,Missed,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2024-01-08T01:11:47.1Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,2,0,2024-01-08T01:11:47Z,160000,False,,,0,,X. Tillman REBOUND (Off:2 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),8-16 Left,,,15.0,2.0,0.0,2.0,,,,,,,,,,,,,,
