actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-22T02:10:17.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-22T02:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-11-22T02:10:22.2Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2023-11-22T02:10:22Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Nurkic: Tip to T. Camara,"[1641739, 1629028, 203994]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Ayton,1629028.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-11-22T02:10:38.8Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612757,0,0,2023-11-22T02:10:43Z,70000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 203994]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,1.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-22T02:10:38.8Z,1,REGULAR,steal,,[],203994,,,1610612756,0,0,2023-11-22T02:10:40Z,80000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2023-11-22T02:11:17.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203994,78.79434954007884,25.98039215686275,1610612756,0,0,2023-11-22T02:11:26Z,100000,False,-120.0,147.0,1,right,MISS J. Nurkic 18' turnaround fadeaway Shot,[203994],1610612756.0,PHX,turnaround fadeaway,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Left Center,,,,18.97,Missed,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-11-22T02:11:18.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2023-11-22T02:12:41Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,10.0,,,,,,,,,,,,,,
13,PT11M15.00S,2023-11-22T02:11:24.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612756,0,0,2023-11-22T02:11:41Z,130000,False,,,0,,PHX shot clock Team TURNOVER,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,203593.0,,,,,,,,,,,,,
14,PT11M04.00S,2023-11-22T02:11:44.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631101,32.40801576872536,55.392156862745104,1610612757,0,0,2023-11-22T02:11:51Z,140000,False,-27.0,252.0,1,left,MISS S. Sharpe 25' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,25.35,Missed,,,,,,,,,,,,,,,
15,PT11M00.00S,2023-11-22T02:11:48.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,0,0,2023-11-22T02:11:48Z,150000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,14.0,,1.0,0.0,1.0,,,,,,,,,,
16,PT10M52.00S,2023-11-22T02:11:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629028,8.360709592641262,40.931372549019606,1610612757,0,2,2023-11-22T02:11:59Z,160000,False,45.0,26.0,1,left,D. Ayton Layup (2 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,5.23,Made,,,,,,2.0,,,,,,,,,
17,PT10M40.00S,2023-11-22T02:12:07.9Z,1,REGULAR,2pt,Jump Shot,[],1626164,84.97043363994744,76.7156862745098,1610612756,0,2,2023-11-22T02:12:14Z,170000,False,134.0,89.0,1,right,MISS D. Booker 16' driving floating bank Shot,[1626164],1610612756.0,PHX,driving floating bank,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,,,,16.04,Missed,,,,,,,,,,,,,,,
18,PT10M37.00S,2023-11-22T02:12:11.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,2,2023-11-22T02:12:11Z,180000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right,,,,,,17.0,,1.0,0.0,1.0,,,,,,,,,,
19,PT10M34.00S,2023-11-22T02:12:14.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,88.38699080157687,34.068627450980394,1610612756,2,2,2023-11-22T02:14:11Z,190000,False,-80.0,57.0,1,right,K. Durant 9' turnaround fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Left,,,,9.78,Made,,,,,,2.0,,,,,,,,,
20,PT10M18.00S,2023-11-22T02:12:30.2Z,1,REGULAR,2pt,Jump Shot,[],1627763,22.815374507227332,41.42156862745098,1610612757,2,2,2023-11-22T02:12:34Z,200000,False,43.0,162.0,1,left,MISS M. Brogdon 16' pullup Shot,[1627763],1610612757.0,POR,pullup,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Center,,,,16.76,Missed,,,,,,,,,,,,,,,
21,PT10M15.00S,2023-11-22T02:12:33.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,2,2,2023-11-22T02:12:34Z,210000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,20.0,,2.0,1.0,1.0,,,,,,,,,,
22,PT10M07.00S,2023-11-22T02:12:40.9Z,1,REGULAR,3pt,Jump Shot,[],203994,65.4361038107753,48.40686274509804,1610612756,2,2,2023-11-22T02:12:49Z,220000,False,-8.0,272.0,1,right,MISS J. Nurkic 27' 3PT,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,,27.25,Missed,,,,,,,,,,,,,,,
23,PT10M07.00S,2023-11-22T02:12:40.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,2,2,2023-11-22T02:12:49Z,230000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,22.0,,1.0,1.0,0.0,,,,,,,,,,
24,PT09M58.00S,2023-11-22T02:12:50.9Z,1,REGULAR,2pt,Jump Shot,[],203924,9.411957950065702,77.94117647058823,1610612757,2,2,2023-11-22T02:12:59Z,240000,False,-140.0,36.0,1,left,MISS J. Grant 14' Jump Shot,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,,14.43,Missed,,,,,,,,,,,,,,,
25,PT09M55.00S,2023-11-22T02:12:53.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2023-11-22T02:12:59Z,250000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,24.0,,1.0,1.0,0.0,,,,,,,,,,
26,PT09M51.00S,2023-11-22T02:12:58.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201142,93.38042049934296,51.470588235294116,1610612756,4,2,2023-11-22T02:15:29Z,260000,False,7.0,10.0,1,right,K. Durant running reverse Layup (4 PTS) (D. Booker 1 AST),"[201142, 1626164]",1610612756.0,PHX,running reverse,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,1.22,Made,,,,,,4.0,D. Booker,1626164.0,1.0,,,,,,
28,PT09M38.00S,2023-11-22T02:13:09.9Z,1,REGULAR,2pt,Jump Shot,[],1629028,21.50131406044678,50.245098039215684,1610612757,4,2,2023-11-22T02:13:14Z,280000,False,-1.0,150.0,1,left,MISS D. Ayton 14' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,,,,14.96,Missed,,,,,,,,,,,,,,,
29,PT09M38.00S,2023-11-22T02:13:09.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,4,2,2023-11-22T02:13:14Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Center,,,,,,28.0,,,,,,,,,,,,,,
31,PT09M27.00S,2023-11-22T02:13:35.1Z,1,REGULAR,foul,offensive,[],203994,,,1610612756,4,2,2023-11-22T02:13:52Z,310000,False,,,0,,J. Nurkic offensive FOUL (1 PF),"[203994, 1641739]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,,,,,,,203054.0,,,,,,,,1.0,0.0,Camara,1641739.0,,
33,PT09M27.00S,2023-11-22T02:13:35.1Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612756,4,2,2023-11-22T02:13:52Z,330000,False,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,203054.0,,,,,,,,,,,,,
34,PT09M15.00S,2023-11-22T02:14:06.1Z,1,REGULAR,turnover,out-of-bounds,[],1631101,,,1610612757,4,2,2023-11-22T02:14:14Z,340000,False,,,0,,S. Sharpe bad pass out-of-bounds TURNOVER (1 TO),[1631101],1610612757.0,POR,bad pass,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,2882.0,,,,,,,,,,,,,
