actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-23T02:10:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-23T02:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-23T02:10:37.6Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-01-23T02:10:37Z,40000,False,,,0,,Jump Ball J. Nurkic vs. N. Vucevic: Tip to B. Beal,"[203078, 203994, 202696]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2024-01-23T02:11:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,10.33180026281209,46.81372549019608,1610612756,0,0,2024-01-23T02:11:09Z,70000,False,16.0,45.0,1,left,MISS G. Allen driving Layup,[1628960],1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-01-23T02:11:01.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2024-01-23T02:11:09Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-01-23T02:11:26.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,74.19513797634691,13.23529411764706,1610612741,0,3,2024-01-23T02:11:30Z,100000,False,-184.0,190.0,1,right,P. Williams 26' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1630172, 202696]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.44,Made,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,
12,PT10M54.00S,2024-01-23T02:11:45.8Z,1,REGULAR,2pt,Jump Shot,[],203078,8.229303547963205,33.57843137254902,1610612756,0,3,2024-01-23T02:11:55Z,120000,False,82.0,25.0,1,left,MISS B. Beal 8' driving floating Shot,[203078],1610612756.0,PHX,driving floating,,,Beal,B. Beal,,,,,Mid-Range,8-16 Right,8.58,Missed,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2024-01-23T02:11:46.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,3,2024-01-23T02:13:59Z,130000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT10M42.00S,2024-01-23T02:11:58.2Z,1,REGULAR,3pt,Jump Shot,[],1630172,73.14388961892247,15.441176470588236,1610612741,0,3,2024-01-23T02:12:03Z,140000,False,-173.0,200.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.42,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2024-01-23T02:12:02.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,3,2024-01-23T02:12:03Z,150000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,14.0,,,,,2.0,1.0,1.0,,,,,,,,,,
16,PT10M38.00S,2024-01-23T02:12:04.4Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,0,3,2024-01-23T02:12:19Z,160000,False,,,0,,N. Vucevic bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,bad pass,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628159.0,1.0,,,,,,,,
17,PT10M19.00S,2024-01-23T02:12:28.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203078,7.703679369250986,42.15686274509804,1610612756,2,3,2024-01-23T02:12:31Z,170000,False,39.0,20.0,1,left,B. Beal turnaround Jump Shot (2 PTS),[203078],1610612756.0,PHX,turnaround,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,4.4,Made,,2.0,,,,,,,,,,,,,,,,
18,PT10M07.00S,2024-01-23T02:12:39.5Z,1,REGULAR,3pt,Jump Shot,[],1627936,93.24901445466492,2.941176470588235,1610612741,2,3,2024-01-23T02:12:46Z,180000,False,-235.0,11.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
19,PT10M03.00S,2024-01-23T02:12:43.2Z,1,REGULAR,rebound,offensive,[],1629632,,,1610612741,2,3,2024-01-23T02:12:43Z,190000,False,,,0,,C. White REBOUND (Off:1 Def:0),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,,,18.0,,,,,1.0,0.0,1.0,,,,,,,,,,
20,PT10M02.00S,2024-01-23T02:12:45.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627936,71.43561103810775,18.627450980392158,1610612741,2,6,2024-01-23T02:12:50Z,200000,False,-157.0,216.0,1,right,A. Caruso 26' 3PT  (3 PTS) (N. Vucevic 2 AST),"[1627936, 202696]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,26.7,Made,,3.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,
22,PT09M46.00S,2024-01-23T02:13:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.783837056504599,58.333333333333336,1610612756,2,6,2024-01-23T02:13:03Z,220000,False,-42.0,11.0,1,left,MISS J. Nurkic Layup,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,4.32,Missed,,,,,,,,,,,,,,,,,,
23,PT09M44.00S,2024-01-23T02:13:02.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,6,2024-01-23T02:16:38Z,230000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,,,,,3.0,2.0,1.0,,,,,,,,,,
24,PT09M41.00S,2024-01-23T02:13:07.4Z,1,REGULAR,turnover,out-of-bounds,[],1627936,,,1610612741,2,6,2024-01-23T02:13:12Z,240000,False,,,0,,A. Caruso bad pass out-of-bounds TURNOVER (1 TO),[1627936],1610612741.0,CHI,bad pass,,,Caruso,A. Caruso,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1830.0,1.0,,,,,,,,
25,PT09M33.00S,2024-01-23T02:13:20.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,25.18068331143233,45.83333333333333,1610612756,4,6,2024-01-23T02:13:23Z,250000,False,21.0,184.0,1,left,K. Durant 18' pullup Jump Shot (2 PTS) (J. Nurkic 1 AST),"[201142, 203994]",1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,18.54,Made,,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,
26,PT09M14.00S,2024-01-23T02:13:39.1Z,1,REGULAR,2pt,Jump Shot,[],1629632,91.40932982917214,25.98039215686275,1610612741,4,6,2024-01-23T02:18:07Z,260000,False,-120.0,28.0,1,right,MISS C. White 12' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Mid-Range,8-16 Left,12.34,Missed,,,,,,,,,,,,,,,,,,
27,PT09M12.00S,2024-01-23T02:13:40.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,4,6,2024-01-23T02:13:40Z,270000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,26.0,,,,,4.0,2.0,2.0,,,,,,,,,,
28,PT09M06.00S,2024-01-23T02:13:47.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202696,94.69448094612353,49.50980392156863,1610612741,4,8,2024-01-23T02:13:51Z,280000,False,-2.0,-3.0,1,right,N. Vucevic cutting DUNK (2 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.36,Made,,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,
30,PT08M50.00S,2024-01-23T02:14:03.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,5.995400788436268,49.01960784313725,1610612756,6,8,2024-01-23T02:14:06Z,300000,False,5.0,4.0,1,left,J. Nurkic cutting DUNK (2 PTS) (K. Durant 1 AST),"[203994, 201142]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.63,Made,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,
32,PT08M36.00S,2024-01-23T02:14:16.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,95.3515111695138,95.83333333333334,1610612741,6,11,2024-01-23T02:19:00Z,320000,False,229.0,-9.0,1,right,A. Caruso 3PT pullup (6 PTS) (C. White 1 AST),"[1627936, 1629632]",1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,22.94,Made,,6.0,C. White,1629632.0,1.0,,,,,,,,,,,,,
34,PT08M19.00S,2024-01-23T02:14:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,19.92444152431012,61.029411764705884,1610612756,8,11,2024-01-23T02:14:42Z,340000,False,-55.0,135.0,1,left,D. Booker 14' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,14.56,Made,,2.0,,,,,,,,,,,,,,,,
35,PT08M08.00S,2024-01-23T02:14:45.9Z,1,REGULAR,3pt,Jump Shot,[],1630172,70.64717477003943,19.362745098039216,1610612741,8,11,2024-01-23T02:14:51Z,350000,False,-153.0,223.0,1,right,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,27.09,Missed,,,,,,,,,,,,,,,,,,
36,PT08M04.00S,2024-01-23T02:14:49.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,8,11,2024-01-23T02:14:51Z,360000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,35.0,,,,,1.0,1.0,0.0,,,,,,,,,,
37,PT07M56.00S,2024-01-23T02:14:59.5Z,1,REGULAR,foul,personal,[],1630172,,,1610612756,8,11,2024-01-23T02:15:05Z,370000,False,,,0,,P. Williams personal FOUL (1 PF),"[1630172, 201142]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1628159.0,,1.0,0.0,Durant,201142.0,,,,
39,PT07M56.00S,2024-01-23T02:15:12.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,8,11,2024-01-23T02:15:12Z,390000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
