actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-04T02:43:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-04T02:43:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-04T02:43:47.0Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2024-03-04T02:43:47Z,40000,False,,,0,,Jump Ball J. Nurkic vs. C. Holmgren: Tip to G. Allen,"[1628960, 203994, 1631096]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Nurkic,203994.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2024-03-04T02:43:49.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,33.327858081471746,68.13725490196079,1610612756,0,0,2024-03-04T02:43:53Z,70000,False,-91.0,261.0,1,left,MISS R. O'Neale 27' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,27.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2024-03-04T02:43:51.5Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-03-04T02:43:53Z,80000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2024-03-04T02:44:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,82.60512483574244,42.15686274509804,1610612760,0,0,2024-03-04T02:44:09Z,90000,False,-39.0,111.0,1,right,MISS J. Williams 11' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,11.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-04T02:44:08.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2024-03-04T02:44:09Z,100000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2024-03-04T02:44:17.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,5.601182654402102,51.225490196078425,1610612756,0,0,2024-03-04T02:44:23Z,110000,False,-6.0,0.0,1,left,MISS J. Nurkic Hook,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2024-03-04T02:44:20.8Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,0,2024-03-04T02:44:20Z,120000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M18.00S,2024-03-04T02:44:24.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203078,27.54599211563732,81.37254901960785,1610612756,0,0,2024-03-04T02:44:29Z,130000,False,-157.0,206.0,1,left,MISS B. Beal 25' 3PT,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2024-03-04T02:44:28.6Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-03-04T02:44:29Z,140000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT11M08.00S,2024-03-04T02:44:34.7Z,1,REGULAR,2pt,Jump Shot,[],1630581,96.00854139290408,27.205882352941174,1610612760,0,0,2024-03-04T02:45:33Z,150000,False,-114.0,-15.0,1,right,MISS J. Giddey 11' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,11.5,Missed,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2024-03-04T02:44:36.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2024-03-04T02:44:38Z,160000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,15.0,3.0,2.0,1.0,,,,,,,,,,,,,,
17,PT10M57.00S,2024-03-04T02:44:45.9Z,1,REGULAR,2pt,Jump Shot,[],201142,5.469776609724048,69.11764705882352,1610612756,0,0,2024-03-04T02:45:00Z,170000,False,-96.0,-1.0,1,left,MISS K. Durant 9' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,9.56,Missed,,,,,,,,,,,,,,,,,,
19,PT10M56.00S,2024-03-04T02:44:46.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,0,2024-03-04T02:48:48Z,190000,False,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,17.0,4.0,2.0,2.0,,,,,,,,,,,,,,
42,PT10M56.00S,2024-03-04T02:44:52.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,8.623521681997373,50.245098039215684,1610612756,0,0,2024-03-04T02:50:20Z,195000,False,-1.0,29.0,1,left,MISS J. Nurkic putback Layup - blocked,"[203994, 1629652]",1610612756.0,PHX,putback,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,Dort,1629652.0,,,,,,,,,,,,
43,PT10M56.00S,2024-03-04T02:44:52.9Z,1,REGULAR,block,,[],1629652,,,1610612756,0,0,2024-03-04T03:02:54Z,197500,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT10M56.00S,2024-03-04T02:44:52.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2024-03-04T02:48:16Z,198750,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,42.0,,,,,,,,,,,,,,,,,
