actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-13T01:11:06.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-13T01:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-13T01:11:08.5Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2023-11-13T01:11:08Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Nurkic: Tip to J. Giddey,"[1630581, 1631096, 203994]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Holmgren,1631096.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-11-13T01:11:18.7Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612760,0,0,2023-11-13T01:11:35Z,70000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Holmgren 2 FT),"[203994, 1631096]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,201638.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-11-13T01:11:46.0Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,0,1,2023-11-13T01:11:46Z,90000,False,,,0,,C. Holmgren Free Throw 1 of 2 (1 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M48.00S,2023-11-13T01:12:02.2Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,0,2,2023-11-13T01:12:02Z,100000,False,,,0,,C. Holmgren Free Throw 2 of 2 (2 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M35.00S,2023-11-13T01:12:17.9Z,1,REGULAR,2pt,Jump Shot,[],201142,76.42904073587385,52.94117647058824,1610612756,2,2,2023-11-13T01:12:25Z,110000,False,15.0,169.0,1,right,K. Durant 16' Jump Shot (2 PTS) (B. Beal 1 AST),"[201142, 203078]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,,,,Made,2.0,16.97,B. Beal,203078.0,1.0,,,,,,,,,
13,PT11M23.00S,2023-11-13T01:12:30.1Z,1,REGULAR,3pt,Jump Shot,[],1631096,27.94021024967148,14.215686274509803,1610612760,2,5,2023-11-13T01:12:34Z,130000,False,179.0,210.0,1,left,C. Holmgren 27' 3PT  (5 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,Made,5.0,27.59,J. Giddey,1630581.0,1.0,,,,,,,,,
15,PT11M06.00S,2023-11-13T01:12:46.9Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612756,2,5,2023-11-13T01:12:50Z,150000,False,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1629652]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,Dort,1629652.0,,,,,,
16,PT11M06.00S,2023-11-13T01:12:46.9Z,1,REGULAR,steal,,[],1629652,,,1610612760,2,5,2023-11-13T01:12:48Z,160000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
17,PT11M03.00S,2023-11-13T01:12:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,7.178055190538765,50.0,1610612760,2,7,2023-11-13T01:12:55Z,170000,False,0.0,15.0,1,left,L. Dort running Layup (2 PTS),[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.5,,,,,,,,,,,,
