actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-06T02:10:55.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-06T02:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-06T02:10:59.3Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-04-06T02:10:59Z,40000,False,,,0,,Jump Ball J. Nurkic vs. R. Gobert: Tip to B. Beal,"[203078, 203994, 203497]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-04-06T02:11:20.0Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,0,0,2024-04-06T02:11:23Z,70000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1629675]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,1.0,Reid,1629675.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-04-06T02:11:20.0Z,1,REGULAR,steal,,[],1629675,,,1610612750,0,0,2024-04-06T02:18:17Z,80000,False,,,0,,N. Reid STEAL (1 STL),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2024-04-06T02:11:24.5Z,1,REGULAR,turnover,bad pass,[],1629675,,,1610612750,0,0,2024-04-06T02:11:28Z,90000,False,,,0,,N. Reid bad pass TURNOVER (1 TO),"[1629675, 203994]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Center,1.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-04-06T02:11:24.5Z,1,REGULAR,steal,,[],203994,,,1610612756,0,0,2024-04-06T02:11:26Z,100000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2024-04-06T02:11:34.6Z,1,REGULAR,foul,personal,['3freethrow'],1630183,,,1610612756,0,0,2024-04-06T02:11:46Z,120000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Booker 3 FT),"[1630183, 1626164]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,1151.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,,,
14,PT11M26.00S,2024-04-06T02:11:58.3Z,1,REGULAR,freethrow,1 of 3,"['fromturnover', 'fastbreak']",1626164,,,1610612756,1,0,2024-04-06T02:11:58Z,140000,False,,,0,,D. Booker Free Throw 1 of 3 (1 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
15,PT11M26.00S,2024-04-06T02:12:11.1Z,1,REGULAR,freethrow,2 of 3,"['fastbreak', 'fromturnover']",1626164,,,1610612756,2,0,2024-04-06T02:12:11Z,150000,False,,,0,,D. Booker Free Throw 2 of 3 (2 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
16,PT11M26.00S,2024-04-06T02:12:23.2Z,1,REGULAR,freethrow,3 of 3,"['fastbreak', 'fromturnover']",1626164,,,1610612756,3,0,2024-04-06T02:12:23Z,160000,False,,,0,,D. Booker Free Throw 3 of 3 (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,
17,PT11M10.00S,2024-04-06T02:12:43.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,89.83245729303549,52.20588235294118,1610612750,3,0,2024-04-06T02:12:47Z,170000,False,11.0,43.0,1,right,MISS R. Gobert driving floating Shot,[203497],1610612750.0,MIN,driving floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,4.45,,,,,,,,,
18,PT11M08.00S,2024-04-06T02:12:45.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,3,0,2024-04-06T02:12:47Z,180000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M58.00S,2024-04-06T02:12:55.3Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,3,0,2024-04-06T02:12:58Z,190000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1629675]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,1.0,Reid,1629675.0,,,,,,,,,,,,,,,,,
20,PT10M58.00S,2024-04-06T02:12:55.3Z,1,REGULAR,steal,,[],1629675,,,1610612750,3,0,2024-04-06T02:12:56Z,200000,False,,,0,,N. Reid STEAL (2 STL),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M53.00S,2024-04-06T02:13:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629675,93.77463863337714,50.98039215686274,1610612750,3,0,2024-04-06T02:13:05Z,210000,False,5.0,6.0,1,right,MISS N. Reid running Layup,[1629675],1610612750.0,MIN,running,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,0.77,,,,,,,,,
22,PT10M51.00S,2024-04-06T02:13:02.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,3,0,2024-04-06T02:13:05Z,220000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
