actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-15T02:10:53.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T02:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-15T02:10:56.1Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2024-02-15T02:10:56Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Duren: Tip to G. Allen,"[1628960, 203994, 1631105]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Nurkic,203994.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-15T02:11:10.9Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,0,0,2024-02-15T02:11:13Z,70000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1630595]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,1.0,Cunningham,1630595.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-02-15T02:11:10.9Z,1,REGULAR,steal,,[],1630595,,,1610612765,0,0,2024-02-15T02:11:12Z,80000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-15T02:11:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631105,93.38042049934296,50.0,1610612765,0,0,2024-02-15T02:11:20Z,90000,False,0.0,10.0,1,right,MISS J. Duren running Layup - blocked,"[1631105, 203994]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,0.97,Missed,Nurkic,203994.0,,,,,,,,,,,,,
10,PT11M36.00S,2024-02-15T02:11:15.7Z,1,REGULAR,block,,[],203994,,,1610612765,0,0,2024-02-15T02:11:18Z,100000,False,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2024-02-15T02:11:17.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2024-02-15T02:11:20Z,110000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M31.00S,2024-02-15T02:11:21.3Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,0,0,2024-02-15T02:11:24Z,120000,False,,,0,,J. Nurkic bad pass TURNOVER (2 TO),"[203994, 1631323]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,2.0,Fontecchio,1631323.0,,,,,,,,,,,,,,,,,
13,PT11M31.00S,2024-02-15T02:11:21.3Z,1,REGULAR,steal,,[],1631323,,,1610612765,0,0,2024-02-15T02:11:23Z,130000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M28.00S,2024-02-15T02:11:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631323,93.64323258869908,50.73529411764706,1610612765,0,2,2024-02-15T02:12:42Z,140000,False,4.0,7.0,1,right,S. Fontecchio Layup (2 PTS),[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,0.82,Made,,,,,,,2.0,,,,,,,,
