actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-03T02:10:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T02:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-03T02:10:39.2Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2023-12-03T02:10:39Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Jackson Jr.: Tip to G. Allen,"[1628960, 203994, 1628991]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Nurkic,203994.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2023-12-03T02:10:47.9Z,1,REGULAR,turnover,out-of-bounds,[],1628960,,,1610612756,0,0,2023-12-03T02:10:57Z,70000,False,,,0,,G. Allen bad pass out-of-bounds TURNOVER (1 TO),[1628960],1610612756.0,PHX,bad pass,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,1628951.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-12-03T02:11:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,95.22010512483574,51.470588235294116,1610612763,0,2,2023-12-03T02:11:17Z,80000,False,7.0,-8.0,1,right,J. Jackson Jr. driving Layup (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,1.06,Made,2.0,,,,,,,,,,,,,,,
9,PT11M08.00S,2023-12-03T02:11:36.1Z,1,REGULAR,3pt,Jump Shot,[],203994,35.167542706964525,35.049019607843135,1610612756,0,2,2023-12-03T02:11:41Z,90000,False,75.0,278.0,1,left,MISS J. Nurkic 28' 3PT,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,,,28.8,Missed,,,,,,,,,,,,,,,,
10,PT11M05.00S,2023-12-03T02:11:39.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,2,2023-12-03T02:11:41Z,100000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT10M58.00S,2023-12-03T02:11:46.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,67.7562417871222,31.372549019607842,1610612763,0,5,2023-12-03T02:11:53Z,110000,False,-93.0,251.0,1,right,D. Bane 26' 3PT step back (3 PTS),[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,26.73,Made,3.0,,,,,,,,,,,,,,,
12,PT10M43.00S,2023-12-03T02:12:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,11.777266754270697,58.82352941176471,1610612756,2,5,2023-12-03T02:12:49Z,120000,False,-44.0,58.0,1,left,K. Durant 7' pullup Jump Shot (2 PTS) (D. Booker 1 AST),"[201142, 1626164]",1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,7.3,Made,2.0,,,,,D. Booker,1626164.0,1.0,,,,,,,,
14,PT10M30.00S,2023-12-03T02:12:14.3Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,2,5,2023-12-03T02:12:19Z,140000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 203994]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,Nurkic,203994.0,,,,,,
15,PT10M30.00S,2023-12-03T02:12:14.3Z,1,REGULAR,steal,,[],203994,,,1610612756,2,5,2023-12-03T02:12:15Z,150000,False,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
