actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-01T01:10:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-01T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-01T01:10:52.7Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2024-01-01T01:10:52Z,40000,False,,,0,,Jump Ball J. Nurkic vs. G. Bitadze: Tip to D. Booker,"[1626164, 203994, 1629048]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkic,203994.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-01T01:11:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,88.78120893561103,49.50980392156863,1610612756,0,0,2024-01-01T01:11:13Z,70000,False,-2.0,53.0,1,right,MISS J. Nurkic cutting Layup - blocked,"[203994, 1631094]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,Banchero,1631094.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-01T01:11:08.3Z,1,REGULAR,block,,[],1631094,,,1610612756,0,0,2024-01-01T01:11:10Z,80000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-01T01:11:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2024-01-01T01:11:13Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M24.00S,2024-01-01T01:11:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.015768725361367,45.653339460784316,1610612753,0,2,2024-01-01T01:11:44Z,110000,False,22.0,23.0,1,left,P. Banchero driving finger roll Layup (2 PTS),[1631094],1610612753.0,ORL,driving finger roll,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.15,Made,,,,2.0,,,,,,,,,,,,,,
12,PT11M13.00S,2024-01-01T01:11:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,85.10183968462549,39.705882352941174,1610612756,2,2,2024-01-01T01:11:52Z,120000,False,-51.0,88.0,1,right,K. Durant 10' pullup Jump Shot (2 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,10.15,Made,,,,2.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-01-01T01:12:02.6Z,1,REGULAR,2pt,Jump Shot,[],1631094,18.347568988173457,24.509803921568626,1610612753,2,4,2024-01-01T01:12:05Z,130000,False,127.0,120.0,1,left,P. Banchero 17' pullup Jump Shot (4 PTS) (J. Suggs 1 AST),"[1631094, 1630591]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,17.51,Made,,,,4.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,
14,PT10M48.00S,2024-01-01T01:12:14.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,80.76544021024968,77.69607843137256,1610612756,2,4,2024-01-01T01:12:18Z,140000,False,138.0,128.0,1,right,MISS D. Booker 18' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,18.88,Missed,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2024-01-01T01:12:17.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,4,2024-01-01T01:12:18Z,150000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,,,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,
16,PT10M38.00S,2024-01-01T01:12:24.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,28.07161629434954,12.990196078431374,1610612753,2,4,2024-01-01T01:12:28Z,160000,False,185.0,211.0,1,left,MISS F. Wagner 28' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,28.09,Missed,,,,,,,,,,,,,,,,,,
