actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-23T03:13:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T03:13:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-23T03:13:47.0Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-11-23T03:13:47Z,40000,False,,,0,,Jump Ball J. Nurkic vs. K. Looney: Tip to D. Booker,"[1626164, 203994, 1626172]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkic,203994.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-11-23T03:14:03.9Z,1,REGULAR,2pt,Jump Shot,[],201142,23.47240473061761,26.225490196078432,1610612756,0,0,2023-11-23T03:14:08Z,70000,False,119.0,168.0,1,left,MISS K. Durant 20' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,20.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-11-23T03:14:05.9Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2023-11-23T03:14:08Z,80000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-11-23T03:14:24.2Z,1,REGULAR,foul,personal,[],1628960,,,1610612744,0,0,2023-11-23T03:14:36Z,90000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1626172]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2002.0,1.0,0.0,Looney,1626172.0,,,,,,,,,
11,PT11M15.00S,2023-11-23T03:14:55.0Z,1,REGULAR,3pt,Jump Shot,[],202691,77.00394218134035,89.48376225490196,1610612744,0,3,2023-11-23T03:15:02Z,110000,False,197.0,164.0,1,right,K. Thompson 25' 3PT  (3 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.64,Made,,,,,,,,,,3.0,S. Curry,201939.0,1.0,,,,,
13,PT11M01.00S,2023-11-23T03:15:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.703679369250986,54.65686274509803,1610612756,0,3,2023-11-23T03:15:13Z,130000,False,-23.0,20.0,1,left,MISS E. Gordon driving Layup,[201569],1610612756.0,PHX,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-11-23T03:15:09.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2023-11-23T03:15:13Z,140000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M55.00S,2023-11-23T03:15:14.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,74.45795006570303,15.196078431372548,1610612744,0,3,2023-11-23T03:15:55Z,150000,False,-174.0,188.0,1,right,MISS K. Thompson 25' running pullup 3PT,[202691],1610612744.0,GSW,running pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-11-23T03:15:18.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,0,3,2023-11-23T03:15:20Z,160000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
