actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-14T02:11:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-14T02:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-14T02:11:22.2Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612756,0,0,2023-12-14T02:11:22Z,40000,False,,,0,,Jump Ball J. Nurkic vs. N. Claxton: Tip to K. Durant,"[201142, 203994, 1629651]",1610612756.0,PHX,startperiod,K. Durant,201142.0,Durant,K. Durant,Nurkic,203994.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-14T02:11:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,0,0,2023-12-14T02:11:45Z,70000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,1146.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-12-14T02:11:54.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629651,87.59855453350855,49.26470588235294,1610612751,0,0,2023-12-14T02:12:09Z,80000,False,-4.0,64.0,1,right,MISS N. Claxton 6' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,6.42,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2023-12-14T02:11:56.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,0,0,2023-12-14T02:11:59Z,90000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M23.00S,2023-12-14T02:12:04.4Z,1,REGULAR,3pt,Jump Shot,[],201142,28.07161629434954,76.47058823529412,1610612756,0,0,2023-12-14T02:12:09Z,100000,False,-132.0,211.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,24.94,Missed,,,,,,,,,,,,,,,,
11,PT11M19.00S,2023-12-14T02:12:08.4Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-12-14T02:12:09Z,110000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M10.00S,2023-12-14T02:12:16.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630560,74.58935611038108,17.647058823529413,1610612751,0,3,2023-12-14T02:13:40Z,120000,False,-162.0,186.0,1,right,C. Thomas 24' 3PT running pullup (3 PTS) (C. Johnson 1 AST),"[1630560, 1629661]",1610612751.0,BKN,running pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,24.68,Made,,,,,3.0,C. Johnson,1629661.0,1.0,,,,,,,,
14,PT10M57.00S,2023-12-14T02:12:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.1268068331143235,51.225490196078425,1610612756,2,3,2023-12-14T02:14:07Z,140000,False,-6.0,5.0,1,left,J. Nurkic cutting Layup (2 PTS) (D. Booker 1 AST),"[203994, 1626164]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,0.8,Made,,,,,2.0,D. Booker,1626164.0,1.0,,,,,,,,
16,PT10M41.00S,2023-12-14T02:12:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.553876478318,49.50980392156863,1610612751,2,3,2023-12-14T02:12:51Z,160000,False,-2.0,121.0,1,right,MISS M. Bridges 12' fadeaway Shot,[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,12.09,Missed,,,,,,,,,,,,,,,,
