actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-04-11T01:43:08.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-11T01:43:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-11T01:43:12.1Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612750,0,0,2026-04-11T01:43:12Z,40000,False,,,0,,Jump Ball J. Beringer vs. A. Sengun: Tip to K. Anderson,"[203937, 1642866, 1630578]",1610612750.0,MIN,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Beringer,1642866.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-04-11T01:43:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,82.34231274638634,54.90196078431373,1610612750,0,0,2026-04-11T01:43:37Z,70000,False,25.0,113.0,1,right,MISS J. McDaniels 11' fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,11.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-04-11T01:43:27.6Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,0,0,2026-04-11T01:51:31Z,80000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2026-04-11T01:43:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629006,9.411957950065702,4.6568627450980395,1610612745,0,0,2026-04-11T01:43:47Z,110000,False,227.0,36.0,1,left,MISS J. Okogie 3PT,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,22.95,Missed,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2026-04-11T01:43:44.3Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2026-04-11T01:43:47Z,120000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
105,PT11M15.00S,2026-04-11T01:43:51.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,72.22404730617609,78.43137254901961,1610612750,0,0,2026-04-11T01:59:56Z,125000,False,142.0,209.0,1,right,MISS A. Edwards 25' pullup 3PT - blocked,"[1630162, 1631095]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,Smith Jr.,1631095.0,,,,,,,,,,,,
106,PT11M15.00S,2026-04-11T01:43:51.6Z,1,REGULAR,block,,[],1631095,,,1610612750,0,0,2026-04-11T01:59:56Z,127500,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
107,PT11M15.00S,2026-04-11T01:43:51.6Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,0,0,2026-04-11T01:59:56Z,128750,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,105.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M07.00S,2026-04-11T01:44:01.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630183,92.32917214191852,63.48039215686274,1610612750,0,2,2026-04-11T02:00:02Z,130000,False,67.0,20.0,1,right,J. McDaniels 7' fadeaway Jump Shot (2 PTS),[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,7.02,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M46.00S,2026-04-11T01:44:23.9Z,1,REGULAR,foul,personal,[],1630162,,,1610612745,0,2,2026-04-11T01:44:30Z,140000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1631095]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1626301.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,
16,PT10M44.00S,2026-04-11T01:44:42.0Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612745,0,2,2026-04-11T01:44:46Z,160000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1642866]",1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,Beringer,1642866.0,,,
17,PT10M44.00S,2026-04-11T01:44:42.0Z,1,REGULAR,steal,,[],1642866,,,1610612750,0,2,2026-04-11T01:44:43Z,170000,False,,,0,,J. Beringer STEAL (1 STL),[1642866],1610612750.0,MIN,,,,Beringer,J. Beringer,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2026-04-11T01:44:45.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642866,93.38042049934296,54.41176470588235,1610612750,0,4,2026-04-11T01:44:51Z,180000,False,22.0,10.0,1,right,J. Beringer running DUNK (2 PTS),[1642866],1610612750.0,MIN,running,,,Beringer,J. Beringer,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,,,2.0,,,,,,,,,,,
19,PT10M27.00S,2026-04-11T01:44:59.8Z,1,REGULAR,2pt,Jump Shot,[],201142,19.004599211563733,31.61764705882353,1610612745,2,4,2026-04-11T01:45:04Z,190000,False,92.0,126.0,1,left,K. Durant 15' fadeaway Jump Shot (2 PTS),[201142],1610612745.0,HOU,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,15.6,Made,,,,,,,2.0,,,,,,,,,,,
21,PT10M14.00S,2026-04-11T01:45:29.9Z,1,REGULAR,foul,personal,['2freethrow'],1629006,,,1610612750,2,4,2026-04-11T01:45:40Z,210000,False,,,0,,J. Okogie shooting personal FOUL (1 PF) (Edwards 2 FT),"[1629006, 1630162]",1610612745.0,HOU,shooting,,,Okogie,J. Okogie,,,,,Mid-Range,0-8 Center,,,,,,,,,,1626301.0,1.0,0.0,Edwards,1630162.0,,,,,,
23,PT10M14.00S,2026-04-11T01:45:55.6Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,2,5,2026-04-11T01:46:17Z,230000,False,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
24,PT10M14.00S,2026-04-11T01:45:55.6Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,2,5,2026-04-11T01:46:17Z,240000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M14.00S,2026-04-11T01:45:55.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,5,2026-04-11T01:46:17Z,250000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
