actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-06T01:11:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T01:11:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-06T01:11:53.1Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2025-12-06T01:11:53Z,40000,False,,,0,,Jump Ball M. Williams vs. S. Adams: Tip to G. Allen,"[1628960, 1631109, 203500]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Williams,1631109.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-06T01:12:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,17.296320630749015,51.9607843137255,1610612756,0,2,2025-12-06T01:12:14Z,70000,False,-10.0,110.0,1,left,D. Brooks 11' pullup Jump Shot (2 PTS),[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,11.05,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-12-06T01:12:29.5Z,1,REGULAR,2pt,Jump Shot,[],201142,80.6340341655716,23.774509803921568,1610612745,0,2,2025-12-06T01:12:39Z,80000,False,-131.0,130.0,1,right,MISS K. Durant 18' pullup Shot,[201142],1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,18.43,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2025-12-06T01:12:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,2,2025-12-06T01:12:39Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,16-24 Left Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M06.00S,2025-12-06T01:12:49.4Z,1,REGULAR,turnover,bad pass,[],1628960,,,1610612756,0,2,2025-12-06T01:12:59Z,110000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1629006]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Left Center,,,,,1.0,Okogie,1629006.0,,,,,,,,,,,,,
12,PT11M06.00S,2025-12-06T01:12:49.4Z,1,REGULAR,steal,,[],1629006,,,1610612745,0,2,2025-12-06T01:12:52Z,120000,False,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2025-12-06T01:12:53.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629006,92.32917214191852,52.69607843137255,1610612745,2,2,2025-12-06T01:13:05Z,130000,False,13.0,20.0,1,right,J. Okogie running DUNK (2 PTS) (J. Smith Jr. 1 AST),"[1629006, 1631095]",1610612745.0,HOU,running,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,2.38,Made,2.0,,,,,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,
14,PT10M51.00S,2025-12-06T01:13:04.8Z,1,REGULAR,3pt,Jump Shot,[],1631221,31.488173455978973,67.40196078431373,1610612756,2,2,2025-12-06T01:13:10Z,140000,False,-87.0,243.0,1,left,MISS C. Gillespie 25' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2025-12-06T01:13:07.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612745,2,2,2025-12-06T01:13:10Z,150000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,14.0,,,,,,,1.0,1.0,0.0,,,,,,,
16,PT10M43.00S,2025-12-06T01:13:15.1Z,1,REGULAR,turnover,out-of-bounds,[],1641708,,,1610612745,2,2,2025-12-06T01:13:24Z,160000,False,,,0,,A. Thompson bad pass out-of-bounds TURNOVER (1 TO),[1641708],1610612745.0,HOU,bad pass,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,1.0,,,,,,,,,203591.0,,,,,,
