actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-04T01:11:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-04T01:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-04T01:11:11.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2025-12-04T01:11:11Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Eubanks: Tip to J. Smith Jr.,"[1631095, 1630578, 1629234]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-12-04T01:11:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,91.01511169513797,42.64705882352941,1610612745,2,0,2025-12-04T01:11:36Z,70000,False,-37.0,32.0,1,right,A. Thompson driving floating Jump Shot (2 PTS) (K. Durant 1 AST),"[1641708, 201142]",1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.88,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2025-12-04T01:11:54.2Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612758,2,0,2025-12-04T01:11:57Z,90000,False,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 1629006]",1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Okogie,1629006.0,,,,,,,,,,,
10,PT11M14.00S,2025-12-04T01:11:54.2Z,1,REGULAR,steal,,[],1629006,,,1610612745,2,0,2025-12-04T01:11:55Z,100000,False,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2025-12-04T01:11:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201142,88.78120893561103,51.71568627450981,1610612745,2,0,2025-12-04T01:12:08Z,110000,False,9.0,53.0,1,right,MISS K. Durant running Layup - blocked,"[201142, 203897]",1610612745.0,HOU,running,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,5.37,Missed,,,,,,,,LaVine,203897.0,,,,,,,,,
12,PT11M09.00S,2025-12-04T01:11:59.2Z,1,REGULAR,block,,[],203897,,,1610612745,2,0,2025-12-04T01:12:01Z,120000,False,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-12-04T01:12:00.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,2,0,2025-12-04T01:12:08Z,130000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
14,PT11M02.00S,2025-12-04T01:12:08.9Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612758,2,0,2025-12-04T01:12:16Z,140000,False,,,0,,R. Westbrook step out-of-bounds TURNOVER (2 TO),[201566],1610612758.0,SAC,step,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,,,,,,,2.0,,,,,,,,,201246.0,,,,
15,PT10M50.00S,2025-12-04T01:12:36.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201142,91.40932982917214,55.88235294117647,1610612745,4,0,2025-12-04T01:14:27Z,150000,False,29.0,28.0,1,right,K. Durant cutting DUNK (2 PTS) (A. Sengun 1 AST),"[201142, 1630578]",1610612745.0,HOU,cutting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,4.08,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
