actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
153,PT03M22.00S,2025-10-25T00:36:07.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,74.58935611038108,31.61764705882353,1610612745,16,25,2025-10-25T00:36:21Z,1440000,False,-92.0,186.0,1,right,MISS K. Durant 20' Jump Shot,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,,,,20.78,Missed,,,,,,,,,,,,,,,
154,PT03M21.00S,2025-10-25T00:36:08.2Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,16,25,2025-10-25T00:36:21Z,1450000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,153.0,1.0,0.0,1.0,,,,,
155,PT03M16.00S,2025-10-25T00:36:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201142,87.72996057818659,48.529411764705884,1610612745,18,25,2025-10-25T00:36:35Z,1460000,False,-7.0,63.0,1,right,K. Durant 6' driving finger roll Layup (8 PTS) (T. Eason 1 AST),"[201142, 1631106]",1610612745.0,HOU,driving finger roll,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,6.32,Made,8.0,,,,,,,,,,T. Eason,1631106.0,1.0,,
157,PT03M16.00S,2025-10-25T00:36:18.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630595,,,1610612745,18,25,2025-10-25T00:36:38Z,1480000,False,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Durant 1 FT),"[1630595, 201142]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202053.0,2.0,0.0,Durant,201142.0,,,,,,,,,
159,PT03M16.00S,2025-10-25T00:36:41.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201142,,,1610612745,19,25,2025-10-25T00:36:41Z,1500000,False,,,0,,K. Durant Free Throw 1 of 1 (9 PTS),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
160,PT03M03.00S,2025-10-25T00:37:09.0Z,1,REGULAR,foul,personal,[],1641708,,,1610612765,19,25,2025-10-25T00:37:28Z,1510000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641708, 1630191]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,202053.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,
162,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,out,[],1641708,,,1610612765,19,25,2025-10-25T00:37:25Z,1530000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,out,[],201142,,,1610612765,19,25,2025-10-25T00:37:25Z,1540000,False,,,0,,SUB out: K. Durant,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,19,25,2025-10-25T00:37:25Z,1550000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,in,[],1630578,,,1610612765,19,25,2025-10-25T00:37:25Z,1560000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,in,[],1631095,,,1610612765,19,25,2025-10-25T00:37:25Z,1570000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT03M03.00S,2025-10-25T00:37:14.1Z,1,REGULAR,substitution,in,[],1641709,,,1610612765,19,25,2025-10-25T00:37:25Z,1580000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT02M49.00S,2025-10-25T00:37:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,14.931011826544022,57.35294117647059,1610612765,19,25,2025-10-25T00:37:46Z,1590000,False,-37.0,88.0,1,left,MISS T. Harris 9' turnaround fadeaway Shot,[202699],1610612765.0,DET,turnaround fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,9.53,Missed,,,,,,,,,,,,,,,
