actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-06T00:43:03.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T00:43:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-06T00:43:05.8Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-03-06T00:43:05Z,40000,False,,,0,,Jump Ball A. Horford vs. A. Sengun: Tip to D. Green,"[203110, 201143, 1630578]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Horford,201143.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-06T00:43:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.46057818659659,47.05882352941176,1610612744,0,2,2026-03-06T00:43:24Z,70000,False,-15.0,18.0,1,right,D. Green cutting Layup (2 PTS) (G. Santos 1 AST),"[203110, 1630611]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,G. Santos,1630611.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-03-06T00:43:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,16.90210249671485,60.78431372549019,1610612745,0,2,2026-03-06T00:44:29Z,90000,False,-54.0,106.0,1,left,MISS A. Sengun 11' driving floating Shot - blocked,"[1630578, 201143]",1610612745.0,HOU,driving floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,11.93,Missed,,,,,Horford,201143.0,,,,,,,,,,,,
10,PT11M20.00S,2026-03-06T00:43:42.9Z,1,REGULAR,block,,[],201143,,,1610612745,0,2,2026-03-06T00:43:45Z,100000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-03-06T00:43:42.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,2,2026-03-06T00:44:29Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.0,,,,,,,,,,,
12,PT11M20.00S,2026-03-06T00:43:51.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,0,2,2026-03-06T00:44:13Z,120000,False,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,200832.0,,,,,,,,,,
13,PT11M08.00S,2026-03-06T00:44:11.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641764,78.0059132720105,93.38235294117648,1610612744,0,2,2026-03-06T00:44:16Z,130000,False,217.0,154.0,1,right,MISS B. Podziemski 26' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2026-03-06T00:44:14.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,2,2026-03-06T00:44:16Z,140000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,13.0,,1.0,1.0,0.0,,,,,,,
15,PT10M56.00S,2026-03-06T00:44:25.4Z,1,REGULAR,turnover,out-of-bounds,[],1631095,,,1610612745,0,2,2026-03-06T00:44:37Z,150000,False,,,0,,J. Smith Jr. bad pass out-of-bounds TURNOVER (1 TO),[1631095],1610612745.0,HOU,bad pass,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1628159.0,,,,1.0,,,,,,
16,PT10M35.00S,2026-03-06T00:44:54.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,87.59855453350855,45.34313725490196,1610612744,0,2,2026-03-06T00:44:59Z,160000,False,-23.0,64.0,1,right,MISS A. Horford 6' turnaround Hook,[201143],1610612744.0,GSW,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,6.82,Missed,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2026-03-06T00:44:56.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,2,2026-03-06T00:44:59Z,170000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,16.0,,1.0,1.0,0.0,,,,,,,
18,PT10M26.00S,2026-03-06T00:45:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,7.046649145860711,55.63725490196079,1610612745,2,2,2026-03-06T00:45:07Z,180000,False,-28.0,14.0,1,left,A. Thompson driving finger roll Layup (2 PTS),[1641708],1610612745.0,HOU,driving finger roll,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.14,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2026-03-06T00:45:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,92.9862023653088,48.03921568627451,1610612744,2,4,2026-03-06T00:45:22Z,190000,False,-10.0,13.0,1,right,D. Melton driving finger roll Layup (2 PTS),[1629001],1610612744.0,GSW,driving finger roll,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2026-03-06T00:45:18.3Z,1,REGULAR,foul,personal,['1freethrow'],1631106,,,1610612744,2,4,2026-03-06T00:45:29Z,200000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (Melton 1 FT),"[1631106, 1629001]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628159.0,,,,,1.0,0.0,Melton,1629001.0,,
22,PT10M17.00S,2026-03-06T00:45:34.6Z,1,REGULAR,freethrow,1 of 1,[],1629001,,,1610612744,2,5,2026-03-06T00:45:34Z,220000,False,,,0,,D. Melton Free Throw 1 of 1 (3 PTS),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2026-03-06T00:45:52.5Z,1,REGULAR,foul,personal,[],1641764,,,1610612745,2,5,2026-03-06T00:45:59Z,230000,False,,,0,,B. Podziemski personal FOUL (1 PF),"[1641764, 1630578]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,202007.0,,,,,1.0,0.0,Sengun,1630578.0,,
25,PT09M49.00S,2026-03-06T00:46:26.4Z,1,REGULAR,2pt,Jump Shot,[],201142,3.630091984231275,16.666666666666664,1610612745,2,5,2026-03-06T00:46:37Z,250000,False,167.0,-18.0,1,left,MISS K. Durant 16' fadeaway Shot,[201142],1610612745.0,HOU,fadeaway,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,16.77,Missed,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2026-03-06T00:46:30.4Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,2,5,2026-03-06T00:46:30Z,260000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,25.0,,2.0,1.0,1.0,,,,,,,
27,PT09M44.00S,2026-03-06T00:46:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,6.652431011826544,57.107843137254896,1610612745,2,5,2026-03-06T00:48:07Z,270000,False,-36.0,10.0,1,left,MISS J. Smith Jr. putback Layup - blocked,"[1631095, 1629001]",1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,Melton,1629001.0,,,,,,,,,,,,
