actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-19T00:11:09.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T00:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-19T00:11:11.5Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2026-01-19T00:11:11Z,40000,False,,,0,,Jump Ball S. Adams vs. D. Queen: Tip to J. Smith Jr.,"[1631095, 203500, 1642852]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Adams,203500.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-19T00:11:28.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.17542706964521,51.470588235294116,1610612745,0,0,2026-01-19T00:11:35Z,70000,False,7.0,49.0,1,right,MISS A. Sengun driving Hook,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-19T00:11:28.2Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2026-01-19T00:11:35Z,80000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-19T00:11:34.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,21.23850197109067,91.91176470588235,1610612740,0,0,2026-01-19T00:19:00Z,90000,False,-210.0,147.0,1,left,MISS S. Bey 25' running 3PT,[1630180],1610612740.0,NOP,running,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-01-19T00:11:36.6Z,1,REGULAR,rebound,offensive,[],1642847,,,1610612740,0,0,2026-01-19T00:11:41Z,100000,False,,,0,,J. Fears REBOUND (Off:1 Def:0),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M22.00S,2026-01-19T00:11:47.2Z,1,REGULAR,turnover,bad pass,[],1642852,,,1610612740,0,0,2026-01-19T00:12:07Z,120000,False,,,0,,D. Queen bad pass TURNOVER (1 TO),"[1642852, 1630578]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,,,
13,PT11M22.00S,2026-01-19T00:11:47.2Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,0,2026-01-19T00:11:54Z,130000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2026-01-19T00:11:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641708,90.48948751642575,49.754901960784316,1610612745,2,0,2026-01-19T00:19:54Z,140000,False,-1.0,37.0,1,right,A. Thompson running Layup (2 PTS),[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.69,Made,,,,,,,,2.0,,,,,,,,,,
15,PT10M59.00S,2026-01-19T00:12:10.2Z,1,REGULAR,2pt,Jump Shot,[],1642852,23.47240473061761,55.392156862745104,1610612740,2,2,2026-01-19T00:12:21Z,150000,False,-27.0,168.0,1,left,D. Queen 17' pullup Jump Shot (2 PTS) (S. Bey 1 AST),"[1642852, 1630180]",1610612740.0,NOP,pullup,,,Queen,D. Queen,,,,,Mid-Range,16-24 Center,17.03,Made,,,,,,,,2.0,S. Bey,1630180.0,1.0,,,,,,,
