actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-26T01:11:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-26T01:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-26T01:11:30.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,0,0,2026-02-26T01:11:30Z,40000,False,,,0,,Jump Ball M. Raynaud vs. A. Sengun: Tip to Team (SAC),"[1642875, 1630578]",1610612758.0,SAC,startperiod,Team (SAC),Raynaud,1642875.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-02-26T01:11:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,6.915243101182654,63.48039215686274,1610612758,0,0,2026-02-26T01:12:02Z,80000,False,-67.0,13.0,1,left,MISS M. Raynaud 6' floating Shot - blocked,"[1642875, 1630578]",1610612758.0,SAC,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.85,Missed,Raynaud,M. Raynaud,Sengun,1630578.0,,,,,,,,,,,,,,,,,
13,PT11M44.00S,2026-02-26T01:11:51.1Z,1,REGULAR,block,,[],1630578,,,1610612758,0,0,2026-02-26T01:12:35Z,85000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-02-26T01:11:52.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2026-02-26T01:12:02Z,90000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M23.00S,2026-02-26T01:12:12.0Z,1,REGULAR,3pt,Jump Shot,[],1642263,92.9862023653088,95.34313725490196,1610612745,0,0,2026-02-26T01:12:17Z,100000,False,227.0,13.0,1,right,MISS R. Sheppard 3PT,[1642263],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,22.71,Missed,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2026-02-26T01:12:13.0Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,0,0,2026-02-26T01:12:17Z,110000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,,,,Right Corner 3,24+ Right,,,Achiuwa,P. Achiuwa,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M12.00S,2026-02-26T01:12:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,9.806176084099869,35.53921568627451,1610612758,0,2,2026-02-26T01:12:29Z,120000,False,72.0,40.0,1,left,R. Westbrook 8' fadeaway Jump Shot (2 PTS),[201566],1610612758.0,SAC,fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,8.25,Made,Westbrook,R. Westbrook,,,,,,,2.0,,,,,,,,,,,,
14,PT10M47.00S,2026-02-26T01:12:47.6Z,1,REGULAR,3pt,Jump Shot,[],201142,71.04139290407359,16.42156862745098,1610612745,0,2,2026-02-26T01:12:54Z,130000,False,-168.0,220.0,1,right,MISS K. Durant 27' pullup 3PT,[201142],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Left Center,27.65,Missed,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2026-02-26T01:12:48.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,0,2,2026-02-26T01:12:54Z,140000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,,,Westbrook,R. Westbrook,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M43.00S,2026-02-26T01:12:52.8Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612758,0,2,2026-02-26T01:12:58Z,150000,False,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612758.0,SAC,bad pass,,,,,,Mid-Range,8-16 Right,,,Westbrook,R. Westbrook,,,,,,,,1627964.0,1.0,,,,,,,,,,
17,PT10M28.00S,2026-02-26T01:13:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642263,90.88370565045992,55.88235294117647,1610612745,0,2,2026-02-26T01:13:19Z,160000,False,29.0,33.0,1,right,MISS R. Sheppard cutting Layup - blocked,"[1642263, 1631099]",1610612745.0,HOU,cutting,,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,Sheppard,R. Sheppard,Murray,1631099.0,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2026-02-26T01:13:15.1Z,1,REGULAR,block,,[],1631099,,,1610612745,0,2,2026-02-26T01:13:17Z,170000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2026-02-26T01:13:17.1Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,0,2,2026-02-26T01:13:19Z,180000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Westbrook,R. Westbrook,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,
20,PT10M18.00S,2026-02-26T01:13:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,15.062417871222076,51.71568627450981,1610612758,0,2,2026-02-26T01:13:40Z,190000,False,-9.0,89.0,1,left,MISS D. DeRozan 8' pullup Shot,[201942],1610612758.0,SAC,pullup,,,,,,In The Paint (Non-RA),8-16 Center,8.95,Missed,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2026-02-26T01:13:28.6Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,0,2,2026-02-26T01:13:40Z,200000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Achiuwa,P. Achiuwa,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,
22,PT10M14.00S,2026-02-26T01:13:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,6.258212877792378,51.71568627450981,1610612758,0,2,2026-02-26T01:13:36Z,210000,False,-9.0,6.0,1,left,MISS P. Achiuwa putback Layup - blocked,"[1630173, 1631106]",1610612758.0,SAC,putback,,,,,,Restricted Area,0-8 Center,1.07,Missed,Achiuwa,P. Achiuwa,Eason,1631106.0,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2026-02-26T01:13:29.9Z,1,REGULAR,block,,[],1631106,,,1610612758,0,2,2026-02-26T01:14:26Z,215000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2026-02-26T01:13:29.9Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,0,2,2026-02-26T01:13:36Z,220000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Eason,T. Eason,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
