actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-13T01:11:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T01:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-13T01:11:23.1Z,1,REGULAR,jumpball,recovered,[],203114,,,1610612764,0,0,2025-11-13T01:11:23Z,40000,False,,,0,,Jump Ball A. Sarr vs. A. Sengun: Tip to K. Middleton,"[203114, 1642259, 1630578]",1610612764.0,WAS,startperiod,K. Middleton,203114.0,Middleton,K. Middleton,Sarr,1642259.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-13T01:11:38.9Z,1,REGULAR,3pt,Jump Shot,[],203114,32.276609724047304,53.92156862745098,1610612764,0,0,2025-11-13T01:11:46Z,70000,False,-20.0,251.0,1,left,MISS K. Middleton 25' step back 3PT,[203114],1610612764.0,WAS,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,25.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-13T01:11:42.9Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612745,0,0,2025-11-13T01:11:46Z,80000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-11-13T01:11:58.0Z,1,REGULAR,3pt,Jump Shot,[],201142,67.55913272010513,72.20435049019608,1610612745,0,0,2025-11-13T01:14:05Z,90000,False,111.0,252.0,1,right,MISS K. Durant 27' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,27.57,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-11-13T01:12:01.0Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,0,2025-11-13T01:12:03Z,100000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2025-11-13T01:12:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642273,7.5722733245729295,50.49019607843137,1610612764,0,0,2025-11-13T01:12:11Z,110000,False,-2.0,19.0,1,left,MISS K. George driving Layup - blocked,"[1642273, 1631095]",1610612764.0,WAS,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,Smith Jr.,1631095.0,,,,,,,,,,,,
12,PT11M12.00S,2025-11-13T01:12:06.8Z,1,REGULAR,block,,[],1631095,,,1610612764,0,0,2025-11-13T01:12:09Z,120000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-11-13T01:12:10.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-11-13T01:12:11Z,130000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M50.00S,2025-11-13T01:12:28.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631095,90.22667542706965,53.67647058823529,1610612745,2,0,2025-11-13T01:14:36Z,140000,False,18.0,39.0,1,right,J. Smith Jr. driving DUNK (2 PTS) (J. Okogie 1 AST),"[1631095, 1629006]",1610612745.0,HOU,driving,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,4.35,Made,,,,,,,2.0,J. Okogie,1629006.0,1.0,,,,,,,,
