actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-10T00:11:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T00:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-10T00:11:35.6Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612745,0,0,2026-04-10T00:11:35Z,40000,False,,,0,,Jump Ball A. Sengun vs. A. Bona: Tip to K. Durant,"[201142, 1630578, 1641737]",1610612745.0,HOU,startperiod,K. Durant,201142.0,Durant,K. Durant,Sengun,1630578.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-10T00:11:51.9Z,1,REGULAR,turnover,bad pass,[],1641708,,,1610612745,0,0,2026-04-10T00:13:04Z,70000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 202331]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-04-10T00:11:51.9Z,1,REGULAR,steal,,[],202331,,,1610612755,0,0,2026-04-10T00:11:54Z,80000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-04-10T00:11:55.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,7.835085413929041,50.73529411764706,1610612755,0,2,2026-04-10T00:12:03Z,90000,False,-4.0,21.0,1,left,K. Oubre Jr. running DUNK (2 PTS) (V. Edgecombe 1 AST),"[1626162, 1642845]",1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,2.14,Made,2.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,
11,PT11M16.00S,2026-04-10T00:12:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.76544021024968,43.13725490196079,1610612745,0,2,2026-04-10T00:12:34Z,110000,False,-34.0,128.0,1,right,MISS A. Sengun 13' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,13.28,Missed,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-04-10T00:12:16.2Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612745,0,2,2026-04-10T00:12:29Z,120000,False,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,
13,PT11M15.00S,2026-04-10T00:12:19.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629006,94.40999984741211,50.0,1610612745,2,2,2026-04-10T00:12:32Z,130000,False,0.0,0.0,1,right,J. Okogie tip Layup (2 PTS),[1629006],1610612745.0,HOU,tip,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
14,PT10M56.00S,2026-04-10T00:12:35.5Z,1,REGULAR,3pt,Jump Shot,[],1642845,24.917871222076215,85.7843137254902,1610612755,2,2,2026-04-10T00:12:42Z,140000,False,-179.0,182.0,1,left,MISS V. Edgecombe 25' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,,,,25.5,Missed,,,,,,,,,,,,,,,
15,PT10M55.00S,2026-04-10T00:12:36.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,2,2026-04-10T00:12:48Z,150000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M46.00S,2026-04-10T00:12:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,84.31340341655716,47.30392156862745,1610612745,4,2,2026-04-10T00:12:51Z,160000,False,-13.0,95.0,1,right,J. Smith Jr. 9' turnaround fadeaway Jump Shot (2 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,9.6,Made,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,
18,PT10M30.00S,2026-04-10T00:13:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,5.863994743758213,49.754901960784316,1610612755,4,4,2026-04-10T00:13:07Z,180000,False,1.0,3.0,1,left,P. George Layup (2 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,0.29,Made,2.0,,,,,,,,,,,,,,
19,PT10M18.00S,2026-04-10T00:13:14.5Z,1,REGULAR,2pt,Jump Shot,[],201142,85.23324572930355,69.11764705882352,1610612745,4,4,2026-04-10T00:13:22Z,190000,False,96.0,86.0,1,right,MISS K. Durant 12' Jump Shot,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,12.88,Missed,,,,,,,,,,,,,,,
20,PT10M17.00S,2026-04-10T00:13:15.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,4,4,2026-04-10T00:13:22Z,200000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M17.00S,2026-04-10T00:13:23.6Z,1,REGULAR,foul,personal,[],1641708,,,1610612755,4,4,2026-04-10T00:13:48Z,210000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641708, 202331]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1630886.0,1.0,0.0,George,202331.0,,
23,PT10M02.00S,2026-04-10T00:14:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612755,4,4,2026-04-10T00:14:16Z,230000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Edgecombe 2 FT),"[1630578, 1642845]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,200833.0,1.0,0.0,Edgecombe,1642845.0,,
25,PT10M02.00S,2026-04-10T00:14:32.6Z,1,REGULAR,freethrow,1 of 2,[],1642845,,,1610612755,4,4,2026-04-10T00:14:32Z,250000,False,,,0,,MISS V. Edgecombe Free Throw 1 of 2,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
26,PT10M02.00S,2026-04-10T00:14:32.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,4,4,2026-04-10T00:14:32Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
27,PT10M02.00S,2026-04-10T00:14:52.4Z,1,REGULAR,freethrow,2 of 2,[],1642845,,,1610612755,4,5,2026-04-10T00:14:52Z,270000,False,,,0,,V. Edgecombe Free Throw 2 of 2 (1 PTS),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
28,PT09M45.00S,2026-04-10T00:15:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1641737,,,1610612745,4,5,2026-04-10T00:15:24Z,280000,False,,,0,,A. Bona shooting personal FOUL (1 PF) (Durant 2 FT),"[1641737, 201142]",1610612755.0,PHI,shooting,,,Bona,A. Bona,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,2534.0,1.0,0.0,Durant,201142.0,,
30,PT09M45.00S,2026-04-10T00:15:39.4Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612745,5,5,2026-04-10T00:15:39Z,300000,False,,,0,,K. Durant Free Throw 1 of 2 (1 PTS),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
31,PT09M45.00S,2026-04-10T00:15:59.8Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612745,6,5,2026-04-10T00:15:59Z,310000,False,,,0,,K. Durant Free Throw 2 of 2 (2 PTS),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
32,PT09M32.00S,2026-04-10T00:16:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,9.149145860709593,37.254901960784316,1610612755,6,5,2026-04-10T00:16:21Z,320000,False,64.0,34.0,1,left,MISS T. Maxey 7' driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,7.2,Missed,,,,,,,,,,,,,,,
33,PT09M31.00S,2026-04-10T00:16:14.4Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,6,5,2026-04-10T00:16:21Z,330000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,
34,PT09M31.00S,2026-04-10T00:16:18.0Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612755,6,5,2026-04-10T00:16:28Z,340000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Bona 2 FT),"[1631095, 1641737]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,1.0,0.0,Bona,1641737.0,,
36,PT09M31.00S,2026-04-10T00:16:46.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641737,,,1610612755,6,6,2026-04-10T00:16:46Z,360000,False,,,0,,A. Bona Free Throw 1 of 2 (1 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
37,PT09M31.00S,2026-04-10T00:17:03.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641737,,,1610612755,6,7,2026-04-10T00:17:03Z,370000,False,,,0,,A. Bona Free Throw 2 of 2 (2 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
38,PT09M11.00S,2026-04-10T00:17:25.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,83.78777923784494,47.794117647058826,1610612745,6,7,2026-04-10T00:17:30Z,380000,False,-11.0,100.0,1,right,MISS A. Sengun 10' turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,10.05,Missed,,,,,,,,,,,,,,,
39,PT09M08.00S,2026-04-10T00:17:28.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,6,7,2026-04-10T00:17:30Z,390000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,
40,PT09M05.00S,2026-04-10T00:17:30.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630578,87.86136662286465,44.6078431372549,1610612745,8,7,2026-04-10T00:17:41Z,400000,False,-27.0,62.0,1,right,A. Sengun 6' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,6.73,Made,2.0,,,,,,,,,,,,,,
