actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-22T02:42:56.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T02:42:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-22T02:42:59.6Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2025-11-22T02:42:59Z,40000,False,,,0,,Jump Ball N. Jokić vs. S. Adams: Tip to A. Gordon,"[203932, 203999, 203500]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-22T02:43:13.0Z,1,REGULAR,2pt,Layup,[],1627750,11.777266754270697,68.62745098039215,1610612743,0,2,2025-11-22T02:43:37Z,70000,False,-93.0,58.0,1,left,J. Murray 10' driving Layup (2 PTS),[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,10.98,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-11-22T02:43:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,82.34231274638634,58.08823529411765,1610612745,2,2,2025-11-22T02:43:27Z,80000,False,40.0,113.0,1,right,A. Thompson 12' driving floating Jump Shot (2 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,12.05,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2025-11-22T02:43:36.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,30.305519053876477,64.95098039215686,1610612743,2,5,2025-11-22T02:43:40Z,90000,False,-75.0,232.0,1,left,J. Murray 24' 3PT pullup (5 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,24.41,Made,5.0,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2025-11-22T02:43:57.9Z,1,REGULAR,foul,personal,[],1629661,,,1610612745,2,5,2025-11-22T02:44:14Z,100000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1641708]",1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,203592.0,1.0,0.0,Thompson,1641708.0,,,,,,,,,,,,
12,PT10M55.00S,2025-11-22T02:44:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.19776609724047,50.49019607843137,1610612745,4,5,2025-11-22T02:44:32Z,120000,False,2.0,21.0,1,right,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.09,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M38.00S,2025-11-22T02:44:44.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,29.38567674113009,70.83333333333334,1610612743,4,5,2025-11-22T02:44:53Z,130000,False,-104.0,224.0,1,left,MISS J. Murray 24' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2025-11-22T02:44:45.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,5,2025-11-22T02:44:53Z,140000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M16.00S,2025-11-22T02:45:06.5Z,1,REGULAR,2pt,Jump Shot,[],1631095,91.14651773981603,29.901960784313726,1610612745,4,5,2025-11-22T02:45:12Z,150000,False,-100.0,31.0,1,right,MISS J. Smith Jr. 10' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,10.51,Missed,,,,,,,,,,,,,,,,,,
16,PT10M14.00S,2025-11-22T02:45:08.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,5,2025-11-22T02:45:08Z,160000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
