actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
171,PT11M47.00S,2026-04-02T00:38:26.3Z,2,REGULAR,steal,,[],1641708,,,1610612745,27,20,2026-04-02T00:38:28Z,1700000,False,,,0,,A. Thompson STEAL (2 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
172,PT11M33.00S,2026-04-02T00:38:41.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,90.22667542706965,46.81372549019608,1610612745,27,20,2026-04-02T00:38:47Z,1710000,False,-16.0,39.0,1,right,MISS J. Tate driving finger roll Layup,[1630256],1610612745.0,HOU,driving finger roll,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,,,,Missed,,4.25,,,,,,,,,,,,
173,PT11M32.00S,2026-04-02T00:38:42.0Z,2,REGULAR,rebound,defensive,[],1631260,,,1610612749,27,20,2026-04-02T00:38:47Z,1720000,False,,,0,,A. Green REBOUND (Off:1 Def:2),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,172.0,3.0,2.0,1.0,,,,,,,,
174,PT11M18.00S,2026-04-02T00:38:56.1Z,2,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612749,27,20,2026-04-02T00:39:21Z,1730000,False,,,0,,A. Sengun shooting personal FOUL (2 PF) (Sims 2 FT),"[1630578, 1630579]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1628954.0,2.0,0.0,Sims,1630579.0,,,,,,,,,,,,,,,
176,PT11M18.00S,2026-04-02T00:39:32.3Z,2,REGULAR,freethrow,1 of 2,[],1630579,,,1610612749,27,21,2026-04-02T00:39:32Z,1750000,False,,,0,,J. Sims Free Throw 1 of 2 (3 PTS),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
177,PT11M18.00S,2026-04-02T00:39:32.3Z,2,REGULAR,freethrow,2 of 2,[],1630579,,,1610612749,27,21,2026-04-02T00:39:56Z,1760000,False,,,0,,MISS J. Sims Free Throw 2 of 2,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
178,PT11M18.00S,2026-04-02T00:39:32.3Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,27,21,2026-04-02T00:39:56Z,1770000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,177.0,2.0,2.0,0.0,,,,,,,,
179,PT10M54.00S,2026-04-02T00:40:15.2Z,2,REGULAR,2pt,Jump Shot,[],1630578,80.1084099868594,71.07843137254902,1610612745,27,21,2026-04-02T00:40:21Z,1780000,False,105.0,134.0,1,right,MISS A. Sengun 17' pullup Shot,[1630578],1610612745.0,HOU,pullup,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,17.09,,,,,,,,,,,,
180,PT10M53.00S,2026-04-02T00:40:16.2Z,2,REGULAR,rebound,defensive,[],1641748,,,1610612749,27,21,2026-04-02T00:40:21Z,1790000,False,,,0,,A. Jackson Jr. REBOUND (Off:0 Def:2),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,179.0,2.0,2.0,0.0,,,,,,,,
181,PT10M38.00S,2026-04-02T00:40:31.3Z,2,REGULAR,3pt,Jump Shot,[],1631260,29.911300919842315,83.33333333333334,1610612749,27,21,2026-04-02T00:40:37Z,1800000,False,-167.0,229.0,1,left,MISS A. Green 28' pullup 3PT,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,28.3,,,,,,,,,,,,
