actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-15T01:11:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-15T01:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-15T01:11:29.7Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2025-11-15T01:11:29Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Clingan: Tip to J. Smith Jr.,"[1631095, 1630578, 1642270]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-11-15T01:12:01.9Z,1,REGULAR,2pt,Jump Shot,[],1630578,78.13731931668858,52.94117647058824,1610612745,2,0,2025-11-15T01:12:08Z,80000,False,15.0,153.0,1,right,A. Sengun 15' fadeaway Jump Shot (2 PTS),[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Center,15.37,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-11-15T01:12:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642270,6.521024967148489,48.28431372549019,1610612757,2,0,2025-11-15T01:12:31Z,90000,False,9.0,9.0,1,left,MISS D. Clingan Layup,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1.23,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-11-15T01:12:23.6Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,2,0,2025-11-15T01:12:31Z,100000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,
11,PT11M20.00S,2025-11-15T01:12:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642270,7.966491458607096,47.05882352941176,1610612757,2,2,2025-11-15T01:12:38Z,110000,False,15.0,22.0,1,left,D. Clingan putback Layup (2 PTS),[1642270],1610612757.0,POR,putback,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,2.68,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-11-15T01:12:34.0Z,1,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612757,2,2,2025-11-15T01:12:39Z,120000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Clingan 1 FT),"[1630578, 1642270]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,1146.0,1.0,0.0,Clingan,1642270.0,,,,,,,,
14,PT11M20.00S,2025-11-15T01:12:55.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1642270,,,1610612757,2,3,2025-11-15T01:12:55Z,140000,False,,,0,,D. Clingan Free Throw 1 of 1 (3 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2025-11-15T01:13:11.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.43823915900131,62.254901960784316,1610612745,2,3,2025-11-15T01:14:18Z,150000,False,61.0,47.0,1,right,MISS A. Sengun 7' driving Hook,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.71,Missed,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2025-11-15T01:13:12.3Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,2,3,2025-11-15T01:13:20Z,160000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
