actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-04T00:11:29.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-04T00:11:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-04T00:11:32.6Z,1,REGULAR,jumpball,recovered,[],1642262,,,1610612762,0,0,2026-04-04T00:11:32Z,40000,False,,,0,,Jump Ball K. Filipowski vs. A. Sengun: Tip to C. Williams,"[1642262, 1642271, 1630578]",1610612762.0,UTA,startperiod,C. Williams,1642262.0,Williams,C. Williams,Filipowski,1642271.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-04-04T00:11:52.1Z,1,REGULAR,turnover,traveling,[],1642846,,,1610612762,0,0,2026-04-04T00:11:58Z,70000,False,,,0,,A. Bailey traveling TURNOVER (1 TO),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,1146.0,1.0,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2026-04-04T00:12:18.4Z,1,REGULAR,turnover,traveling,[],1630578,,,1610612745,0,0,2026-04-04T00:12:33Z,100000,False,,,0,,A. Sengun traveling TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,202026.0,1.0,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2026-04-04T00:12:38.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642846,78.79434954007884,49.754901960784316,1610612762,0,0,2026-04-04T00:12:47Z,110000,False,-1.0,147.0,1,right,MISS A. Bailey 14' step back Shot,[1642846],1610612762.0,UTA,step back,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Center,,,14.68,Missed,,,,,,,,,,,,,,,,
12,PT11M17.00S,2026-04-04T00:12:39.7Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2026-04-04T00:12:47Z,120000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M10.00S,2026-04-04T00:12:46.5Z,1,REGULAR,3pt,Jump Shot,[],1642263,32.670827858081466,73.77450980392157,1610612745,0,0,2026-04-04T00:12:53Z,130000,False,-119.0,255.0,1,left,MISS R. Sheppard 28' 3PT,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,,,28.1,Missed,,,,,,,,,,,,,,,,
14,PT11M07.00S,2026-04-04T00:12:49.5Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,0,0,2026-04-04T00:12:53Z,140000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Left Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M06.00S,2026-04-04T00:13:20.6Z,1,REGULAR,jumpball,recovered,[],1642263,,,1610612762,0,0,2026-04-04T00:16:02Z,150000,False,,,0,,Jump Ball A. Thompson vs. C. Williams: Tip to R. Sheppard,"[1642263, 1641708, 1642262]",1610612745.0,HOU,heldball,R. Sheppard,1642263.0,Sheppard,R. Sheppard,Thompson,1641708.0,Williams,1642262.0,,,,,,,,,,,,,,,,,,,,,,
18,PT11M06.00S,2026-04-04T00:13:20.6Z,1,REGULAR,turnover,lost ball,[],1642262,,,1610612762,0,0,2026-04-04T00:17:46Z,180000,False,,,0,,C. Williams lost ball TURNOVER (1 TO),"[1642262, 1641708]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,Thompson,1641708.0,,,,,,,,,,
