actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-01T01:40:52.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-01T01:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-01T01:40:54.8Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2026-02-01T01:40:54Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Gafford: Tip to A. Thompson,"[1641708, 1630578, 1629655]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Sengun,1630578.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-01T01:41:07.6Z,1,REGULAR,2pt,Jump Shot,[],1631095,75.90341655716163,53.67647058823529,1610612745,0,0,2026-02-01T01:41:34Z,70000,False,18.0,174.0,1,right,MISS J. Smith Jr. 17' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,17.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-02-01T01:41:09.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,0,0,2026-02-01T01:41:19Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2026-02-01T01:41:17.6Z,1,REGULAR,foul,personal,[],1629023,,,1610612745,0,0,2026-02-01T01:41:27Z,90000,False,,,0,,P. Washington loose ball personal FOUL (1 PF),"[1629023, 1630578]",1610612742.0,DAL,loose ball,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left,,,,1628481.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
11,PT11M32.00S,2026-02-01T01:41:37.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631095,68.67608409986859,71.07843137254902,1610612745,0,0,2026-02-01T01:41:45Z,110000,False,105.0,242.0,1,right,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.39,Missed,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2026-02-01T01:41:38.7Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,0,2026-02-01T01:41:45Z,120000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,
13,PT11M19.00S,2026-02-01T01:41:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,8.886333771353483,42.15686274509804,1610612742,0,2,2026-02-01T01:41:58Z,130000,False,39.0,31.0,1,left,P. Washington driving floating Jump Shot (2 PTS),[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.0,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M06.00S,2026-02-01T01:42:05.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631106,83.52496714848883,47.549019607843135,1610612745,0,2,2026-02-01T01:42:13Z,150000,False,-12.0,102.0,1,right,MISS T. Eason 10' driving floating Shot,[1631106],1610612745.0,HOU,driving floating,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,10.31,Missed,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2026-02-01T01:42:06.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,2,2026-02-01T01:42:13Z,160000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,,,,,,1.0,0.0,1.0,,,,,,,,,
17,PT10M59.00S,2026-02-01T01:42:11.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641708,79.71419185282524,50.73529411764706,1610612745,0,2,2026-02-01T01:42:17Z,170000,False,4.0,138.0,1,right,MISS A. Thompson 13' pullup Shot,[1641708],1610612745.0,HOU,pullup,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,13.82,Missed,,,,,,,,,,,,,,,,,,
18,PT10M59.00S,2026-02-01T01:42:11.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,0,2,2026-02-01T01:42:17Z,180000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,,,,,,2.0,2.0,0.0,,,,,,,,,
19,PT10M44.00S,2026-02-01T01:42:25.0Z,1,REGULAR,2pt,Jump Shot,[],1642843,23.47240473061761,60.049019607843135,1610612742,0,2,2026-02-01T01:42:31Z,190000,False,-50.0,168.0,1,left,MISS C. Flagg 17' Jump Shot,[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Mid-Range,16-24 Center,17.54,Missed,,,,,,,,,,,,,,,,,,
