actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-17T00:11:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-17T00:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-17T00:11:21.1Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2025-11-17T00:11:21Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Sengun: Tip to T. da Silva,"[1641783, 1628976, 1630578]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Carter Jr.,1628976.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-17T00:11:37.3Z,1,REGULAR,2pt,Jump Shot,[],1641710,20.318659658344284,72.30392156862744,1610612753,0,0,2025-11-17T00:11:43Z,70000,False,-112.0,138.0,1,left,MISS A. Black 17' pullup Shot,[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Mid-Range,16-24 Left Center,17.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-11-17T00:11:42.3Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,0,0,2025-11-17T00:11:43Z,80000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M20.00S,2025-11-17T00:12:15.2Z,1,REGULAR,2pt,Jump Shot,[],1630578,80.89684625492772,80.14705882352942,1610612745,2,0,2025-11-17T00:12:24Z,100000,False,151.0,127.0,1,right,A. Sengun 19' fadeaway Jump Shot (2 PTS),[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,19.71,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M06.00S,2025-11-17T00:12:29.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,5.601182654402102,95.83333333333334,1610612753,2,3,2025-11-17T00:12:34Z,110000,False,-229.0,0.0,1,left,W. Carter Jr. 3PT  (3 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,22.92,Made,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
13,PT10M48.00S,2025-11-17T00:12:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,92.19776609724047,63.725490196078425,1610612745,2,3,2025-11-17T00:12:58Z,130000,False,69.0,21.0,1,right,MISS A. Thompson 7' driving floating Shot,[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.17,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2025-11-17T00:12:48.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,3,2025-11-17T00:12:58Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M42.00S,2025-11-17T00:12:53.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630217,6.258212877792378,39.21568627450981,1610612753,2,3,2025-11-17T00:14:36Z,150000,False,54.0,6.0,1,left,MISS D. Bane running Layup,[1630217],1610612753.0,ORL,running,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2025-11-17T00:12:55.9Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,2,3,2025-11-17T00:13:03Z,160000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M25.00S,2025-11-17T00:13:10.4Z,1,REGULAR,2pt,Jump Shot,[],1630578,92.46057818659659,19.852941176470587,1610612745,4,3,2025-11-17T00:13:16Z,170000,False,-151.0,18.0,1,right,A. Sengun 15' turnaround fadeaway Jump Shot (4 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,15.18,Made,,,,,4.0,,,,,,,,,,,,,
18,PT10M16.00S,2025-11-17T00:13:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.178055190538765,43.38235294117647,1610612753,4,5,2025-11-17T00:13:24Z,180000,False,33.0,15.0,1,left,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,2.0,,,,,,,,,,,,,
19,PT09M54.00S,2025-11-17T00:13:43.6Z,1,REGULAR,turnover,traveling,[],201142,,,1610612745,4,5,2025-11-17T00:13:52Z,190000,False,,,0,,K. Durant traveling TURNOVER (1 TO),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1627964.0,1.0,,,,,,,,
20,PT09M39.00S,2025-11-17T00:14:14.4Z,1,REGULAR,turnover,traveling,[],1630532,,,1610612753,4,5,2025-11-17T00:14:25Z,200000,False,,,0,,F. Wagner traveling TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1162.0,1.0,,,,,,,,
21,PT09M26.00S,2025-11-17T00:14:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641708,88.91261498028909,37.99019607843137,1610612745,4,5,2025-11-17T00:15:02Z,210000,False,-60.0,52.0,1,right,MISS A. Thompson 7' driving Layup - blocked,"[1641708, 1628976]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,Carter Jr.,1628976.0,,,,,,
22,PT09M26.00S,2025-11-17T00:14:39.3Z,1,REGULAR,block,,[],1628976,,,1610612745,4,5,2025-11-17T00:14:44Z,220000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M26.00S,2025-11-17T00:14:39.3Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,4,5,2025-11-17T00:19:13Z,230000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT09M26.00S,2025-11-17T00:14:55.0Z,1,REGULAR,turnover,out-of-bounds,[],1641710,,,1610612753,4,5,2025-11-17T00:19:38Z,235000,False,,,0,,A. Black step out-of-bounds TURNOVER (1 TO),[1641710],1610612753.0,ORL,step,,,Black,A. Black,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1162.0,1.0,,,,,,,,
24,PT09M18.00S,2025-11-17T00:15:10.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,93.24901445466492,24.019607843137255,1610612745,4,5,2025-11-17T00:19:38Z,240000,False,-130.0,11.0,1,right,MISS K. Durant 13' step back Shot,[201142],1610612745.0,HOU,step back,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,13.04,Missed,,,,,,,,,,,,,,,,,,
25,PT09M15.00S,2025-11-17T00:15:13.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,5,2025-11-17T00:15:18Z,250000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M09.00S,2025-11-17T00:15:19.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630532,11.645860709592641,41.66666666666667,1610612753,4,7,2025-11-17T00:18:36Z,260000,False,42.0,57.0,1,left,F. Wagner 7' driving floating Jump Shot (4 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.06,Made,,,,,4.0,,,,,,,,,,,,,
27,PT08M46.00S,2025-11-17T00:15:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,81.42247043363994,39.950980392156865,1610612745,6,7,2025-11-17T00:15:52Z,270000,False,-50.0,122.0,1,right,J. Smith Jr. 13' turnaround fadeaway Jump Shot (2 PTS) (K. Durant 1 AST),"[1631095, 201142]",1610612745.0,HOU,turnaround fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.2,Made,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,
29,PT08M34.00S,2025-11-17T00:15:58.6Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612753,6,7,2025-11-17T00:16:10Z,290000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630578, 1630532]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627964.0,,,,1.0,0.0,Wagner,1630532.0,,
31,PT08M34.00S,2025-11-17T00:16:21.8Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,6,8,2025-11-17T00:16:47Z,310000,False,,,0,,F. Wagner Free Throw 1 of 2 (5 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
32,PT08M34.00S,2025-11-17T00:16:21.8Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,6,8,2025-11-17T00:16:47Z,320000,False,,,0,,MISS F. Wagner Free Throw 2 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT08M34.00S,2025-11-17T00:16:21.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,8,2025-11-17T00:16:52Z,330000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M21.00S,2025-11-17T00:16:55.3Z,1,REGULAR,turnover,lost ball,[],1630578,,,1610612745,6,8,2025-11-17T00:17:01Z,340000,False,,,0,,A. Sengun lost ball TURNOVER (1 TO),"[1630578, 1628976]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,Carter Jr.,1628976.0
35,PT08M21.00S,2025-11-17T00:16:55.3Z,1,REGULAR,steal,,[],1628976,,,1610612753,6,8,2025-11-17T00:16:57Z,350000,False,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M16.00S,2025-11-17T00:16:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,7.703679369250986,57.84313725490197,1610612753,6,10,2025-11-17T00:17:06Z,360000,False,-39.0,20.0,1,left,D. Bane running Layup (2 PTS) (F. Wagner 2 AST),"[1630217, 1630532]",1610612753.0,ORL,running,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.4,Made,,,,,2.0,F. Wagner,1630532.0,2.0,,,,,,,,,,
38,PT08M01.00S,2025-11-17T00:17:14.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,90.88370565045992,23.52941176470588,1610612745,6,10,2025-11-17T00:17:21Z,380000,False,-132.0,33.0,1,right,MISS A. Sengun 13' step back Shot,[1630578],1610612745.0,HOU,step back,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,13.65,Missed,,,,,,,,,,,,,,,,,,
39,PT07M59.00S,2025-11-17T00:17:16.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,10,2025-11-17T00:17:21Z,390000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT07M53.00S,2025-11-17T00:17:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.276609724047304,49.754901960784316,1610612753,6,10,2025-11-17T00:17:31Z,400000,False,1.0,251.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
