actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M22.00S,2026-02-24T02:45:09.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630578,11.383048620236531,47.549019607843135,1610612745,3,4,2026-02-24T02:45:16Z,180000,False,12.0,55.0,1,left,MISS A. Sengun driving Hook - blocked,"[1630578, 1642271]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,,,,,,,,,Filipowski,1642271.0,,,,,,,,
19,PT10M22.00S,2026-02-24T02:45:09.7Z,1,REGULAR,block,,[],1642271,,,1610612745,3,4,2026-02-24T02:45:11Z,190000,False,,,0,,K. Filipowski BLOCK (1 BLK),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2026-02-24T02:45:13.7Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,3,4,2026-02-24T02:45:16Z,200000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
21,PT10M14.00S,2026-02-24T02:45:17.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642271,91.67214191852825,57.59803921568627,1610612762,3,4,2026-02-24T02:46:47Z,210000,False,38.0,26.0,1,right,MISS K. Filipowski running pullup Shot,[1642271],1610612762.0,UTA,running pullup,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2026-02-24T02:45:19.1Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,3,4,2026-02-24T02:45:23Z,220000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT10M12.00S,2026-02-24T02:45:21.4Z,1,REGULAR,turnover,out-of-bounds,[],1641708,,,1610612745,3,4,2026-02-24T02:45:30Z,230000,False,,,0,,A. Thompson lost ball out-of-bounds TURNOVER (1 TO),[1641708],1610612745.0,HOU,lost ball,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,,,202053.0,,,,,,,,,,
24,PT10M09.00S,2026-02-24T02:45:36.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,69.59592641261499,70.83333333333334,1610612762,3,4,2026-02-24T02:45:42Z,240000,False,104.0,233.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2026-02-24T02:45:38.7Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,4,2026-02-24T02:45:38Z,250000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT10M03.00S,2026-02-24T02:45:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612745,3,4,2026-02-24T02:45:57Z,260000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Thompson 2 FT),"[1642268, 1641708]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1146.0,,,,,,,1.0,0.0,Thompson,1641708.0
28,PT10M03.00S,2026-02-24T02:46:04.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641708,,,1610612745,3,4,2026-02-24T02:47:45Z,280000,False,,,0,,MISS A. Thompson Free Throw 1 of 2,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT10M03.00S,2026-02-24T02:46:04.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,3,4,2026-02-24T02:47:45Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,
30,PT10M03.00S,2026-02-24T02:46:04.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641708,,,1610612745,4,4,2026-02-24T02:47:45Z,300000,False,,,0,,A. Thompson Free Throw 2 of 2 (1 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M50.00S,2026-02-24T02:46:53.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,70.25295663600527,79.41176470588235,1610612762,4,4,2026-02-24T02:46:58Z,320000,False,147.0,227.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,27.06,Missed,,,,,,,,,,,,,,,,,,
33,PT09M49.00S,2026-02-24T02:46:54.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,4,4,2026-02-24T02:46:58Z,330000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,
34,PT09M39.00S,2026-02-24T02:47:03.9Z,1,REGULAR,turnover,bad pass,[],1631095,,,1610612745,4,4,2026-02-24T02:47:07Z,340000,False,,,0,,J. Smith Jr. bad pass TURNOVER (1 TO),"[1631095, 1642268]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Collier,1642268.0,,,,,,,,,,,
35,PT09M39.00S,2026-02-24T02:47:03.9Z,1,REGULAR,steal,,[],1642268,,,1610612762,4,4,2026-02-24T02:47:05Z,350000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
36,PT09M37.00S,2026-02-24T02:47:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1641708,,,1610612762,4,4,2026-02-24T02:47:21Z,360000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Collier 2 FT),"[1641708, 1642268]",1610612745.0,HOU,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1146.0,,,,,,,1.0,0.0,Collier,1642268.0
38,PT09M37.00S,2026-02-24T02:47:40.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1642268,,,1610612762,4,4,2026-02-24T02:47:40Z,380000,False,,,0,,MISS I. Collier Free Throw 1 of 2,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M37.00S,2026-02-24T02:47:40.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,4,4,2026-02-24T02:47:40Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,
40,PT09M37.00S,2026-02-24T02:47:57.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1642268,,,1610612762,4,5,2026-02-24T02:47:57Z,400000,False,,,0,,I. Collier Free Throw 2 of 2 (1 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
41,PT09M20.00S,2026-02-24T02:48:15.1Z,1,REGULAR,3pt,Jump Shot,[],201142,7.5722733245729295,5.392156862745098,1610612745,4,5,2026-02-24T02:48:22Z,410000,False,223.0,19.0,1,left,MISS K. Durant 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,22.38,Missed,,,,,,,,,,,,,,,,,,
42,PT09M19.00S,2026-02-24T02:48:16.1Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,4,5,2026-02-24T02:48:22Z,420000,False,,,0,,A. Bailey REBOUND (Off:0 Def:1),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,
43,PT09M11.00S,2026-02-24T02:48:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,92.06636005256242,46.81372549019608,1610612762,4,5,2026-02-24T02:49:58Z,430000,False,-16.0,22.0,1,right,MISS K. Filipowski driving Layup - blocked,"[1642271, 1631106]",1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,Eason,1631106.0,,,,,,,,
44,PT09M11.00S,2026-02-24T02:48:25.4Z,1,REGULAR,block,,[],1631106,,,1610612762,4,5,2026-02-24T02:48:27Z,440000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT09M09.00S,2026-02-24T02:48:27.4Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,4,5,2026-02-24T02:48:30Z,450000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,
46,PT09M02.00S,2026-02-24T02:48:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,5.995400788436268,49.01960784313725,1610612745,6,5,2026-02-24T02:50:46Z,460000,False,5.0,4.0,1,left,A. Sengun cutting Layup (2 PTS) (K. Durant 2 AST),"[1630578, 201142]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,
48,PT08M45.00S,2026-02-24T02:48:53.9Z,1,REGULAR,foul,personal,['2freethrow'],1631106,,,1610612762,6,5,2026-02-24T02:49:01Z,480000,False,,,0,,T. Eason shooting personal FOUL (1 PF) (Collier 2 FT),"[1631106, 1642268]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1626301.0,,,,,,,1.0,0.0,Collier,1642268.0
50,PT08M45.00S,2026-02-24T02:49:17.0Z,1,REGULAR,freethrow,1 of 2,[],1642268,,,1610612762,6,6,2026-02-24T02:49:17Z,500000,False,,,0,,I. Collier Free Throw 1 of 2 (2 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
51,PT08M45.00S,2026-02-24T02:49:32.6Z,1,REGULAR,freethrow,2 of 2,[],1642268,,,1610612762,6,7,2026-02-24T02:49:32Z,510000,False,,,0,,I. Collier Free Throw 2 of 2 (3 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT08M38.00S,2026-02-24T02:49:40.9Z,1,REGULAR,turnover,bad pass,[],1631106,,,1610612745,6,7,2026-02-24T02:49:53Z,520000,False,,,0,,T. Eason bad pass TURNOVER (2 TO),"[1631106, 1642846]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Center,,,,,,,2.0,Bailey,1642846.0,,,,,,,,,,,
53,PT08M38.00S,2026-02-24T02:49:40.9Z,1,REGULAR,steal,,[],1642846,,,1610612762,6,7,2026-02-24T02:49:44Z,530000,False,,,0,,A. Bailey STEAL (2 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
54,PT08M36.00S,2026-02-24T02:49:45.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642846,92.59198423127464,53.67647058823529,1610612762,6,9,2026-02-24T02:50:24Z,540000,False,18.0,17.0,1,right,A. Bailey running DUNK (2 PTS),[1642846],1610612762.0,UTA,running,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,2.51,Made,2.0,,,,,,,,,,,,,,,,,
55,PT08M36.00S,2026-02-24T02:49:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,6,9,2026-02-24T02:49:53Z,550000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M36.00S,2026-02-24T02:52:48.3Z,1,REGULAR,substitution,out,[],1631106,,,1610612745,6,9,2026-02-24T02:53:20Z,560000,False,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M36.00S,2026-02-24T02:52:48.3Z,1,REGULAR,substitution,in,[],1629006,,,1610612745,6,9,2026-02-24T02:53:20Z,570000,False,,,0,,SUB in: J. Okogie,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M26.00S,2026-02-24T02:53:24.2Z,1,REGULAR,3pt,Jump Shot,[],1629006,7.046649145860711,4.6568627450980395,1610612745,6,9,2026-02-24T02:53:32Z,580000,False,227.0,14.0,1,left,MISS J. Okogie 3PT,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,22.71,Missed,,,,,,,,,,,,,,,,,,
59,PT08M25.00S,2026-02-24T02:53:25.2Z,1,REGULAR,rebound,defensive,[],1642846,,,1610612762,6,9,2026-02-24T02:53:32Z,590000,False,,,0,,A. Bailey REBOUND (Off:0 Def:2),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,,
60,PT08M05.00S,2026-02-24T02:53:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,83.78777923784494,59.55882352941176,1610612762,6,9,2026-02-24T02:53:51Z,600000,False,48.0,100.0,1,right,MISS K. Filipowski 11' turnaround fadeaway Shot,[1642271],1610612762.0,UTA,turnaround fadeaway,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,11.07,Missed,,,,,,,,,,,,,,,,,,
61,PT08M05.00S,2026-02-24T02:53:44.4Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,6,9,2026-02-24T02:53:51Z,610000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,
62,PT07M46.00S,2026-02-24T02:54:03.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.151773981603156,19.852941176470587,1610612745,9,9,2026-02-24T02:54:08Z,620000,False,151.0,203.0,1,left,J. Smith Jr. 25' 3PT  (6 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.26,Made,6.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
64,PT07M33.00S,2026-02-24T02:54:22.6Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,9,9,2026-02-24T02:54:29Z,640000,False,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 1630578]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,,,
65,PT07M33.00S,2026-02-24T02:54:22.6Z,1,REGULAR,steal,,[],1630578,,,1610612745,9,9,2026-02-24T02:56:19Z,650000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
66,PT07M29.00S,2026-02-24T02:54:26.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631095,6.521024967148489,48.529411764705884,1610612745,11,9,2026-02-24T02:54:34Z,660000,False,7.0,9.0,1,left,J. Smith Jr. running DUNK (8 PTS) (A. Thompson 1 AST),"[1631095, 1641708]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.15,Made,8.0,A. Thompson,1641708.0,1.0,,,,,,,,,,,,,,
68,PT07M06.00S,2026-02-24T02:54:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,93.51182654402102,64.2156862745098,1610612762,11,11,2026-02-24T02:54:54Z,680000,False,71.0,8.0,1,right,K. Filipowski 7' floating Jump Shot (2 PTS) (L. Markkanen 1 AST),"[1642271, 1628374]",1610612762.0,UTA,floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,7.16,Made,2.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,,,,
70,PT06M57.00S,2026-02-24T02:55:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,14.14257555847569,38.48039215686275,1610612745,13,11,2026-02-24T02:57:05Z,700000,False,58.0,80.0,1,left,A. Thompson 9' driving floating Jump Shot (3 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Right,9.89,Made,3.0,,,,,,,,,,,,,,,,,
71,PT06M57.00S,2026-02-24T02:55:06.2Z,1,REGULAR,foul,personal,['1freethrow'],1642268,,,1610612745,13,11,2026-02-24T02:55:14Z,710000,False,,,0,,I. Collier shooting personal FOUL (2 PF) (Thompson 1 FT),"[1642268, 1641708]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1146.0,,,,,,,2.0,0.0,Thompson,1641708.0
73,PT06M57.00S,2026-02-24T02:55:15.8Z,1,REGULAR,substitution,out,[],1629006,,,1610612745,13,11,2026-02-24T02:55:58Z,730000,False,,,0,,SUB out: J. Okogie,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M57.00S,2026-02-24T02:55:15.8Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,13,11,2026-02-24T02:55:58Z,740000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M57.00S,2026-02-24T02:55:29.0Z,1,REGULAR,freethrow,1 of 1,[],1641708,,,1610612745,14,11,2026-02-24T02:55:29Z,750000,False,,,0,,A. Thompson Free Throw 1 of 1 (4 PTS),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
76,PT06M31.00S,2026-02-24T02:55:55.5Z,1,REGULAR,2pt,Jump Shot,[],1642268,86.02168199737189,33.82352941176471,1610612762,14,11,2026-02-24T02:56:01Z,760000,False,-81.0,79.0,1,right,MISS I. Collier 11' fadeaway Shot,[1642268],1610612762.0,UTA,fadeaway,,,Collier,I. Collier,,,,,Mid-Range,8-16 Left,11.3,Missed,,,,,,,,,,,,,,,,,,
77,PT06M29.00S,2026-02-24T02:55:58.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,14,11,2026-02-24T02:55:58Z,770000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,
78,PT06M23.00S,2026-02-24T02:56:03.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,31.750985545335087,37.5,1610612745,17,11,2026-02-24T02:56:07Z,780000,False,62.0,246.0,1,left,J. Smith Jr. 25' 3PT  (11 PTS) (A. Thompson 2 AST),"[1631095, 1641708]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,25.38,Made,11.0,A. Thompson,1641708.0,2.0,,,,,,,,,,,,,,
80,PT06M22.00S,2026-02-24T02:56:11.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,17,11,2026-02-24T02:56:11Z,800000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M22.00S,2026-02-24T02:59:05.1Z,1,REGULAR,substitution,out,[],1642262,,,1610612762,17,11,2026-02-24T02:59:28Z,810000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M22.00S,2026-02-24T02:59:05.1Z,1,REGULAR,substitution,in,[],1629004,,,1610612762,17,11,2026-02-24T02:59:28Z,820000,False,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M05.00S,2026-02-24T02:59:48.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,73.27529566360053,15.441176470588236,1610612762,17,11,2026-02-24T02:59:55Z,830000,False,-173.0,199.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
