actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-24T02:43:11.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-24T02:43:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-24T02:43:14.2Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2026-02-24T02:43:14Z,40000,False,,,0,,Jump Ball A. Sengun vs. K. Filipowski: Tip to J. Smith Jr.,"[1631095, 1630578, 1642271]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-02-24T02:43:30.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.020367936925098,21.813725490196077,1610612745,3,0,2026-02-24T02:43:36Z,70000,False,141.0,201.0,1,left,J. Smith Jr. 24' 3PT  (3 PTS) (K. Durant 1 AST),"[1631095, 201142]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,24.59,Made,3.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2026-02-24T02:43:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,86.67871222076215,46.07843137254902,1610612762,3,2,2026-02-24T02:43:59Z,90000,False,-20.0,73.0,1,right,L. Markkanen 7' driving floating Jump Shot (2 PTS) (K. Filipowski 1 AST),"[1628374, 1642271]",1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,7.53,Made,2.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,,,,,
11,PT10M53.00S,2026-02-24T02:44:17.5Z,1,REGULAR,turnover,bad pass,[],1631106,,,1610612745,3,2,2026-02-24T02:44:21Z,110000,False,,,0,,T. Eason bad pass TURNOVER (1 TO),"[1631106, 1642271]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Filipowski,1642271.0,,,,,,,,,,,
12,PT10M53.00S,2026-02-24T02:44:17.5Z,1,REGULAR,steal,,[],1642271,,,1610612762,3,2,2026-02-24T02:44:19Z,120000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2026-02-24T02:44:23.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642262,91.93495400788436,59.80392156862745,1610612762,3,4,2026-02-24T02:44:36Z,130000,False,49.0,23.0,1,right,C. Williams running finger roll Layup (2 PTS) (K. Filipowski 2 AST),"[1642262, 1642271]",1610612762.0,UTA,running finger roll,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.43,Made,2.0,K. Filipowski,1642271.0,2.0,,,,,,,,,,,,,,
15,PT10M33.00S,2026-02-24T02:44:39.6Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,3,4,2026-02-24T02:44:54Z,150000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1642846]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Bailey,1642846.0,,,,,,,,,,,
16,PT10M33.00S,2026-02-24T02:44:39.6Z,1,REGULAR,steal,,[],1642846,,,1610612762,3,4,2026-02-24T02:45:09Z,160000,False,,,0,,A. Bailey STEAL (1 STL),[1642846],1610612762.0,UTA,,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2026-02-24T02:44:45.2Z,1,REGULAR,turnover,out-of-bounds,[],1642271,,,1610612762,3,4,2026-02-24T02:44:52Z,170000,False,,,0,,K. Filipowski step out-of-bounds TURNOVER (1 TO),[1642271],1610612762.0,UTA,step,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,1146.0,,,,,,,,,,
