actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-17T01:43:15.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-17T01:43:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-17T01:43:18.1Z,1,REGULAR,jumpball,recovered,[],1631106,,,1610612745,0,0,2026-03-17T01:43:18Z,40000,False,,,0,,Jump Ball C. Capela vs. D. Ayton: Tip to T. Eason,"[1631106, 203991, 1629028]",1610612745.0,HOU,startperiod,T. Eason,1631106.0,Eason,T. Eason,Capela,203991.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-17T01:43:37.5Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612745,0,0,2026-03-17T01:43:42Z,70000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Capela 2 FT),"[203935, 203991]",1610612747.0,LAL,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,202058.0,1.0,0.0,Capela,203991.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-03-17T01:43:59.7Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612745,0,0,2026-03-17T01:43:59Z,90000,False,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M39.00S,2026-03-17T01:43:59.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2026-03-17T01:43:59Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M39.00S,2026-03-17T01:44:15.9Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612745,1,0,2026-03-17T01:44:15Z,110000,False,,,0,,C. Capela Free Throw 2 of 2 (1 PTS),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M27.00S,2026-03-17T01:44:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,16.507884362680684,39.950980392156865,1610612747,1,0,2026-03-17T01:44:35Z,120000,False,50.0,103.0,1,left,MISS L. Dončić 11' pullup Shot,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,11.43,,,,,,,,,,,
13,PT11M25.00S,2026-03-17T01:44:30.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,1,0,2026-03-17T01:44:35Z,130000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M15.00S,2026-03-17T01:44:41.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.85479632063075,52.450980392156865,1610612745,3,0,2026-03-17T01:44:48Z,140000,False,12.0,15.0,1,right,C. Capela DUNK (3 PTS) (A. Thompson 1 AST),"[203991, 1641708]",1610612745.0,HOU,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Made,,3.0,1.92,,,,A. Thompson,1641708.0,1.0,,,,,
16,PT10M58.00S,2026-03-17T01:44:57.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,11.514454664914586,64.4607843137255,1610612747,3,2,2026-03-17T01:45:20Z,160000,False,-72.0,56.0,1,left,L. Dončić 9' fadeaway Jump Shot (2 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Made,,2.0,9.13,,,,,,,,,,,
