actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-04-13T00:41:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-13T00:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-13T00:41:26.8Z,1,REGULAR,jumpball,recovered,[],1642942,,,1610612763,0,0,2026-04-13T00:41:26Z,40000,False,,,0,,Jump Ball T. Gibson vs. C. Capela: Tip to J. Mashack,"[1642942, 201959, 203991]",1610612763.0,MEM,startperiod,J. Mashack,1642942.0,Mashack,J. Mashack,Gibson,201959.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-04-13T00:41:35.8Z,1,REGULAR,turnover,bad pass,[],1642942,,,1610612763,0,0,2026-04-13T00:41:40Z,70000,False,,,0,,J. Mashack bad pass TURNOVER (1 TO),"[1642942, 203991]",1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,In The Paint (Non-RA),8-16 Center,1.0,Capela,203991.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2026-04-13T00:41:35.8Z,1,REGULAR,steal,,[],203991,,,1610612745,0,0,2026-04-13T00:41:37Z,80000,False,,,0,,C. Capela STEAL (1 STL),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2026-04-13T00:41:56.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629006,69.46452036793693,65.44117647058823,1610612745,0,0,2026-04-13T00:45:17Z,90000,False,77.0,235.0,1,right,MISS J. Okogie 24' 3PT,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Center,,,,24.69,Missed,,,,,,,,,,,,,,,
10,PT11M26.00S,2026-04-13T00:41:58.6Z,1,REGULAR,rebound,defensive,[],1643253,,,1610612763,0,0,2026-04-13T00:45:17Z,100000,False,,,0,,T. Okani REBOUND (Off:0 Def:1),[1643253],1610612763.0,MEM,,,,Okani,T. Okani,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M22.00S,2026-04-13T00:42:04.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641727,11.251642575558476,56.372549019607845,1610612763,0,0,2026-04-13T00:45:08Z,110000,False,-32.0,53.0,1,left,MISS D. Whitehead 6' running finger roll Layup,[1641727],1610612763.0,MEM,running finger roll,,,Whitehead,D. Whitehead,,,,,In The Paint (Non-RA),0-8 Center,,,,6.21,Missed,,,,,,,,,,,,,,,
12,PT11M20.00S,2026-04-13T00:42:06.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612745,0,0,2026-04-13T00:45:08Z,120000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M09.00S,2026-04-13T00:42:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,91.5407358738502,55.63725490196079,1610612745,2,0,2026-04-13T00:42:19Z,130000,False,28.0,27.0,1,right,T. Eason driving finger roll Layup (2 PTS),[1631106],1610612745.0,HOU,driving finger roll,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,3.9,Made,,,,,2.0,,,,,,,,,,
14,PT10M55.00S,2026-04-13T00:42:31.4Z,1,REGULAR,foul,personal,[],1631106,,,1610612763,2,0,2026-04-13T00:42:44Z,140000,False,,,0,,T. Eason personal FOUL (1 PF),"[1631106, 1642942]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1628953.0,1.0,0.0,Mashack,1642942.0,,,,,
16,PT10M48.00S,2026-04-13T00:42:50.7Z,1,REGULAR,2pt,Jump Shot,[],1643253,16.031537450722734,90.46415441176471,1610612763,2,0,2026-04-13T00:43:53Z,160000,False,-202.0,98.0,1,left,MISS T. Okani 22' Jump Shot,[1643253],1610612763.0,MEM,,,,Okani,T. Okani,,,,,Mid-Range,16-24 Left,,,,22.49,Missed,,,,,,,,,,,,,,,
17,PT10M47.00S,2026-04-13T00:42:51.7Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612745,2,0,2026-04-13T00:42:58Z,170000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M29.00S,2026-04-13T00:43:09.2Z,1,REGULAR,2pt,Jump Shot,[],1642263,77.87450722733246,38.72549019607843,1610612745,2,0,2026-04-13T00:43:14Z,180000,False,-56.0,155.0,1,right,MISS R. Sheppard 16' pullup Shot,[1642263],1610612745.0,HOU,pullup,,,Sheppard,R. Sheppard,,,,,Mid-Range,16-24 Left Center,,,,16.54,Missed,,,,,,,,,,,,,,,
19,PT10M27.00S,2026-04-13T00:43:11.2Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,2,0,2026-04-13T00:43:24Z,190000,False,,,0,,J. Tate REBOUND (Off:1 Def:0),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Mid-Range,16-24 Left Center,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT10M27.00S,2026-04-13T00:43:13.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630256,94.40999984741211,50.0,1610612745,4,0,2026-04-13T00:43:28Z,200000,False,0.0,0.0,1,right,J. Tate tip Layup (2 PTS),[1630256],1610612745.0,HOU,tip,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
21,PT10M10.00S,2026-04-13T00:43:27.5Z,1,REGULAR,3pt,Jump Shot,[],1642942,24.392247043363994,15.686274509803921,1610612763,4,0,2026-04-13T00:43:33Z,210000,False,172.0,177.0,1,left,MISS J. Mashack 24' 3PT - blocked,"[1642942, 1642263]",1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Above the Break 3,24+ Right Center,,,,24.64,Missed,,,,,,,,,,,Sheppard,1642263.0,,,
72,PT10M10.00S,2026-04-13T00:43:27.5Z,1,REGULAR,block,,[],1642263,,,1610612763,4,0,2026-04-13T00:51:48Z,215000,False,,,0,,R. Sheppard BLOCK (1 BLK),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2026-04-13T00:43:30.5Z,1,REGULAR,rebound,offensive,[],201959,,,1610612763,4,0,2026-04-13T00:51:48Z,220000,False,,,0,,T. Gibson REBOUND (Off:1 Def:0),[201959],1610612763.0,MEM,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Right Center,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,
