actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-21T01:35:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-21T01:35:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-21T01:35:11.5Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2026-01-21T01:35:11Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Sengun: Tip to D. Fox,"[1628368, 1641705, 1630578]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Wembanyama,1641705.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-21T01:35:27.9Z,1,REGULAR,3pt,Jump Shot,[],1642264,29.38567674113009,71.32352941176471,1610612759,0,0,2026-01-21T01:35:33Z,70000,False,-107.0,224.0,1,left,MISS S. Castle 24' step back 3PT,[1642264],1610612759.0,SAS,step back,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,24.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-21T01:35:30.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2026-01-21T01:35:33Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-01-21T01:35:49.4Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,0,0,2026-01-21T01:35:56Z,90000,False,,,0,,A. Sengun bad pass out-of-bounds TURNOVER (1 TO),[1630578],1610612745.0,HOU,bad pass,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,,,,202058.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2026-01-21T01:35:59.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203084,7.966491458607096,39.46078431372549,1610612759,0,0,2026-01-21T01:36:07Z,100000,False,53.0,22.0,1,left,MISS H. Barnes turnaround fadeaway Shot,[203084],1610612759.0,SAS,turnaround fadeaway,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,5.73,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2026-01-21T01:35:59.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2026-01-21T01:36:07Z,110000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT11M03.00S,2026-01-21T01:36:09.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,93.38042049934296,54.65686274509803,1610612745,2,0,2026-01-21T01:36:59Z,120000,False,23.0,10.0,1,right,A. Thompson cutting DUNK (2 PTS) (A. Sengun 1 AST),"[1641708, 1630578]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,
14,PT10M50.00S,2026-01-21T01:36:22.4Z,1,REGULAR,3pt,Jump Shot,[],203084,12.828515111695138,5.637254901960785,1610612759,2,3,2026-01-21T01:36:28Z,140000,False,222.0,68.0,1,left,H. Barnes 3PT  (3 PTS) (S. Castle 1 AST),"[203084, 1642264]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,23.2,Made,,,,,,,3.0,S. Castle,1642264.0,1.0,,,,,,,,
16,PT10M33.00S,2026-01-21T01:36:44.5Z,1,REGULAR,violation,kicked ball,[],1641705,,,1610612745,2,3,2026-01-21T01:37:33Z,160000,False,,,0,,V. Wembanyama kicked ball VIOLATION,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,1151.0,,,,,,,,,,,,,
