actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-26T01:10:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T01:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-11-26T01:10:22.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-11-26T01:10:22Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Lopez: Tip to D. Garland,"[1629636, 1628386, 201572]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-11-26T01:10:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.67608409986859,68.62745098039215,1610612739,0,3,2022-11-26T01:11:05Z,70000,False,93.0,242.0,1,right,D. Mitchell 25' 3PT pullup (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.92,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-11-26T01:11:01.2Z,1,REGULAR,3pt,Jump Shot,[],1628975,14.323258869908015,2.228860294117647,1610612749,0,3,2022-11-26T01:11:12Z,80000,False,239.0,82.0,1,left,MISS J. Carter 25' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Right Corner 3,24+ Right,25.26,Missed,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-11-26T01:11:03.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,3,2022-11-26T01:11:12Z,90000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M13.00S,2022-11-26T01:11:35.0Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612749,0,3,2022-11-26T01:11:46Z,120000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628386, 203507]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
14,PT11M13.00S,2022-11-26T01:11:47.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203507,,,1610612749,0,3,2022-11-26T01:11:47Z,140000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2022-11-26T01:11:47.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,3,2022-11-26T01:11:47Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,
16,PT11M13.00S,2022-11-26T01:11:47.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203507,,,1610612749,0,3,2022-11-26T01:12:10Z,160000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M10.00S,2022-11-26T01:11:50.9Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,3,2022-11-26T01:12:10Z,170000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
