shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-14T00:32:27.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-14T00:32:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-14T00:32:29.2Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-14T00:32:29Z,40000,False,,,0,,Jump Ball B. Lopez vs. K. Looney: Tip to G. Antetokounmpo,"[203507, 201572, 1626172]",34,1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
11:35,7,PT11M35.00S,2022-12-14T00:32:56.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,0,0,2022-12-14T00:33:06Z,70000,False,,,0,,MIL shot clock Team TURNOVER,[],,1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,202049.0,,,,,,,,,,,,,,,,,,,
11:20,8,PT11M20.00S,2022-12-14T00:33:20.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,70.38436268068331,16.42156862745098,1610612744,0,3,2022-12-14T00:33:26Z,80000,False,-168.0,226.0,1,right,J. Poole 28' 3PT  (3 PTS) (D. Green 1 AST),"[1629673, 203110]",3,1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,28.15,Made,3.0,D. Green,203110.0,1.0,,,,,,,,,,,,,
11:07,10,PT11M07.00S,2022-12-14T00:33:33.1Z,1,REGULAR,3pt,Jump Shot,[],203114,30.305519053876477,73.52941176470588,1610612749,0,3,2022-12-14T00:33:37Z,100000,False,-118.0,232.0,1,left,MISS K. Middleton 26' 3PT,[203114],22,1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,26.05,Missed,,,,,,,,,,,,,,,,,
11:04,11,PT11M04.00S,2022-12-14T00:33:35.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2022-12-14T00:33:35Z,110000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],5,1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
10:57,12,PT10M57.00S,2022-12-14T00:33:43.2Z,1,REGULAR,2pt,Jump Shot,[],202691,76.69185282522996,35.53921568627451,1610612744,0,5,2022-12-14T00:33:48Z,120000,False,-72.0,167.0,1,right,K. Thompson 18' pullup Jump Shot (2 PTS) (D. Green 2 AST),"[202691, 203110]",11,1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,18.16,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,,,,,
10:42,14,PT10M42.00S,2022-12-14T00:33:59.0Z,1,REGULAR,turnover,lost ball,[],203114,,,1610612749,0,5,2022-12-14T00:34:07Z,140000,False,,,0,,K. Middleton lost ball TURNOVER (1 TO),"[203114, 1626172]",22,1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Looney,1626172.0,,,,,,
10:42,15,PT10M42.00S,2022-12-14T00:33:59.0Z,1,REGULAR,steal,,[],1626172,,,1610612744,0,5,2022-12-14T00:34:01Z,150000,False,,,0,,K. Looney STEAL (1 STL),[1626172],5,1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
10:37,16,PT10M37.00S,2022-12-14T00:34:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,91.67214191852825,51.9607843137255,1610612744,0,5,2022-12-14T00:34:15Z,160000,False,10.0,26.0,1,right,MISS J. Poole running Layup,[1629673],3,1610612744.0,GSW,running,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,2.76,Missed,,,,,,,,,,,,,,,,,
10:34,17,PT10M34.00S,2022-12-14T00:34:06.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,5,2022-12-14T00:34:06Z,170000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
10:24,18,PT10M24.00S,2022-12-14T00:34:16.7Z,1,REGULAR,2pt,Jump Shot,[],203507,16.63929040735874,20.833333333333336,1610612749,0,5,2022-12-14T00:34:21Z,180000,False,146.0,104.0,1,left,MISS G. Antetokounmpo 17' Jump Shot,[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right,,17.9,Missed,,,,,,,,,,,,,,,,,
10:21,19,PT10M21.00S,2022-12-14T00:34:19.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,5,2022-12-14T00:34:21Z,190000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],30,1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
10:10,20,PT10M10.00S,2022-12-14T00:34:30.7Z,1,REGULAR,2pt,Jump Shot,[],202691,79.45137976346912,26.225490196078432,1610612744,0,7,2022-12-14T00:34:37Z,200000,False,-119.0,141.0,1,right,K. Thompson 18' Jump Shot (4 PTS),[202691],11,1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,18.42,Made,4.0,,,,,,,,,,,,,,,,
09:54,21,PT09M54.00S,2022-12-14T00:34:50.3Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612749,0,7,2022-12-14T00:35:27Z,210000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[202691, 203507]",11,1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,202049.0,,,,,,,,,,,,,,1.0,0.0,Antetokounmpo,203507.0,,
09:54,23,PT09M54.00S,2022-12-14T00:35:28.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,1,7,2022-12-14T00:35:28Z,230000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
09:54,24,PT09M54.00S,2022-12-14T00:35:45.7Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,2,7,2022-12-14T00:35:45Z,240000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
09:45,25,PT09M45.00S,2022-12-14T00:36:01.1Z,1,REGULAR,foul,personal,[],203507,,,1610612744,2,7,2022-12-14T00:36:10Z,250000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 201939]",34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,1626300.0,,,,,,,,,,,,,,1.0,0.0,Curry,201939.0,,
