actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-04T01:10:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-04T01:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-01-04T01:10:38.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-01-04T01:10:39Z,40000,False,,,0,,Jump Ball B. Lopez vs. K. Porzingis: Tip to G. Antetokounmpo,"[203507, 201572, 204001]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-04T01:10:46.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,71.56701708278581,15.196078431372548,1610612749,0,0,2023-01-04T01:10:53Z,70000,False,-174.0,215.0,1,right,MISS P. Connaughton 27' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,27.64,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-01-04T01:10:48.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2023-01-04T01:10:53Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-01-04T01:11:15.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,9.543363994743759,47.549019607843135,1610612764,0,2,2023-01-04T01:11:20Z,100000,False,12.0,37.0,1,left,D. Gafford alley-oop DUNK (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.92,Made,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,
12,PT11M13.00S,2023-01-04T01:11:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,92.59198423127464,50.73529411764706,1610612749,2,2,2023-01-04T01:11:29Z,120000,False,4.0,17.0,1,right,B. Lopez driving Layup (2 PTS) (J. Carter 1 AST),"[201572, 1628975]",1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.75,Made,,2.0,J. Carter,1628975.0,1.0,,,,,,,,,,,,,
13,PT10M59.00S,2023-01-04T01:11:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,11.12023653088042,50.0,1610612764,2,2,2023-01-04T01:11:49Z,130000,False,0.0,52.0,1,left,MISS B. Beal fadeaway Shot - blocked,"[203078, 201572]",1610612764.0,WAS,fadeaway,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,,,,,,Lopez,201572.0,,,,,,,,,,,
14,PT10M59.00S,2023-01-04T01:11:40.3Z,1,REGULAR,block,,[],201572,,,1610612764,2,2,2023-01-04T01:11:47Z,140000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2023-01-04T01:11:40.3Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,2,2,2023-01-04T01:11:49Z,150000,False,,,0,,B. Beal REBOUND (Off:1 Def:0),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,,,1.0,0.0,1.0,,,,,,,,
16,PT10M59.00S,2023-01-04T01:11:50.1Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612764,2,2,2023-01-04T01:13:10Z,160000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Beal 2 FT),"[201572, 203078]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203592.0,1.0,0.0,Beal,203078.0,,,
