actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-10-26T23:45:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T23:45:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-26T23:45:50.4Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612751,0,0,2022-10-26T23:45:50Z,40000,,,0,,Jump Ball N. Claxton vs. B. Lopez: Tip to R. O'Neale,"[1626220, 1629651, 201572]",1610612751.0,BKN,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Claxton,1629651.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-26T23:46:05.1Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612751,0,0,2022-10-26T23:46:14Z,70000,,,0,,K. Durant lost ball out-of-bounds TURNOVER (1 TO),[201142],1610612751.0,BKN,lost ball,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,1193.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-10-26T23:46:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628960,9.937582128777924,48.77450980392157,1610612749,0,0,2022-10-26T23:46:30Z,80000,6.0,41.0,1,left,MISS G. Allen driving Layup - blocked,"[1628960, 1629651]",1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,4.14,Missed,Claxton,1629651.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-10-26T23:46:24.7Z,1,REGULAR,block,,[],1629651,,,1610612749,0,0,2022-10-26T23:46:27Z,90000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-26T23:46:27.7Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2022-10-26T23:46:30Z,100000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M22.00S,2022-10-26T23:46:29.0Z,1,REGULAR,turnover,bad pass,[],1627732,,,1610612751,0,0,2022-10-26T23:55:38Z,110000,,,0,,B. Simmons bad pass TURNOVER (1 TO),"[1627732, 203507]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,Antetokounmpo,203507.0,,,,,,,,
12,PT11M22.00S,2022-10-26T23:46:29.0Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2022-10-26T23:46:31Z,120000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-10-26T23:46:35.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,5.338370565045992,3.9215686274509802,1610612749,0,0,2022-10-26T23:46:41Z,130000,230.0,-2.0,1,left,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Right Corner 3,24+ Right,,,23.04,Missed,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-10-26T23:46:38.6Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2022-10-26T23:46:41Z,140000,,,0,,B. Simmons REBOUND (Off:0 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Right Corner 3,24+ Right,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
