actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,jumpBallRecoverdPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-05T01:40:56.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-05T01:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-05T01:41:07.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2023-03-05T01:41:07Z,40000,False,,,0,,Jump Ball J. Embiid vs. B. Lopez: Tip to Team (PHI),"[203954, 201572]",1610612755.0,PHI,startperiod,Team (PHI),Embiid,203954.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-05T01:41:37.0Z,1,REGULAR,3pt,Jump Shot,[],200782,93.9060446780552,96.32352941176471,1610612755,0,0,2023-03-05T01:41:46Z,70000,False,232.0,5.0,1,right,MISS P. Tucker 3PT,[200782],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,23.16,Missed,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-05T01:41:40.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2023-03-05T01:41:46Z,80000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,Holiday,J. Holiday,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-03-05T01:41:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,5.469776609724048,52.69607843137255,1610612749,2,0,2023-03-05T01:41:51Z,90000,False,-13.0,-1.0,1,left,G. Antetokounmpo running Layup (2 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,running,,,,,,Restricted Area,0-8 Center,1.35,Made,Antetokounmpo,G. Antetokounmpo,,,,,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,
11,PT11M25.00S,2023-03-05T01:41:54.6Z,1,REGULAR,2pt,Jump Shot,[],203954,85.62746386333771,29.65686274509804,1610612755,2,2,2023-03-05T01:42:00Z,110000,False,-102.0,83.0,1,right,J. Embiid 13' Jump Shot (2 PTS),[203954],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,13.1,Made,Embiid,J. Embiid,,,,,2.0,,,,,,,,,,,,,,
12,PT11M07.00S,2023-03-05T01:42:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,13.485545335085414,62.99019607843137,1610612749,4,2,2023-03-05T01:42:17Z,120000,False,-65.0,74.0,1,left,B. Lopez 9' pullup Jump Shot (2 PTS) (J. Holiday 2 AST),"[201572, 201950]",1610612749.0,MIL,pullup,,,,,,In The Paint (Non-RA),8-16 Left,9.87,Made,Lopez,B. Lopez,,,,,2.0,J. Holiday,201950.0,2.0,,,,,,,,,,,
14,PT10M56.00S,2023-03-05T01:42:25.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,87.72996057818659,64.95098039215686,1610612755,4,2,2023-03-05T01:42:33Z,140000,False,75.0,63.0,1,right,MISS J. Embiid 9' turnaround bank Hook,[203954],1610612755.0,PHI,turnaround bank,,,,,,In The Paint (Non-RA),8-16 Right,9.77,Missed,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-03-05T01:42:28.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,2,2023-03-05T01:42:33Z,150000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Right,,,Antetokounmpo,G. Antetokounmpo,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M47.00S,2023-03-05T01:42:32.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,7.703679369250986,97.79411764705883,1610612749,7,2,2023-03-05T01:42:39Z,160000,False,-239.0,20.0,1,left,J. Holiday 3PT running (3 PTS) (G. Antetokounmpo 1 AST),"[201950, 203507]",1610612749.0,MIL,running,,,,,,Left Corner 3,24+ Left,23.98,Made,Holiday,J. Holiday,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,
