actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-29T00:11:42.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T00:11:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-29T00:11:45.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-10-29T00:11:46Z,40000,,,0,,Jump Ball B. Lopez vs. M. Robinson: Tip to G. Antetokounmpo,"[203507, 201572, 1629011]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-10-29T00:12:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.046649145860711,50.245098039215684,1610612749,2,0,2022-10-29T00:12:12Z,70000,-1.0,14.0,1,left,G. Antetokounmpo driving finger roll Layup (2 PTS) (B. Lopez 1 AST),"[203507, 201572]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.38,Made,2.0,B. Lopez,201572.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2022-10-29T00:12:22.1Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,2,0,2022-10-29T00:12:32Z,90000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 1628960]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Mid-Range,8-16 Center,,,,,,,1.0,Allen,1628960.0,,,,,,,,,,,
10,PT11M20.00S,2022-10-29T00:12:22.1Z,1,REGULAR,steal,,[],1628960,,,1610612749,2,0,2022-10-29T00:12:24Z,100000,,,0,,G. Allen STEAL (1 STL),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-10-29T00:12:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612749,2,0,2022-10-29T00:12:41Z,110000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629011, 203507]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626300.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
13,PT11M17.00S,2022-10-29T00:13:05.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,2,0,2022-10-29T00:13:05Z,130000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-10-29T00:13:05.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,2,0,2022-10-29T00:13:05Z,140000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,
15,PT11M17.00S,2022-10-29T00:13:27.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,3,0,2022-10-29T00:13:27Z,150000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-10-29T00:13:40.0Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,3,0,2022-10-29T00:13:47Z,160000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 201572]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Lopez,201572.0,,,,,,,,,,,
17,PT11M04.00S,2022-10-29T00:13:40.0Z,1,REGULAR,steal,,[],201572,,,1610612749,3,0,2022-10-29T00:13:42Z,170000,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2022-10-29T00:13:45.4Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612749,3,0,2022-10-29T00:13:54Z,180000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629628, 203507]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,204059.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
20,PT11M01.00S,2022-10-29T00:14:24.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,4,0,2022-10-29T00:14:24Z,200000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
21,PT11M01.00S,2022-10-29T00:14:48.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,5,0,2022-10-29T00:14:48Z,210000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
22,PT10M43.00S,2022-10-29T00:15:09.1Z,1,REGULAR,3pt,Jump Shot,[],203095,64.60249671484888,60.29411764705882,1610612752,5,0,2022-10-29T00:15:20Z,220000,51.0,280.0,1,right,MISS E. Fournier 28' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Center,28.49,Missed,,,,,,,,,,,,,,,,,,
23,PT10M41.00S,2022-10-29T00:15:11.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2022-10-29T00:15:20Z,230000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT10M33.00S,2022-10-29T00:15:19.7Z,1,REGULAR,3pt,Jump Shot,[],201572,30.831143232588698,72.54901960784314,1610612749,5,0,2022-10-29T00:15:26Z,240000,-113.0,237.0,1,left,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
25,PT10M29.00S,2022-10-29T00:15:23.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,0,2022-10-29T00:15:23Z,250000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,
26,PT10M24.00S,2022-10-29T00:15:28.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203095,89.30683311432325,74.26470588235294,1610612752,5,0,2022-10-29T00:16:09Z,260000,121.0,48.0,1,right,MISS E. Fournier 13' turnaround fadeaway bank Shot,[203095],1610612752.0,NYK,turnaround fadeaway bank,,,Fournier,E. Fournier,,,,,Mid-Range,8-16 Right,13.05,Missed,,,,,,,,,,,,,,,,,,
27,PT10M22.00S,2022-10-29T00:15:30.2Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,5,0,2022-10-29T00:15:39Z,270000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
