actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
683,PT04M07.00S,2023-03-23T02:07:35.9Z,4,REGULAR,3pt,Jump Shot,[],1626192,67.36202365308804,68.38235294117648,1610612749,120,87,2023-03-23T02:07:41Z,6720000,False,92.0,254.0,1,right,MISS P. Connaughton 27' 3PT,[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,27.04,Missed,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,
684,PT04M03.00S,2023-03-23T02:07:39.9Z,4,REGULAR,rebound,defensive,[],1631104,,,1610612759,120,87,2023-03-23T02:07:41Z,6730000,False,,,0,,B. Wesley REBOUND (Off:1 Def:4),[1631104],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Wesley,B. Wesley,,,,683.0,5.0,4.0,1.0,,,,,,,,,,,
685,PT04M02.00S,2023-03-23T02:07:40.1Z,4,REGULAR,turnover,bad pass,[],1631104,,,1610612759,120,87,2023-03-23T02:07:46Z,6740000,False,,,0,,B. Wesley bad pass TURNOVER (2 TO),"[1631104, 1626192]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Wesley,B. Wesley,,,,,,,,,2.0,Connaughton,1626192.0,,,,,,,
686,PT04M02.00S,2023-03-23T02:07:40.1Z,4,REGULAR,steal,,[],1626192,,,1610612749,120,87,2023-03-23T02:07:42Z,6750000,False,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,
687,PT03M48.00S,2023-03-23T02:07:54.9Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1626192,67.23061760840999,71.81372549019608,1610612749,120,87,2023-03-23T02:07:59Z,6760000,False,109.0,256.0,1,right,MISS P. Connaughton 27' 3PT,[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,27.78,Missed,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,
688,PT03M45.00S,2023-03-23T02:07:57.9Z,4,REGULAR,rebound,defensive,[],1630572,,,1610612759,120,87,2023-03-23T02:07:59Z,6770000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:6),[1630572],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Mamukelashvili,S. Mamukelashvili,,,,687.0,6.0,6.0,0.0,,,,,,,,,,,
689,PT03M36.00S,2023-03-23T02:08:06.4Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631104,15.719448094612352,40.931372549019606,1610612759,120,87,2023-03-23T02:08:13Z,6780000,False,45.0,95.0,1,left,MISS B. Wesley 10' driving floating Shot,[1631104],1610612759.0,SAS,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.55,Missed,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,
690,PT03M34.00S,2023-03-23T02:08:08.4Z,4,REGULAR,rebound,offensive,[],1631230,,,1610612759,120,87,2023-03-23T02:18:17Z,6790000,False,,,0,,D. Barlow REBOUND (Off:1 Def:0),[1631230],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Barlow,D. Barlow,,,,689.0,1.0,0.0,1.0,,,,,,,,,,,
691,PT03M31.00S,2023-03-23T02:08:11.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630572,6.258212877792378,50.245098039215684,1610612759,120,89,2023-03-23T02:08:16Z,6800000,False,-1.0,6.0,1,left,S. Mamukelashvili driving finger roll Layup (10 PTS) (B. Wesley 5 AST),"[1630572, 1631104]",1610612759.0,SAS,driving finger roll,,,,,,Restricted Area,0-8 Center,0.64,Made,10.0,Mamukelashvili,S. Mamukelashvili,B. Wesley,1631104.0,5.0,,,,,,,,,,,,,,,
693,PT03M15.00S,2023-03-23T02:08:27.0Z,4,REGULAR,turnover,bad pass,[],1629623,,,1610612749,120,89,2023-03-23T02:08:32Z,6820000,False,,,0,,L. Wigginton bad pass TURNOVER (1 TO),"[1629623, 1631230]",1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Wigginton,L. Wigginton,,,,,,,,,1.0,Barlow,1631230.0,,,,,,,
694,PT03M15.00S,2023-03-23T02:08:27.0Z,4,REGULAR,steal,,[],1631230,,,1610612759,120,89,2023-03-23T02:18:50Z,6830000,False,,,0,,D. Barlow STEAL (1 STL),[1631230],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,
695,PT03M07.00S,2023-03-23T02:08:35.2Z,4,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630577,6.652431011826544,3.9215686274509802,1610612759,120,89,2023-03-23T02:08:43Z,6840000,False,230.0,10.0,1,left,MISS J. Champagnie running 3PT,[1630577],1610612759.0,SAS,running,,,,,,Right Corner 3,24+ Right,23.06,Missed,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,
696,PT03M04.00S,2023-03-23T02:08:38.2Z,4,REGULAR,rebound,defensive,[],1630699,,,1610612749,120,89,2023-03-23T02:08:43Z,6850000,False,,,0,,M. Beauchamp REBOUND (Off:0 Def:2),[1630699],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Beauchamp,M. Beauchamp,,,,695.0,2.0,2.0,0.0,,,,,,,,,,,
697,PT02M56.00S,2023-03-23T02:08:46.3Z,4,REGULAR,3pt,Jump Shot,[],1630699,67.09921156373193,71.32352941176471,1610612749,123,89,2023-03-23T02:08:51Z,6860000,False,107.0,257.0,1,right,M. Beauchamp 27' 3PT pullup (4 PTS),[1630699],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Right Center,27.8,Made,4.0,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
698,PT02M44.00S,2023-03-23T02:09:00.8Z,4,REGULAR,foul,personal,['2freethrow'],202083,,,1610612759,123,89,2023-03-23T02:09:29Z,6870000,False,,,0,,W. Matthews shooting personal FOUL (1 PF) (Dieng 2 FT),"[202083, 203476]",1610612749.0,MIL,shooting,,,,,,Restricted Area,0-8 Center,,,,Matthews,W. Matthews,,,,,,,,200833.0,,,,,,,1.0,0.0,Dieng,203476.0
700,PT02M44.00S,2023-03-23T02:09:31.0Z,4,REGULAR,freethrow,1 of 2,[],203476,,,1610612759,123,90,2023-03-23T02:09:48Z,6890000,False,,,0,,G. Dieng Free Throw 1 of 2 (7 PTS),[203476],1610612759.0,SAS,,,,,,,,,,Made,7.0,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,
701,PT02M44.00S,2023-03-23T02:09:31.0Z,4,REGULAR,freethrow,2 of 2,[],203476,,,1610612759,123,90,2023-03-23T02:09:48Z,6900000,False,,,0,,MISS G. Dieng Free Throw 2 of 2,[203476],1610612759.0,SAS,,,,,,,,,,Missed,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,
702,PT02M41.00S,2023-03-23T02:09:34.0Z,4,REGULAR,rebound,defensive,[],1626192,,,1610612749,123,90,2023-03-23T02:09:48Z,6910000,False,,,0,,P. Connaughton REBOUND (Off:3 Def:5),[1626192],1610612749.0,MIL,,,,,,,,,,,,Connaughton,P. Connaughton,,,,701.0,8.0,5.0,3.0,,,,,,,,,,,
703,PT02M24.00S,2023-03-23T02:10:04.2Z,4,REGULAR,2pt,Jump Shot,[],1630699,74.63863337713535,23.307291666666664,1610612749,125,90,2023-03-23T02:18:08Z,6920000,False,-133.0,186.0,1,right,M. Beauchamp 22' step back Jump Shot (6 PTS),[1630699],1610612749.0,MIL,step back,,,,,,Mid-Range,16-24 Left Center,22.89,Made,6.0,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,
704,PT02M16.00S,2023-03-23T02:10:16.1Z,4,REGULAR,foul,personal,[],202083,,,1610612759,125,90,2023-03-23T02:10:25Z,6930000,False,,,0,,W. Matthews personal FOUL (2 PF),"[202083, 203476]",1610612749.0,MIL,,,,,,,Mid-Range,8-16 Left,,,,Matthews,W. Matthews,,,,,,,,200833.0,,,,,,,2.0,0.0,Dieng,203476.0
706,PT02M00.00S,2023-03-23T02:10:49.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,5.601182654402102,57.84313725490197,1610612759,125,90,2023-03-23T02:13:25Z,6950000,False,-39.0,0.0,1,left,MISS B. Wesley driving Layup,[1631104],1610612759.0,SAS,driving,,,,,,Restricted Area,0-8 Center,3.92,Missed,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,
707,PT01M56.00S,2023-03-23T02:10:53.7Z,4,REGULAR,rebound,offensive,[],1630572,,,1610612759,125,90,2023-03-23T02:10:55Z,6960000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:6),[1630572],1610612759.0,SAS,,,,,,,Restricted Area,0-8 Center,,,,Mamukelashvili,S. Mamukelashvili,,,,706.0,7.0,6.0,1.0,,,,,,,,,,,
708,PT01M56.00S,2023-03-23T02:10:54.2Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630572,5.590000152587891,50.0,1610612759,125,92,2023-03-23T02:10:54Z,6970000,False,0.0,0.0,1,left,S. Mamukelashvili tip Layup (12 PTS),[1630572],1610612759.0,SAS,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,12.0,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,
709,PT01M49.00S,2023-03-23T02:11:02.8Z,4,REGULAR,2pt,Jump Shot,[],1628975,82.9993429697766,25.0,1610612749,127,92,2023-03-23T02:11:09Z,6980000,False,-125.0,107.0,1,right,J. Carter 16' fadeaway Jump Shot (4 PTS),[1628975],1610612749.0,MIL,fadeaway,,,,,,Mid-Range,16-24 Left Center,16.47,Made,4.0,Carter,J. Carter,,,,,,,,,,,,,,,,,,
711,PT01M37.00S,2023-03-23T02:11:54.1Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1631230,9.411957950065702,50.49019607843137,1610612759,127,94,2023-03-23T02:13:05Z,7005000,False,-2.0,36.0,1,left,D. Barlow cutting DUNK (2 PTS) (B. Wesley 6 AST),"[1631230, 1631104]",1610612759.0,SAS,cutting,,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,Barlow,D. Barlow,B. Wesley,1631104.0,6.0,,,,,,,,,,,,,,,
713,PT01M24.00S,2023-03-23T02:11:59.6Z,4,REGULAR,3pt,Jump Shot,[],1626192,73.53810775295663,7.107843137254902,1610612749,127,94,2023-03-23T02:12:09Z,7020000,False,-214.0,196.0,1,right,MISS P. Connaughton 29' 3PT,[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,29.07,Missed,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,
714,PT01M24.00S,2023-03-23T02:12:02.6Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612749,127,94,2023-03-23T02:12:02Z,7030000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,713.0,,,,,,,,,,,,,,
715,PT01M16.00S,2023-03-23T02:12:26.7Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1628975,70.64717477003943,13.970588235294118,1610612749,127,94,2023-03-23T02:15:02Z,7060000,False,-180.0,223.0,1,right,MISS J. Carter 28' pullup 3PT,[1628975],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Left Center,28.7,Missed,,Carter,J. Carter,,,,,,,,,,,,,,,,,,
716,PT01M13.00S,2023-03-23T02:12:29.2Z,4,REGULAR,rebound,offensive,[],202083,,,1610612749,127,94,2023-03-23T02:12:29Z,7070000,False,,,0,,W. Matthews REBOUND (Off:1 Def:3),[202083],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Matthews,W. Matthews,,,,715.0,4.0,3.0,1.0,,,,,,,,,,,
717,PT01M10.00S,2023-03-23T02:12:31.4Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1629623,70.51576872536137,72.05882352941177,1610612749,127,94,2023-03-23T02:12:43Z,7080000,False,110.0,225.0,1,right,MISS L. Wigginton 25' 3PT,[1629623],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,25.03,Missed,,Wigginton,L. Wigginton,,,,,,,,,,,,,,,,,,
