actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-01T00:10:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-01T00:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2022-11-01T00:10:27.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-11-01T00:11:33Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612749.0,MIL,203592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-01T00:10:28.6Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-11-01T00:10:28Z,40000,,,0,,Jump Ball B. Lopez vs. I. Stewart: Tip to G. Antetokounmpo,"[203507, 201572, 1630191]",1610612749.0,MIL,,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-01T00:10:43.8Z,1,REGULAR,turnover,bad pass,[],1628960,,,1610612749,0,0,2022-11-01T00:11:10Z,70000,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 1630180]",1610612749.0,MIL,,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Center,1.0,Bey,1630180.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-11-01T00:10:43.8Z,1,REGULAR,steal,,[],1630180,,,1610612765,0,0,2022-11-01T00:10:46Z,80000,,,0,,S. Bey STEAL (1 STL),[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-11-01T00:11:00.5Z,1,REGULAR,foul,offensive,[],1630595,,,1610612765,0,0,2022-11-01T00:12:26Z,90000,,,0,,C. Cunningham offensive FOUL (1 PF),"[1630595, 203507]",1610612765.0,DET,202037.0,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,
12,PT11M33.00S,2022-11-01T00:11:00.5Z,1,REGULAR,turnover,offensive foul,[],1630595,,,1610612765,0,0,2022-11-01T00:11:00Z,110000,,,0,,C. Cunningham offensive foul TURNOVER (1 TO),[1630595],1610612765.0,DET,202037.0,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2022-11-01T00:11:20.0Z,1,REGULAR,foul,personal,[],202711,,,1610612749,0,0,2022-11-01T00:11:37Z,120000,,,0,,B. Bogdanovic personal FOUL (1 PF),"[202711, 203507]",1610612765.0,DET,203592.0,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Center,,,,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,
15,PT11M15.00S,2022-11-01T00:11:41.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,6.389618922470433,50.49019607843137,1610612749,2,0,2022-11-01T00:11:46Z,140000,-2.0,8.0,1,left,J. Holiday driving finger roll Layup (2 PTS),[201950],1610612749.0,MIL,,driving finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,0.8,Made,2.0,,,,,,,,,
16,PT10M59.00S,2022-11-01T00:11:57.8Z,1,REGULAR,3pt,Jump Shot,[],1630191,65.78515111695138,43.627450980392155,1610612765,2,0,2022-11-01T00:12:03Z,150000,-32.0,269.0,1,right,MISS I. Stewart 27' bank 3PT,[1630191],1610612765.0,DET,,bank,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,,,,,,27.1,Missed,,,,,,,,,,
