actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-02-25T00:46:04.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-25T00:46:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-25T00:46:13.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612748,0,0,2023-02-25T00:46:14Z,40000,False,,,0,,Jump Ball B. Adebayo vs. B. Lopez: Tip to Team (MIA),"[1628389, 201572]",1610612748.0,MIA,startperiod,Team (MIA),Adebayo,1628389.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2023-02-25T00:46:42.8Z,1,REGULAR,foul,personal,['2freethrow'],1628975,,,1610612748,0,0,2023-02-25T00:47:10Z,70000,False,,,0,,J. Carter shooting personal FOUL (1 PF) (Herro 2 FT),"[1628975, 1629639]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),8-16 Center,201246.0,1.0,0.0,Carter,J. Carter,Herro,1629639.0,,,,,,,,,,,,,,,,
9,PT11M51.00S,2023-02-25T00:47:11.5Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,0,1,2023-02-25T00:47:31Z,90000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M51.00S,2023-02-25T00:47:11.5Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,0,1,2023-02-25T00:47:31Z,100000,False,,,0,,MISS T. Herro Free Throw 2 of 2,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,Missed,,,,,,,,,,,,,,,
11,PT11M48.00S,2023-02-25T00:47:14.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,1,2023-02-25T00:47:31Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M33.00S,2023-02-25T00:47:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,8.229303547963205,97.05882352941177,1610612749,3,1,2023-02-25T00:48:17Z,120000,False,-235.0,25.0,1,left,G. Allen 3PT pullup (3 PTS),[1628960],1610612749.0,MIL,pullup,,,,,,Left Corner 3,24+ Left,,,,Allen,G. Allen,,,Made,3.0,,,,,23.66,,,,,,,,,
13,PT11M15.00S,2023-02-25T00:48:02.5Z,1,REGULAR,2pt,Jump Shot,[],202710,94.1688567674113,31.61764705882353,1610612748,3,3,2023-02-25T00:48:06Z,130000,False,-92.0,2.0,1,right,J. Butler 9' turnaround Jump Shot (2 PTS) (K. Love 1 AST),"[202710, 201567]",1610612748.0,MIA,turnaround,,,,,,Mid-Range,8-16 Left,,,,Butler,J. Butler,,,Made,2.0,,,,,9.19,K. Love,201567.0,1.0,,,,,,
15,PT11M05.00S,2023-02-25T00:48:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,20.318659658344284,38.23529411764706,1610612749,3,3,2023-02-25T00:48:17Z,150000,False,59.0,138.0,1,left,MISS G. Antetokounmpo 15' pullup Shot,[203507],1610612749.0,MIL,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Antetokounmpo,G. Antetokounmpo,,,Missed,,,,,,15.05,,,,,,,,,
16,PT11M02.00S,2023-02-25T00:48:15.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,3,2023-02-25T00:48:17Z,160000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M51.00S,2023-02-25T00:48:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,85.49605781865965,47.05882352941176,1610612748,3,5,2023-02-25T00:48:33Z,170000,False,-15.0,84.0,1,right,B. Adebayo 8' floating Jump Shot (2 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,,Adebayo,B. Adebayo,,,Made,2.0,,,,,8.51,J. Butler,202710.0,1.0,,,,,,
19,PT10M38.00S,2023-02-25T00:48:39.4Z,1,REGULAR,3pt,Jump Shot,[],1628975,8.360709592641262,3.9215686274509802,1610612749,3,5,2023-02-25T00:48:44Z,190000,False,230.0,26.0,1,left,MISS J. Carter 3PT,[1628975],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,,,,Carter,J. Carter,,,Missed,,,,,,23.19,,,,,,,,,
20,PT10M33.00S,2023-02-25T00:48:44.4Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,3,5,2023-02-25T00:48:44Z,200000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,,,,Love,K. Love,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
