actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-10T01:11:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-10T01:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-03-10T01:11:19.6Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2023-03-10T01:11:19Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Noel: Tip to B. Portis,"[1626171, 201572, 203457]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2023-03-10T01:11:37.4Z,1,REGULAR,2pt,Jump Shot,[],1626171,24.78646517739816,33.33333333333333,1610612749,2,0,2023-03-10T01:11:47Z,70000,False,83.0,180.0,1,left,B. Portis 19' turnaround Jump Shot (2 PTS) (G. Allen 1 AST),"[1626171, 1628960]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right Center,19.88,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-03-10T01:11:55.0Z,1,REGULAR,turnover,out-of-bounds,[],203457,,,1610612751,2,0,2023-03-10T01:12:06Z,90000,False,,,0,,N. Noel bad pass out-of-bounds TURNOVER (1 TO),[203457],1610612751.0,BKN,bad pass,,,Noel,N. Noel,,,,,Mid-Range,16-24 Center,,,,,,,1201.0,1.0,,,,,,,,,,,,
10,PT11M06.00S,2023-03-10T01:12:21.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201572,5.995400788436268,50.49019607843137,1610612749,2,0,2023-03-10T01:12:27Z,100000,False,-2.0,4.0,1,left,MISS B. Lopez alley-oop DUNK,[201572],1610612749.0,MIL,alley-oop,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,0.46,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2023-03-10T01:12:24.5Z,1,REGULAR,rebound,defensive,[],203457,,,1610612751,2,0,2023-03-10T01:12:27Z,110000,False,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612751.0,BKN,,,,Noel,N. Noel,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M55.00S,2023-03-10T01:12:32.6Z,1,REGULAR,2pt,Jump Shot,[],1628969,84.97043363994744,67.64705882352942,1610612751,2,2,2023-03-10T01:14:13Z,120000,False,88.0,89.0,1,right,M. Bridges 12' pullup Jump Shot (2 PTS),[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,12.52,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M47.00S,2023-03-10T01:12:41.3Z,1,REGULAR,3pt,Jump Shot,[],201950,31.35676741130092,69.36274509803921,1610612749,5,2,2023-03-10T01:12:46Z,130000,False,-97.0,242.0,1,left,J. Holiday 26' 3PT pullup (3 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,26.09,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M28.00S,2023-03-10T01:12:59.7Z,1,REGULAR,3pt,Jump Shot,[],1628969,70.51576872536137,72.54901960784314,1610612751,5,5,2023-03-10T01:29:40Z,140000,False,113.0,225.0,1,right,M. Bridges 25' 3PT pullup (5 PTS) (N. Noel 1 AST),"[1628969, 203457]",1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.14,Made,5.0,N. Noel,203457.0,1.0,,,,,,,,,,,,,,
16,PT10M23.00S,2023-03-10T01:13:04.7Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,5,5,2023-03-10T01:14:15Z,160000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1628969]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,,,,,Bridges,1628969.0,,,,,,
