shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-08T01:10:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T01:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:54,4,PT11M54.00S,2022-12-08T01:10:23.8Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-12-08T01:10:23Z,40000,False,,,0,,Jump Ball D. Sabonis vs. B. Lopez: Tip to H. Barnes,"[203084, 1627734, 201572]",40,1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
11:39,7,PT11M39.00S,2022-12-08T01:10:39.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,80.23981603153744,5.88235294117647,1610612758,0,3,2022-12-08T01:10:44Z,70000,False,-221.0,133.0,1,right,D. Fox 25' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",5,1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.77,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
11:26,9,PT11M26.00S,2022-12-08T01:10:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,16.557161629434955,46.38863357843137,1610612749,0,3,2022-12-08T01:11:14Z,90000,False,18.0,103.0,1,left,MISS G. Antetokounmpo 10' floating Shot,[203507],34,1610612749.0,MIL,floating,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,10.47,Missed,,,,,,,,,,,,,,,,,,
11:23,10,PT11M23.00S,2022-12-08T01:10:55.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,3,2022-12-08T01:10:59Z,100000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],40,1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11:18,11,PT11M18.00S,2022-12-08T01:11:01.2Z,1,REGULAR,3pt,Jump Shot,[],203084,76.74113009198423,86.54258578431373,1610612758,0,6,2022-12-08T01:11:14Z,110000,False,183.0,166.0,1,right,H. Barnes 24' 3PT  (3 PTS) (K. Huerter 1 AST),"[203084, 1628989]",40,1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,24.69,Made,3.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
10:58,13,PT10M58.00S,2022-12-08T01:11:20.7Z,1,REGULAR,3pt,Jump Shot,[],201572,34.11629434954008,35.78431372549019,1610612749,0,6,2022-12-08T01:11:25Z,130000,False,71.0,268.0,1,left,MISS B. Lopez 27' 3PT,[201572],11,1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,27.75,Missed,,,,,,,,,,,,,,,,,,
10:55,14,PT10M55.00S,2022-12-08T01:11:23.7Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,6,2022-12-08T01:11:25Z,140000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],13,1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
10:39,15,PT10M39.00S,2022-12-08T01:11:38.8Z,1,REGULAR,2pt,Jump Shot,[],1631099,92.72339027595268,71.32352941176471,1610612758,0,8,2022-12-08T01:12:45Z,150000,False,107.0,16.0,1,right,K. Murray 10' driving floating Jump Shot (2 PTS),[1631099],13,1610612758.0,SAC,driving floating,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,10.78,Made,2.0,,,,,,,,,,,,,,,,,
10:28,16,PT10M28.00S,2022-12-08T01:11:50.3Z,1,REGULAR,3pt,Jump Shot,[],201572,30.17411300919842,15.441176470588236,1610612749,0,8,2022-12-08T01:11:56Z,160000,False,173.0,231.0,1,left,MISS B. Lopez 28' 3PT,[201572],11,1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,28.86,Missed,,,,,,,,,,,,,,,,,,
10:23,17,PT10M23.00S,2022-12-08T01:11:55.3Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,0,8,2022-12-08T01:11:56Z,170000,False,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],22,1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
10:23,18,PT10M23.00S,2022-12-08T01:11:55.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203114,5.590000152587891,50.0,1610612749,2,8,2022-12-08T01:13:12Z,180000,False,0.0,0.0,1,left,K. Middleton putback Layup (2 PTS),[203114],22,1610612749.0,MIL,putback,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
10:13,19,PT10M13.00S,2022-12-08T01:12:05.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,67.88764783180025,71.07843137254902,1610612758,2,8,2022-12-08T01:12:12Z,190000,False,105.0,249.0,1,right,MISS K. Huerter 27' 3PT,[1628989],9,1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,27.08,Missed,,,,,,,,,,,,,,,,,,
10:11,20,PT10M11.00S,2022-12-08T01:12:07.7Z,1,REGULAR,rebound,offensive,[],1628989,,,1610612758,2,8,2022-12-08T01:12:07Z,200000,False,,,0,,K. Huerter REBOUND (Off:1 Def:0),[1628989],9,1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,
10:08,21,PT10M08.00S,2022-12-08T01:12:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628989,94.1688567674113,50.0,1610612758,2,10,2022-12-08T01:13:07Z,210000,False,0.0,2.0,1,right,K. Huerter driving reverse Layup (2 PTS),[1628989],9,1610612758.0,SAC,driving reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,0.23,Made,2.0,,,,,,,,,,,,,,,,,
09:57,22,PT09M57.00S,2022-12-08T01:12:21.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,9.017739816031538,53.67647058823529,1610612749,4,10,2022-12-08T01:12:25Z,220000,False,-18.0,32.0,1,left,G. Antetokounmpo alley-oop DUNK (2 PTS) (K. Middleton 1 AST),"[203507, 203114]",34,1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.72,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
09:37,24,PT09M37.00S,2022-12-08T01:12:41.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,77.34888304862024,39.705882352941174,1610612758,4,10,2022-12-08T01:14:04Z,240000,False,-51.0,160.0,1,right,MISS D. Fox 16' step back Shot,[1628368],5,1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,16.85,Missed,,,,,,,,,,,,,,,,,,
09:37,25,PT09M37.00S,2022-12-08T01:12:41.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,10,2022-12-08T01:12:56Z,250000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
09:23,26,PT09M23.00S,2022-12-08T01:12:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.835085413929041,52.69607843137255,1610612749,6,10,2022-12-08T01:12:59Z,260000,False,-13.0,21.0,1,left,J. Holiday Layup (2 PTS) (G. Antetokounmpo 1 AST),"[201950, 203507]",21,1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.5,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
09:10,28,PT09M10.00S,2022-12-08T01:13:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,85.10183968462549,37.99019607843137,1610612758,6,10,2022-12-08T01:14:41Z,280000,False,-60.0,88.0,1,right,MISS K. Huerter 10' driving floating Shot,[1628989],9,1610612758.0,SAC,driving floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Left,10.61,Missed,,,,,,,,,,,,,,,,,,
09:08,29,PT09M08.00S,2022-12-08T01:13:09.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,10,2022-12-08T01:13:13Z,290000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,
09:05,30,PT09M05.00S,2022-12-08T01:13:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612749,6,10,2022-12-08T01:13:28Z,300000,False,,,0,,D. Fox shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628368, 203507]",5,1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,2882.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
09:05,32,PT09M05.00S,2022-12-08T01:13:55.5Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,7,10,2022-12-08T01:14:25Z,320000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],34,1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
