actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-28T01:10:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-28T01:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-28T01:11:01.3Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-11-28T01:11:01Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Powell: Tip to G. Antetokounmpo,"[203507, 201572, 203939]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-28T01:11:18.6Z,1,REGULAR,2pt,Jump Shot,[],1628975,23.340998685939553,35.294117647058826,1610612749,2,0,2022-11-28T01:11:23Z,70000,False,74.0,167.0,1,left,J. Carter 18' pullup Jump Shot (2 PTS),[1628975],1610612749.0,MIL,pullup,,,Carter,J. Carter,,,,,Mid-Range,16-24 Right Center,18.24,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-11-28T01:11:35.2Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,2,0,2022-11-28T01:11:42Z,80000,False,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,1627963.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-28T01:11:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,27.414586070959263,79.90196078431373,1610612749,5,0,2022-11-28T01:11:58Z,90000,False,-150.0,205.0,1,left,G. Allen 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.39,Made,3.0,,,J. Holiday,201950.0,1.0,,,,,,,,,,,,
11,PT11M04.00S,2022-11-28T01:12:06.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.11760840998686,50.245098039215684,1610612742,5,2,2022-11-28T01:12:12Z,110000,False,1.0,12.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,,,L. Doncic,1629029.0,1.0,,,,,,,,,,,,
14,PT10M59.00S,2022-11-28T01:12:11.0Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,5,2,2022-11-28T01:12:42Z,140000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1627827]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Left,,,,,1.0,,,,Finney-Smith,1627827.0,,,,,,,,,,
15,PT10M59.00S,2022-11-28T01:12:11.0Z,1,REGULAR,steal,,[],1627827,,,1610612742,5,2,2022-11-28T01:12:17Z,150000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-11-28T01:12:21.3Z,1,REGULAR,foul,personal,[],201572,,,1610612742,5,2,2022-11-28T01:12:34Z,160000,False,,,0,,B. Lopez personal FOUL (1 PF),"[201572, 203939]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,1162.0,,,,,,,1.0,0.0,Powell,203939.0,,,,,,
18,PT10M47.00S,2022-11-28T01:12:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203915,95.87713534822602,95.58823529411765,1610612742,5,5,2022-11-28T01:12:49Z,180000,False,228.0,-14.0,1,right,S. Dinwiddie 3PT  (3 PTS) (L. Doncic 2 AST),"[203915, 1629029]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,22.83,Made,3.0,,,L. Doncic,1629029.0,2.0,,,,,,,,,,,,
20,PT10M34.00S,2022-11-28T01:12:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.440867279894875,50.73529411764706,1610612749,7,5,2022-11-28T01:13:01Z,200000,False,-4.0,17.0,1,left,J. Holiday driving Layup (2 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2022-11-28T01:13:06.6Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612742,7,5,2022-11-28T01:13:13Z,210000,False,,,0,,S. Dinwiddie bad pass TURNOVER (1 TO),"[203915, 1628975]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,1.0,,,,Carter,1628975.0,,,,,,,,,,
22,PT10M25.00S,2022-11-28T01:13:06.6Z,1,REGULAR,steal,,[],1628975,,,1610612749,7,5,2022-11-28T01:13:10Z,220000,False,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2022-11-28T01:13:12.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628975,32.270450065703024,45.71844362745098,1610612749,10,5,2022-11-28T01:14:10Z,230000,False,21.0,251.0,1,left,J. Carter 25' 3PT running pullup (5 PTS),[1628975],1610612749.0,MIL,running pullup,,,Carter,J. Carter,,,,,Above the Break 3,24+ Center,25.17,Made,5.0,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2022-11-28T01:13:32.1Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612742,10,5,2022-11-28T01:13:53Z,240000,False,,,0,,B. Lopez shooting personal FOUL (2 PF) (Powell 2 FT),"[201572, 203939]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,,,,,,,2.0,0.0,Powell,203939.0,,,,,,
26,PT10M04.00S,2022-11-28T01:13:59.5Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,10,5,2022-11-28T01:13:59Z,260000,False,,,0,,MISS D. Powell Free Throw 1 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-11-28T01:13:59.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,10,5,2022-11-28T01:13:59Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,
28,PT10M04.00S,2022-11-28T01:14:02.7Z,1,REGULAR,substitution,out,[],201572,,,1610612742,10,5,2022-11-28T01:14:07Z,280000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M04.00S,2022-11-28T01:14:02.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612742,10,5,2022-11-28T01:14:07Z,290000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M04.00S,2022-11-28T01:13:59.5Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,10,5,2022-11-28T01:14:41Z,300000,False,,,0,,MISS D. Powell Free Throw 2 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT10M01.00S,2022-11-28T01:14:02.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,10,5,2022-11-28T01:14:41Z,310000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M49.00S,2022-11-28T01:14:38.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,32.40801576872536,66.42156862745098,1610612749,13,5,2022-11-28T01:14:44Z,320000,False,-82.0,252.0,1,left,G. Allen 26' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,26.51,Made,6.0,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,
34,PT09M39.00S,2022-11-28T01:14:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,91.67214191852825,55.14705882352941,1610612742,13,5,2022-11-28T01:14:54Z,340000,False,26.0,26.0,1,right,MISS T. Hardaway Jr. driving Layup - blocked,"[203501, 1628960]",1610612742.0,DAL,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,3.64,Missed,,,,,,,,,,,,,,,,,Allen,1628960.0
35,PT09M39.00S,2022-11-28T01:14:48.9Z,1,REGULAR,block,,[],1628960,,,1610612742,13,5,2022-11-28T01:14:51Z,350000,False,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M36.00S,2022-11-28T01:14:51.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,13,5,2022-11-28T01:16:02Z,360000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
37,PT09M33.00S,2022-11-28T01:14:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,7.966491458607096,50.0,1610612749,15,5,2022-11-28T01:15:00Z,370000,False,0.0,22.0,1,left,G. Antetokounmpo running Layup (2 PTS) (J. Carter 1 AST),"[203507, 1628975]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,,,J. Carter,1628975.0,1.0,,,,,,,,,,,,
39,PT09M33.00S,2022-11-28T01:15:02.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,15,5,2022-11-28T01:15:02Z,390000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M19.00S,2022-11-28T01:18:09.4Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,15,5,2022-11-28T01:18:18Z,400000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 201950]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,2.0,,,,Holiday,201950.0,,,,,,,,,,
41,PT09M19.00S,2022-11-28T01:18:09.4Z,1,REGULAR,steal,,[],201950,,,1610612749,15,5,2022-11-28T01:18:12Z,410000,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M12.00S,2022-11-28T01:18:16.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201950,33.065045992115635,65.19607843137256,1610612749,18,5,2022-11-28T01:18:22Z,420000,False,-76.0,258.0,1,left,J. Holiday 26' 3PT running (5 PTS) (J. Carter 2 AST),"[201950, 1628975]",1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.92,Made,5.0,,,J. Carter,1628975.0,2.0,,,,,,,,,,,,
44,PT08M55.00S,2022-11-28T01:18:34.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627827,94.03745072273325,49.50980392156863,1610612742,18,7,2022-11-28T01:18:39Z,440000,False,-2.0,4.0,1,right,D. Finney-Smith driving DUNK (2 PTS) (L. Doncic 3 AST),"[1627827, 1629029]",1610612742.0,DAL,driving,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.43,Made,2.0,,,L. Doncic,1629029.0,3.0,,,,,,,,,,,,
46,PT08M37.00S,2022-11-28T01:18:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,15.062417871222076,55.88235294117647,1610612749,18,7,2022-11-28T01:18:59Z,460000,False,-29.0,89.0,1,left,MISS B. Portis 9' turnaround Shot - blocked,"[1626171, 203939]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,9.38,Missed,,,,,,,,,,,,,,,,,Powell,203939.0
47,PT08M37.00S,2022-11-28T01:18:53.9Z,1,REGULAR,block,,[],203939,,,1610612749,18,7,2022-11-28T01:18:57Z,470000,False,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M37.00S,2022-11-28T01:18:53.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,18,7,2022-11-28T01:18:59Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,46.0,,,,,
50,PT08M33.00S,2022-11-28T01:19:13.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203507,9.411957950065702,45.34313725490196,1610612749,18,7,2022-11-28T01:19:18Z,500000,False,23.0,36.0,1,left,MISS G. Antetokounmpo alley-oop DUNK,[203507],1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
51,PT08M30.00S,2022-11-28T01:19:16.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,18,7,2022-11-28T01:19:18Z,510000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,
52,PT08M24.00S,2022-11-28T01:19:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,65.78515111695138,47.549019607843135,1610612742,18,10,2022-11-28T01:19:26Z,520000,False,-12.0,269.0,1,right,L. Doncic 26' 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[1629029, 1627827]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.94,Made,3.0,,,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,
54,PT08M10.00S,2022-11-28T01:19:35.7Z,1,REGULAR,3pt,Jump Shot,[],201950,31.882391590013142,32.1078431372549,1610612749,18,10,2022-11-28T01:19:42Z,540000,False,89.0,247.0,1,left,MISS J. Holiday 26' pullup 3PT,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
55,PT08M08.00S,2022-11-28T01:19:37.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,18,10,2022-11-28T01:19:42Z,550000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,54.0,2.0,2.0,0.0,,
56,PT07M57.00S,2022-11-28T01:19:48.9Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612742,18,10,2022-11-28T01:19:55Z,560000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (1 TO),"[203501, 203507]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,,Antetokounmpo,203507.0,,,,,,,,,,
