actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-23T00:14:44.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T00:14:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-23T00:14:47.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-10-23T00:14:47Z,40000,,,0,,Jump Ball B. Lopez vs. U. Garuba: Tip to G. Antetokounmpo,"[203507, 201572, 1630586]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Garuba,1630586.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-23T00:14:59.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,24.26084099868594,87.99019607843137,1610612749,0,0,2022-10-23T00:15:07Z,70000,-190.0,176.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-23T00:15:03.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2022-10-23T00:15:07Z,80000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-10-23T00:15:18.4Z,1,REGULAR,turnover,bad pass,[],1630586,,,1610612745,0,0,2022-10-23T00:15:27Z,90000,,,0,,U. Garuba bad pass TURNOVER (1 TO),"[1630586, 1628975]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Carter,1628975.0,,,,,,,,,,,
10,PT11M25.00S,2022-10-23T00:15:18.4Z,1,REGULAR,steal,,[],1628975,,,1610612749,0,0,2022-10-23T00:15:20Z,100000,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-10-23T00:15:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201950,8.360709592641262,53.67647058823529,1610612749,2,0,2022-10-23T00:15:35Z,110000,-18.0,26.0,1,left,J. Holiday running Layup (2 PTS),[201950],1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M03.00S,2022-10-23T00:15:40.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.9257555847569,50.0,1610612745,2,0,2022-10-23T00:15:45Z,120000,0.0,146.0,1,right,MISS J. Green 14' driving floating Shot,[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,Mid-Range,8-16 Center,14.56,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-10-23T00:15:42.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2022-10-23T00:15:42Z,130000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M56.00S,2022-10-23T00:15:47.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628975,8.623521681997373,96.07843137254902,1610612749,2,0,2022-10-23T00:15:54Z,140000,-230.0,29.0,1,left,MISS J. Carter running 3PT,[1628975],1610612749.0,MIL,running,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2022-10-23T00:15:50.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2022-10-23T00:15:50Z,150000,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M50.00S,2022-10-23T00:15:55.2Z,1,REGULAR,turnover,out-of-bounds,[],1630231,,,1610612745,2,0,2022-10-23T00:16:04Z,160000,,,0,,K. Martin Jr. lost ball out-of-bounds TURNOVER (1 TO),[1630231],1610612745.0,HOU,lost ball,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,,,,202041.0,,,,,,,,,
17,PT10M31.00S,2022-10-23T00:16:20.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,16.245072273324574,4.166666666666666,1610612749,5,0,2022-10-23T00:16:26Z,170000,229.0,100.0,1,left,J. Holiday 25' 3PT  (5 PTS) (G. Allen 1 AST),"[201950, 1628960]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.01,Made,,,,,,,,5.0,,G. Allen,1628960.0,1.0,,,,,,
19,PT10M19.00S,2022-10-23T00:16:32.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,70.90998685939553,21.568627450980394,1610612745,5,0,2022-10-23T00:16:42Z,190000,-142.0,221.0,1,right,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2022-10-23T00:16:36.6Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,5,0,2022-10-23T00:16:42Z,200000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
