actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-03T00:45:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T00:45:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-03T00:46:02.6Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-12-03T00:46:02Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Davis: Tip to G. Antetokounmpo,"[203507, 201572, 203076]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-03T00:46:14.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,91.67214191852825,48.529411764705884,1610612749,0,0,2022-12-03T00:46:22Z,70000,False,-7.0,26.0,1,right,MISS B. Lopez driving Hook,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-12-03T00:46:17.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2022-12-03T00:46:22Z,80000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-12-03T00:46:25.8Z,1,REGULAR,3pt,Jump Shot,[],201976,34.641918528252305,44.11764705882353,1610612747,0,0,2022-12-03T00:46:30Z,90000,False,29.0,273.0,1,left,MISS P. Beverley 27' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-12-03T00:46:28.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-12-03T00:46:30Z,100000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2022-12-03T00:46:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,94.03745072273325,49.01960784313725,1610612749,2,0,2022-12-03T00:46:43Z,110000,False,-5.0,4.0,1,right,G. Allen driving finger roll Layup (2 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,driving finger roll,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
13,PT10M58.00S,2022-12-03T00:47:07.8Z,1,REGULAR,foul,technical,['1freethrow'],203507,,,1610612747,2,0,2022-12-03T00:47:30Z,130000,False,,,0,,G. Antetokounmpo defensive-3-second technical FOUL (1 Tech),[203507],1610612749.0,MIL,defensive-3-second,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,2534.0,0.0,1.0,,,,,,,
14,PT10M58.00S,2022-12-03T00:47:31.2Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,2,1,2022-12-03T00:47:31Z,140000,False,,,0,,A. Davis technical Free Throw 1 of 1 (1 PTS),[203076],1610612747.0,LAL,technical,,,Davis,A. Davis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
15,PT10M52.00S,2022-12-03T00:47:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,19.267411300919843,62.5,1610612747,2,1,2022-12-03T00:47:50Z,150000,False,-62.0,129.0,1,left,MISS A. Davis 14' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,14.3,Missed,,,,,,,,,,,,,,,,,,
