actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-31T01:11:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-31T01:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-12-31T01:11:20.0Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612750,0,0,2022-12-31T01:11:20Z,40000,False,,,0,,Jump Ball N. Reid vs. B. Lopez: Tip to K. Anderson,"[203937, 1629675, 201572]",1610612750.0,MIN,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Reid,1629675.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-12-31T01:11:35.8Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,0,0,2022-12-31T01:11:44Z,70000,False,,,0,,J. McDaniels bad pass out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,bad pass,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,1201.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-12-31T01:11:52.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,33.459264126149804,35.78431372549019,1610612749,3,0,2022-12-31T01:11:57Z,80000,False,71.0,262.0,1,left,G. Allen 27' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,27.15,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,
10,PT11M21.00S,2022-12-31T01:12:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,93.77463863337714,53.18627450980392,1610612750,3,2,2022-12-31T01:12:12Z,100000,False,16.0,6.0,1,right,K. Anderson driving Layup (2 PTS),[203937],1610612750.0,MIN,driving,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,1.7,Made,2.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-12-31T01:12:07.3Z,1,REGULAR,foul,personal,['1freethrow'],1626192,,,1610612750,3,2,2022-12-31T01:12:20Z,110000,False,,,0,,P. Connaughton shooting personal FOUL (1 PF) (Anderson 1 FT),"[1626192, 203937]",1610612749.0,MIL,shooting,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,1201.0,,,,,,,,1.0,0.0,Anderson,203937.0,,,,,,,,
13,PT11M21.00S,2022-12-31T01:12:40.7Z,1,REGULAR,freethrow,1 of 1,[],203937,,,1610612750,3,2,2022-12-31T01:12:45Z,130000,False,,,0,,MISS K. Anderson Free Throw 1 of 1,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
14,PT11M20.00S,2022-12-31T01:12:41.7Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,3,2,2022-12-31T01:16:39Z,140000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,
15,PT11M04.00S,2022-12-31T01:12:53.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,29.911300919842315,75.98039215686273,1610612749,3,2,2022-12-31T01:12:58Z,150000,False,-130.0,229.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,26.3,Missed,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-12-31T01:12:56.2Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,3,2,2022-12-31T01:12:58Z,160000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,
17,PT10M58.00S,2022-12-31T01:13:00.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630183,93.11760840998686,48.77450980392157,1610612750,3,2,2022-12-31T01:13:48Z,170000,False,-6.0,12.0,1,right,MISS J. McDaniels cutting Layup - blocked,"[1630183, 203507]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,1.36,Missed,,,,,,,,,,,,,Antetokounmpo,203507.0,,
18,PT10M58.00S,2022-12-31T01:13:00.0Z,1,REGULAR,block,,[],203507,,,1610612750,3,2,2022-12-31T01:13:02Z,180000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2022-12-31T01:13:03.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,3,2,2022-12-31T01:13:12Z,190000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,
20,PT10M51.00S,2022-12-31T01:13:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,8.754927726675426,51.71568627450981,1610612749,5,2,2022-12-31T01:13:19Z,200000,False,-9.0,30.0,1,left,G. Antetokounmpo running finger roll Layup (2 PTS),[203507],1610612749.0,MIL,running finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,3.1,Made,2.0,,,,,,,,,,,,,,,
21,PT10M34.00S,2022-12-31T01:13:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,89.43823915900131,64.95098039215686,1610612750,5,2,2022-12-31T01:13:29Z,210000,False,75.0,47.0,1,right,MISS A. Edwards 8' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Right,,,8.82,Missed,,,,,,,,,,,,,,,,
