actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-03T00:11:03.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T00:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2022-11-03T00:11:10.5Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2022-11-03T00:11:10Z,40000,,,0,,Jump Ball J. Ivey vs. B. Lopez: Tip to J. Ivey,"[1631093, 1631093, 201572]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Ivey,1631093.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-03T00:11:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.9993429697766,65.44117647058823,1610612765,0,0,2022-11-03T00:11:24Z,70000,77.0,107.0,1,right,MISS C. Cunningham 13' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Right,13.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-03T00:11:21.1Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2022-11-03T00:11:24Z,80000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2022-11-03T00:11:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.178055190538765,47.05882352941176,1610612749,0,0,2022-11-03T00:12:26Z,90000,15.0,15.0,1,left,MISS G. Antetokounmpo driving finger roll Layup,[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-03T00:11:28.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,0,2022-11-03T00:11:46Z,100000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M34.00S,2022-11-03T00:11:50.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'defensivegoaltending']",203507,5.590000152587891,50.0,1610612749,2,0,2022-11-03T00:12:04Z,110000,0.0,0.0,1,left,G. Antetokounmpo tip Layup (2 PTS),[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M34.00S,2022-11-03T00:11:54.1Z,1,REGULAR,violation,defensive goaltending,[],1630191,,,1610612749,2,0,2022-11-03T00:12:04Z,120000,,,0,,I. Stewart defensive goaltending VIOLATION,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,1626302.0,,,,,,,,,,,,
13,PT11M34.00S,2022-11-03T00:12:01.8Z,1,REGULAR,foul,personal,['1freethrow'],1630595,,,1610612749,2,0,2022-11-03T00:13:19Z,130000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630595, 203507]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
15,PT11M34.00S,2022-11-03T00:12:16.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203507,,,1610612749,3,0,2022-11-03T00:12:16Z,150000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
16,PT11M20.00S,2022-11-03T00:12:25.6Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,3,0,2022-11-03T00:12:35Z,160000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1628975]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Carter,1628975.0,,,,,
17,PT11M20.00S,2022-11-03T00:12:25.6Z,1,REGULAR,steal,,[],1628975,,,1610612749,3,0,2022-11-03T00:12:29Z,170000,,,0,,J. Carter STEAL (1 STL),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M13.00S,2022-11-03T00:12:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,6.915243101182654,46.07843137254902,1610612749,5,0,2022-11-03T00:12:40Z,180000,20.0,13.0,1,left,G. Antetokounmpo running Layup (5 PTS) (J. Carter 1 AST),"[203507, 1628975]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.32,Made,,,,,5.0,,,,,,,,,J. Carter,1628975.0,1.0,,
20,PT10M47.00S,2022-11-03T00:12:58.0Z,1,REGULAR,2pt,Jump Shot,[],202711,89.56964520367937,24.019607843137255,1610612765,5,2,2022-11-03T00:13:03Z,200000,-130.0,46.0,1,right,B. Bogdanovic 13' turnaround fadeaway Jump Shot (2 PTS),[202711],1610612765.0,DET,turnaround fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,13.76,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M19.00S,2022-11-03T00:13:25.5Z,1,REGULAR,2pt,Jump Shot,[],203507,3.4986859395532193,24.019607843137255,1610612749,5,2,2022-11-03T00:13:32Z,210000,130.0,-20.0,1,left,MISS G. Antetokounmpo 13' turnaround fadeaway Shot,[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,13.14,Missed,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2022-11-03T00:13:30.5Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,5,2,2022-11-03T00:15:40Z,220000,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT10M09.00S,2022-11-03T00:13:36.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201572,12.959921156373195,67.15686274509804,1610612749,7,2,2022-11-03T00:13:41Z,230000,-86.0,69.0,1,left,B. Lopez 11' turnaround fadeaway Jump Shot (2 PTS),[201572],1610612749.0,MIL,turnaround fadeaway,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,11.03,Made,,,,,2.0,,,,,,,,,,,,,
24,PT09M52.00S,2022-11-03T00:13:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,92.72339027595268,47.05882352941176,1610612765,7,4,2022-11-03T00:13:58Z,240000,-15.0,16.0,1,right,I. Stewart cutting Layup (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,2.0,,,,,,,,,C. Cunningham,1630595.0,1.0,,
26,PT09M45.00S,2022-11-03T00:14:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,5.863994743758213,54.166666666666664,1610612749,7,4,2022-11-03T00:17:33Z,260000,-21.0,3.0,1,left,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2022-11-03T00:14:02.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,7,4,2022-11-03T00:17:33Z,270000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,26.0,2.0,0.0,2.0,,,,,,,,,,,,,,
28,PT09M44.00S,2022-11-03T00:14:07.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203507,5.590000152587891,50.0,1610612749,9,4,2022-11-03T00:17:41Z,280000,0.0,0.0,1,left,G. Antetokounmpo tip Layup (7 PTS),[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,7.0,,,,,,,,,,,,,
29,PT09M29.00S,2022-11-03T00:14:15.1Z,1,REGULAR,3pt,Jump Shot,[],1630595,66.5735873850197,47.794117647058826,1610612765,9,4,2022-11-03T00:14:23Z,290000,-11.0,262.0,1,right,MISS C. Cunningham 26' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,26.19,Missed,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2022-11-03T00:14:18.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,9,4,2022-11-03T00:14:23Z,300000,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,29.0,3.0,1.0,2.0,,,,,,,,,,,,,,
31,PT09M22.00S,2022-11-03T00:14:23.2Z,1,REGULAR,3pt,Jump Shot,[],203507,34.247700394218136,46.07843137254902,1610612749,9,4,2022-11-03T00:14:36Z,310000,20.0,269.0,1,left,MISS G. Antetokounmpo 27' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,27.01,Missed,,,,,,,,,,,,,,,,,,
32,PT09M18.00S,2022-11-03T00:14:27.2Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,9,4,2022-11-03T00:14:27Z,320000,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
33,PT09M14.00S,2022-11-03T00:14:31.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201950,21.895532194480946,59.55882352941176,1610612749,11,4,2022-11-03T00:14:40Z,330000,-48.0,153.0,1,left,J. Holiday 16' step back Jump Shot (2 PTS) (B. Lopez 1 AST),"[201950, 201572]",1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,16.06,Made,,,,,2.0,,,,,,,,,B. Lopez,201572.0,1.0,,
34,PT09M02.00S,2022-11-03T00:14:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,92.85479632063075,47.794117647058826,1610612765,11,4,2022-11-03T00:14:51Z,340000,-11.0,15.0,1,right,MISS J. Ivey driving Layup,[1631093],1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2022-11-03T00:14:47.8Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,11,4,2022-11-03T00:14:51Z,360000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M53.00S,2022-11-03T00:14:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628975,2.7102496714848883,95.83333333333334,1610612749,11,4,2022-11-03T00:14:58Z,370000,-229.0,-27.0,1,left,MISS J. Carter 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Left Corner 3,24+ Left,23.08,Missed,,,,,,,,,,,,,,,,,,
38,PT08M49.00S,2022-11-03T00:14:56.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,11,4,2022-11-03T00:14:58Z,380000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M38.00S,2022-11-03T00:15:08.5Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612765,11,4,2022-11-03T00:15:23Z,390000,,,0,,B. Lopez shooting personal FOUL (1 PF) (Stewart 2 FT),"[201572, 1630191]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Stewart,1630191.0,,,,,,,,
