actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-26T18:10:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-26T18:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-26T18:11:04.1Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612749,0,0,2023-02-26T18:11:04Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Ayton: Tip to J. Holiday,"[201950, 201572, 1629028]",1610612749.0,MIL,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Lopez,201572.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2023-02-26T18:11:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,93.38042049934296,47.30392156862745,1610612749,2,0,2023-02-26T18:11:37Z,80000,False,-13.0,10.0,1,right,B. Portis cutting Layup (2 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,cutting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
10,PT11M29.00S,2023-02-26T18:11:53.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,31.882391590013142,68.87254901960785,1610612756,2,0,2023-02-26T18:12:20Z,100000,False,-94.0,247.0,1,left,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.46,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2023-02-26T18:11:56.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,2,0,2023-02-26T18:11:58Z,110000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M14.00S,2023-02-26T18:12:07.7Z,1,REGULAR,2pt,Jump Shot,[],1626171,78.66294349540078,36.029411764705884,1610612749,4,0,2023-02-26T18:12:11Z,120000,False,-70.0,148.0,1,right,B. Portis 16' turnaround fadeaway Jump Shot (4 PTS),[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,16.38,Made,4.0,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2023-02-26T18:12:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,19.44809461235217,47.05499387254902,1610612756,4,2,2023-02-26T18:12:42Z,130000,False,15.0,130.0,1,left,D. Ayton 13' pullup Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,pullup,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,13.11,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
15,PT10M35.00S,2023-02-26T18:12:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.06636005256242,56.127450980392155,1610612749,4,2,2023-02-26T18:12:54Z,150000,False,31.0,22.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2023-02-26T18:12:50.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,2,2023-02-26T18:12:54Z,160000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M24.00S,2023-02-26T18:13:00.5Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,4,2,2023-02-26T18:13:09Z,170000,False,,,0,,D. Booker lost ball out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,lost ball,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,202058.0,1.0,,,,,,,,
18,PT10M11.00S,2023-02-26T18:13:18.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201950,84.70762155059133,43.872549019607845,1610612749,4,2,2023-02-26T18:13:56Z,180000,False,-31.0,91.0,1,right,MISS J. Holiday 9' pullup Shot,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,9.62,Missed,,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2023-02-26T18:13:21.2Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,4,2,2023-02-26T18:13:21Z,190000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M06.00S,2023-02-26T18:13:24.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,14.536793692509855,30.637254901960787,1610612756,4,2,2023-02-26T18:13:33Z,200000,False,97.0,84.0,1,left,MISS D. Booker 12' running pullup Shot,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,12.82,Missed,,,,,,,,,,,,,,,,,,
21,PT10M03.00S,2023-02-26T18:13:27.2Z,1,REGULAR,rebound,offensive,[],1629006,,,1610612756,4,2,2023-02-26T18:13:27Z,210000,False,,,0,,J. Okogie REBOUND (Off:1 Def:0),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Mid-Range,8-16 Right,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,
