actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-10-30T00:10:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T00:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-30T00:10:21.6Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-10-30T00:10:21Z,40000,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-30T00:10:33.8Z,1,REGULAR,3pt,Jump Shot,[],201950,31.09395532194481,30.88235294117647,1610612749,0,0,2022-10-30T00:10:39Z,70000,96.0,240.0,1,left,MISS J. Holiday 25' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-30T00:10:37.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,0,2022-10-30T00:10:37Z,80000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-10-30T00:10:43.5Z,1,REGULAR,foul,personal,[],203507,,,1610612737,0,0,2022-10-30T00:10:51Z,90000,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1629631]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,204058.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,
11,PT11M29.00S,2022-10-30T00:11:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,92.85479632063075,52.450980392156865,1610612737,0,0,2022-10-30T00:11:11Z,110000,12.0,15.0,1,right,MISS C. Capela cutting Layup,[203991],1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-10-30T00:11:10.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-10-30T00:11:11Z,120000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M16.00S,2022-10-30T00:11:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,9.674770039421814,49.01960784313725,1610612749,0,0,2022-10-30T00:11:26Z,130000,5.0,38.0,1,left,MISS G. Antetokounmpo Layup,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.87,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2022-10-30T00:11:20.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-10-30T00:11:26Z,140000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M03.00S,2022-10-30T00:11:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.06636005256242,58.08823529411765,1610612737,0,2,2022-10-30T00:12:38Z,150000,40.0,22.0,1,right,T. Young driving finger roll Layup (2 PTS),[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,,,,,,2.0,,,,,,,,
